T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 LA ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 LA ZR 1.0 0.0 -15085.65 2932.558 60.433381 -18018.212545149996 0.0 0.0 -15085.65 0.0 -0.0
298.15 LA ZR 0.01 0.99 -6470.85 7738.698 47.659056 -14209.5475464 0.0 0.0 -6803.38227 -138.82602141683572 -0.0
298.15 LA ZR 0.02 0.98 -6196.882 8156.749 48.142315 -14353.63121725 0.0 0.0 -6887.041539999999 -243.03584172567548 -0.0
298.15 LA ZR 0.03 0.97 -5919.214 8565.277 48.58122 -14484.490743 0.0 0.0 -6970.700809999999 -334.02154674813943 -0.0
298.15 LA ZR 0.04 0.96 -5642.388 8964.283 48.991015 -14606.671122249998 0.0 0.0 -7054.36008 -416.3281974105132 -0.0
298.15 LA ZR 0.05 0.95 -5368.563 9353.767 49.378935 -14722.329470249999 0.0 0.0 -7138.01935 -492.11297050679866 -0.0
298.15 LA ZR 0.06 0.94 -5099.008 9733.728 49.749239 -14832.73560785 0.0 0.0 -7221.67862 -562.6452650375949 -0.0
298.15 LA ZR 0.07 0.93 -4834.561 10104.17 50.104736 -14938.7270384 0.0 0.0 -7305.33789 -628.7628773593874 -0.0
298.15 LA ZR 0.08 0.92 -4575.815 10465.08 50.44742 -15040.898272999999 0.0 0.0 -7388.99716 -691.0604007790716 -0.0
298.15 LA ZR 0.09 0.91 -4323.216 10816.48 50.77878 -15139.693256999999 0.0 0.0 -7472.65643 -749.9816351924776 -0.0
298.15 LA ZR 0.1 0.9 -4077.107 11158.35 51.099968 -15235.455459199999 0.0 0.0 -7556.315700000001 -805.870345271772 -0.0
298.15 LA ZR 0.11 0.89 -3837.762 11490.7 51.411905 -15328.459475749998 0.0 0.0 -7639.974969999999 -859.000492370776 -0.0
298.15 LA ZR 0.12 0.88 -3605.404 11813.52 51.715338 -15418.928024699999 0.0 0.0 -7723.634239999999 -909.5953759771999 -0.0
298.15 LA ZR 0.13 0.87 -3380.218 12126.83 52.010889 -15507.046555349998 0.0 0.0 -7807.29351 -957.840348132521 -0.0
298.15 LA ZR 0.14 0.86 -3162.361 12430.61 52.299083 -15592.97159645 0.0 0.0 -7890.95278 -1003.8915915105914 -0.0
298.15 LA ZR 0.15 0.85 -2951.966 12724.87 52.580366 -15676.836122899998 0.0 0.0 -7974.61205 -1047.882375954332 -0.0
298.15 LA ZR 0.16 0.84 -2749.148 13009.61 52.855123 -15758.754922449998 0.0 0.0 -8058.27132 -1089.9276385420173 -0.0
298.15 LA ZR 0.17 0.83 -2554.007 13284.82 53.123691 -15838.828471649998 0.0 0.0 -8141.93059 -1130.1274135160918 -0.0
298.15 LA ZR 0.18 0.82 -2366.63 13550.51 53.386363 -15917.14412845 0.0 0.0 -8225.58986 -1168.5694517045056 -0.0
298.15 LA ZR 0.19 0.81 -2187.096 13806.68 53.6434 -15993.779709999999 0.0 0.0 -8309.24913 -1205.3312553507326 -0.0
298.15 LA ZR 0.2 0.8 -2015.472 14053.33 53.895032 -16068.803790799999 0.0 0.0 -8392.9084 -1240.4816826440385 -0.0
298.15 LA ZR 0.21 0.79 -1851.821 14290.46 54.141466 -16142.278087899998 0.0 0.0 -8476.56767 -1274.08222978906 -0.0
298.15 LA ZR 0.22 0.78 -1696.198 14518.06 54.382887 -16214.257759049999 0.0 0.0 -8560.22694 -1306.188067542519 -0.0
298.15 LA ZR 0.23 0.77 -1548.652 14736.14 54.61946 -16284.791998999997 0.0 0.0 -8643.88621 -1336.8488881016199 -0.0
298.15 LA ZR 0.24 0.76 -1409.229 14944.7 54.851338 -16353.926424699997 0.0 0.0 -8727.54548 -1366.1096036088943 -0.0
298.15 LA ZR 0.25 0.75 -1277.968 15143.73 55.078657 -16421.70158455 0.0 0.0 -8811.20475 -1394.0109271940482 -0.0
298.15 LA ZR 0.26 0.74 -1154.908 15333.25 55.30154 -16488.154151 0.0 0.0 -8894.86402 -1420.5898600324033 -0.0
298.15 LA ZR 0.27 0.73 -1040.081 15513.24 55.520101 -16553.31811315 0.0 0.0 -8978.523290000001 -1445.8801024662048 -0.0
298.15 LA ZR 0.28 0.72 -933.5187 15683.71 55.734442 -16617.2238823 0.0 0.0 -9062.182560000001 -1469.9124032129614 -0.0
298.15 LA ZR 0.29 0.71 -835.2489 15844.65 55.944659 -16679.90008085 0.0 0.0 -9145.84183 -1492.7148576699553 -0.0
298.15 LA ZR 0.3 0.7 -745.2973 15996.07 56.150837 -16741.37205155 0.0 0.0 -9229.5011 -1514.313164037668 -0.0
298.15 LA ZR 0.31 0.69 -663.6875 16137.98 56.353055 -16801.663348249996 0.0 0.0 -9313.16037 -1534.730844232385 -0.0
298.15 LA ZR 0.32 0.68 -590.4411 16270.35 56.551386 -16860.7957359 0.0 0.0 -9396.81964 -1553.9894352015579 -0.0
298.15 LA ZR 0.33 0.67 -525.5776 16393.21 56.745895 -16918.788594249996 0.0 0.0 -9480.47891 -1572.1086551954763 -0.0
298.15 LA ZR 0.34 0.66 -469.1152 16506.54 56.936643 -16975.660110449997 0.0 0.0 -9564.13818 -1589.1065487133012 -0.0
298.15 LA ZR 0.35 0.65 -421.0704 16610.36 57.123686 -17031.4269809 0.0 0.0 -9647.79745 -1604.9996131775667 -0.0
298.15 LA ZR 0.36 0.64 -381.4583 16704.65 57.307073 -17086.10381495 0.0 0.0 -9731.45672 -1619.8029098595373 -0.0
298.15 LA ZR 0.37 0.63 -350.2924 16789.41 57.486852 -17139.7049238 0.0 0.0 -9815.115989999998 -1633.5301611487748 -0.0
298.15 LA ZR 0.38 0.62 -327.5855 16864.66 57.663063 -17192.24223345 0.0 0.0 -9898.775259999999 -1646.193835911596 -0.0
298.15 LA ZR 0.39 0.61 -313.3486 16930.38 57.835744 -17243.7270736 0.0 0.0 -9982.43453 -1657.8052243977716 -0.0
298.15 LA ZR 0.4 0.6 -307.592 16986.58 58.004931 -17294.170177649998 0.0 0.0 -10066.0938 -1668.3745039196444 -0.0
298.15 LA ZR 0.41 0.59 -310.3248 17033.26 58.170653 -17343.58019195 0.0 0.0 -10149.753069999999 -1677.9107963326926 -0.0
298.15 LA ZR 0.42 0.58 -321.5551 17070.41 58.332937 -17391.96516655 0.0 0.0 -10233.41234 -1686.4222181834425 -0.0
298.15 LA ZR 0.43 0.57 -341.2902 17098.04 58.491808 -17439.3325552 0.0 0.0 -10317.07161 -1693.9159242532326 -0.0
298.15 LA ZR 0.44 0.56 -369.5361 17116.15 58.647286 -17485.6883209 0.0 0.0 -10400.73088 -1700.3981451097393 -0.0
298.15 LA ZR 0.45 0.55 -406.2983 17124.74 58.79939 -17531.0381285 0.0 0.0 -10484.39015 -1705.8742191782392 -0.0
298.15 LA ZR 0.46 0.54 -451.5812 17123.8 58.948134 -17575.3861521 0.0 0.0 -10568.049420000001 -1710.3486197582595 -0.0
298.15 LA ZR 0.47 0.53 -505.3885 17113.35 59.093531 -17618.736267649998 0.0 0.0 -10651.70869 -1713.8249773357109 -0.0
298.15 LA ZR 0.48 0.52 -567.723 17093.37 59.235589 -17661.09086035 0.0 0.0 -10735.36796 -1716.3060974737868 -0.0
298.15 LA ZR 0.49 0.51 -638.5865 17063.87 59.374317 -17702.45261355 0.0 0.0 -10819.02723 -1717.7939745058845 -0.0
298.15 LA ZR 0.5 0.5 -717.9805 17024.84 59.509716 -17742.8218254 0.0 0.0 -10902.6865 -1718.289801199083 -0.0
298.15 LA ZR 0.51 0.49 -805.9052 16976.29 59.64179 -17782.199688499997 0.0 0.0 -10986.34577 -1717.7939745058845 -0.0
298.15 LA ZR 0.52 0.48 -902.3602 16918.23 59.770537 -17820.585606549997 0.0 0.0 -11070.00504 -1716.3060974737868 -0.0
298.15 LA ZR 0.53 0.47 -1007.344 16850.63 59.895952 -17857.9780888 0.0 0.0 -11153.66431 -1713.8249773357109 -0.0
298.15 LA ZR 0.54 0.46 -1120.856 16773.52 60.018029 -17894.37534635 0.0 0.0 -11237.32358 -1710.3486197582595 -0.0
298.15 LA ZR 0.55 0.45 -1242.891 16686.88 60.136759 -17929.77469585 0.0 0.0 -11320.98285 -1705.8742191782392 -0.0
298.15 LA ZR 0.56 0.44 -1373.448 16590.72 60.252129 -17964.17226135 0.0 0.0 -11404.64212 -1700.3981451097393 -0.0
298.15 LA ZR 0.57 0.43 -1512.521 16485.04 60.364124 -17997.5635706 0.0 0.0 -11488.30139 -1693.9159242532328 -0.0
298.15 LA ZR 0.58 0.42 -1660.104 16369.84 60.472727 -18029.94355505 0.0 0.0 -11571.96066 -1686.4222181834425 -0.0
298.15 LA ZR 0.59 0.41 -1816.192 16245.11 60.577916 -18061.3056554 0.0 0.0 -11655.61993 -1677.910796332693 -0.0
298.15 LA ZR 0.6 0.4 -1980.778 16110.86 60.679668 -18091.6430142 0.0 0.0 -11739.279199999999 -1668.3745039196444 -0.0
298.15 LA ZR 0.61 0.39 -2153.854 15967.09 60.777955 -18120.94728325 0.0 0.0 -11822.93847 -1657.8052243977716 -0.0
298.15 LA ZR 0.62 0.38 -2335.409 15813.8 60.872747 -18149.209518049996 0.0 0.0 -11906.59774 -1646.193835911596 -0.0
298.15 LA ZR 0.63 0.37 -2525.435 15650.98 60.96401 -18176.4195815 0.0 0.0 -11990.25701 -1633.5301611487748 -0.0
298.15 LA ZR 0.64 0.36 -2723.919 15478.65 61.051705 -18202.56584575 0.0 0.0 -12073.916280000001 -1619.8029098595373 -0.0
298.15 LA ZR 0.65 0.35 -2930.85 15296.79 61.135792 -18227.6363848 0.0 0.0 -12157.575550000001 -1604.9996131775667 -0.0
298.15 LA ZR 0.66 0.34 -3146.213 15105.4 61.216223 -18251.61688745 0.0 0.0 -12241.23482 -1589.106548713301 -0.0
298.15 LA ZR 0.67 0.33 -3369.994 14904.5 61.292949 -18274.49274435 0.0 0.0 -12324.89409 -1572.1086551954763 -0.0
298.15 LA ZR 0.68 0.32 -3602.176 14694.07 61.365913 -18296.246960949997 0.0 0.0 -12408.55336 -1553.9894352015576 -0.0
298.15 LA ZR 0.69 0.31 -3842.741 14474.12 61.435056 -18316.8619464 0.0 0.0 -12492.212629999998 -1534.730844232385 -0.0
298.15 LA ZR 0.7 0.3 -4091.67 14244.65 61.500312 -18336.3180228 0.0 0.0 -12575.8719 -1514.313164037668 -0.0
298.15 LA ZR 0.71 0.29 -4348.94 14005.65 61.561608 -18354.593425199997 0.0 0.0 -12659.53117 -1492.7148576699553 -0.0
298.15 LA ZR 0.72 0.28 -4614.529 13757.14 61.618865 -18371.664599749998 0.0 0.0 -12743.19044 -1469.9124032129614 -0.0
298.15 LA ZR 0.73 0.27 -4888.41 13499.1 61.671997 -18387.50590555 0.0 0.0 -12826.84971 -1445.8801024662048 -0.0
298.15 LA ZR 0.74 0.26 -5170.555 13231.53 61.720909 -18402.089018349998 0.0 0.0 -12910.508979999999 -1420.5898600324033 -0.0
298.15 LA ZR 0.75 0.25 -5460.934 12954.45 61.7655 -18415.383825 0.0 0.0 -12994.168249999999 -1394.0109271940482 -0.0
298.15 LA ZR 0.76 0.24 -5759.513 12667.84 61.805655 -18427.35603825 0.0 0.0 -13077.827519999999 -1366.1096036088943 -0.0
298.15 LA ZR 0.77 0.23 -6066.255 12371.71 61.841251 -18437.968985649997 0.0 0.0 -13161.48679 -1336.8488881016199 -0.0
298.15 LA ZR 0.78 0.22 -6381.12 12066.06 61.872151 -18447.18182065 0.0 0.0 -13245.146060000001 -1306.188067542519 -0.0
298.15 LA ZR 0.79 0.21 -6704.062 11750.89 61.898204 -18454.9495226 0.0 0.0 -13328.805330000001 -1274.08222978906 -0.0
298.15 LA ZR 0.8 0.2 -7035.031 11426.19 61.919244 -18461.222598599998 0.0 0.0 -13412.4646 -1240.4816826440385 -0.0
298.15 LA ZR 0.81 0.19 -7373.973 11091.97 61.935086 -18465.9458909 0.0 0.0 -13496.12387 -1205.3312553507324 -0.0
298.15 LA ZR 0.82 0.18 -7720.826 10748.23 61.945523 -18469.05768245 0.0 0.0 -13579.78314 -1168.5694517045058 -0.0
298.15 LA ZR 0.83 0.17 -8075.522 10394.97 61.950324 -18470.4891006 0.0 0.0 -13663.442409999998 -1130.127413516092 -0.0
298.15 LA ZR 0.84 0.16 -8437.981 10032.18 61.94923 -18470.1629245 0.0 0.0 -13747.10168 -1089.9276385420173 -0.0
298.15 LA ZR 0.85 0.15 -8808.118 9659.873 61.941946 -18467.9911999 0.0 0.0 -13830.76095 -1047.882375954332 -0.0
298.15 LA ZR 0.86 0.14 -9185.832 9278.042 61.928137 -18463.874046549998 0.0 0.0 -13914.42022 -1003.8915915105914 -0.0
298.15 LA ZR 0.87 0.13 -9571.008 8886.689 61.907417 -18457.69637855 0.0 0.0 -13998.07949 -957.840348132521 -0.0
298.15 LA ZR 0.88 0.12 -9963.512 8485.813 61.87934 -18449.325221 0.0 0.0 -14081.73876 -909.5953759771999 -0.0
298.15 LA ZR 0.89 0.11 -10363.19 8075.415 61.84338 -18438.603747 0.0 0.0 -14165.398029999998 -859.000492370776 -0.0
298.15 LA ZR 0.9 0.1 -10769.85 7655.495 61.798918 -18425.347401699997 0.0 0.0 -14249.057299999999 -805.870345271772 -0.0
298.15 LA ZR 0.91 0.09 -11183.28 7226.052 61.745203 -18409.332274449996 0.0 0.0 -14332.71657 -749.9816351924775 -0.0
298.15 LA ZR 0.92 0.08 -11603.2 6787.087 61.681316 -18390.2843654 0.0 0.0 -14416.37584 -691.0604007790713 -0.0
298.15 LA ZR 0.93 0.07 -12029.26 6338.599 61.606106 -18367.8605039 0.0 0.0 -14500.03511 -628.762877359387 -0.0
298.15 LA ZR 0.94 0.06 -12461.03 5880.589 61.518083 -18341.616446449996 0.0 0.0 -14583.694379999999 -562.6452650375951 -0.0
298.15 LA ZR 0.95 0.05 -12897.9 5413.056 61.415253 -18310.95768195 0.0 0.0 -14667.35365 -492.1129705067989 -0.0
298.15 LA ZR 0.96 0.04 -13339.05 4936.002 61.294806 -18275.046408899998 0.0 0.0 -14751.01292 -416.3281974105133 -0.0
298.15 LA ZR 0.97 0.03 -13783.19 4449.424 61.152485 -18232.613402749997 0.0 0.0 -14834.67219 -334.02154674813966 -0.0
298.15 LA ZR 0.98 0.02 -14228.18 3953.325 60.981054 -18181.5012501 0.0 0.0 -14918.33146 -243.03584172567562 -0.0
298.15 LA ZR 0.99 0.01 -14669.46 3447.703 60.765269 -18117.16495235 0.0 0.0 -15001.99073 -138.82602141683583 -0.0
1260.0 LA ZR 0.0 1.0 -74163.14 32934.43 84.998073 -107097.57198000001 0.0 0.0 -74163.14 0.0 -0.0
1260.0 LA ZR 1.0 0.0 -96727.1 33437.48 103.30522 -130164.57720000001 0.0 0.0 -96727.1 0.0 -0.0
1260.0 LA ZR 0.01 0.99 -74504.11 33410.82 85.64677 -107914.9302 0.0 0.0 -74388.7796 -586.6871943156566 -0.0
1260.0 LA ZR 0.02 0.98 -74708.31 33877.69 86.179363 -108585.99738 0.0 0.0 -74614.4192 -1027.084221279058 -0.0
1260.0 LA ZR 0.03 0.97 -74866.14 34335.04 86.667602 -109201.17852 0.0 0.0 -74840.0588 -1411.5953342366452 -0.0
1260.0 LA ZR 0.04 0.96 -74996.82 34782.86 87.126732 -109779.68232 0.0 0.0 -75065.6984 -1759.4282365830845 -0.0
1260.0 LA ZR 0.05 0.95 -75109.47 35221.16 87.563987 -110330.62362 0.0 0.0 -75291.33799999999 -2079.6992884070646 -0.0
1260.0 LA ZR 0.06 0.94 -75209.43 35649.93 87.983626 -110859.36876 0.0 0.0 -75516.9776 -2377.7730469474077 -0.0
1260.0 LA ZR 0.07 0.93 -75300.27 36069.19 88.388457 -111369.45582 0.0 0.0 -75742.6172 -2657.190090467309 -0.0
1260.0 LA ZR 0.08 0.92 -75384.48 36478.92 88.780476 -111863.39975999999 0.0 0.0 -75968.2568 -2920.463206378099 -0.0
1270.0 LA ZR 0.0 1.0 -75014.24 33218.23 85.222416 -108232.46832 0.0 0.0 -75014.24 0.0 -0.0
1270.0 LA ZR 1.0 0.0 -97761.71 33831.12 103.6164 -131592.828 0.0 0.0 -97761.71 0.0 -0.0
1270.0 LA ZR 0.01 0.99 -75361.7 33695.72 85.871982 -109057.41714 0.0 0.0 -75241.71470000001 -591.3434418895904 -0.0
1270.0 LA ZR 0.02 0.98 -75571.23 34163.68 86.405443 -109734.91261000001 0.0 0.0 -75469.1894 -1035.2356833527012 -0.0
1270.0 LA ZR 0.03 0.97 -75733.96 34622.12 86.894551 -110356.07977000001 0.0 0.0 -75696.6641 -1422.798471809952 -0.0
1270.0 LA ZR 0.04 0.96 -75869.23 35071.04 87.354549 -110940.27723 0.0 0.0 -75924.1388 -1773.3919527464425 -0.0
1270.0 LA ZR 0.05 0.95 -75986.25 35510.44 87.792673 -111496.69471 0.0 0.0 -76151.6135 -2096.2048383150573 -0.0
1270.0 LA ZR 0.06 0.94 -76090.42 35940.32 88.213179 -112030.73732999999 0.0 0.0 -76379.0882 -2396.6442616057207 -0.0
1270.0 LA ZR 0.07 0.93 -76185.3 36360.67 88.618879 -112545.97633 0.0 0.0 -76606.5629 -2678.278900709113 -0.0
1270.0 LA ZR 0.08 0.92 -76273.44 36771.5 89.011766 -113044.94282 0.0 0.0 -76834.03760000001 -2943.6414857937984 -0.0
1280.0 LA ZR 0.0 1.0 -75867.58 33502.55 85.445416 -109370.13248 0.0 0.0 -75867.58 0.0 -0.0
1280.0 LA ZR 1.0 0.0 -98799.41 34224.29 103.92477 -133023.7056 0.0 0.0 -98799.41 0.0 -0.0
1280.0 LA ZR 0.01 0.99 -76221.54 33981.13 86.095835 -110202.66879999998 0.0 0.0 -76096.8983 -595.9996894635242 -0.0
1280.0 LA ZR 0.02 0.98 -76436.41 34450.18 86.63015 -110886.592 0.0 0.0 -76326.21660000001 -1043.3871454263447 -0.0
1280.0 LA ZR 0.03 0.97 -76604.03 34909.71 87.120112 -111513.74336000001 0.0 0.0 -76555.5349 -1434.0016093832587 -0.0
1280.0 LA ZR 0.04 0.96 -76743.91 35359.72 87.580963 -112103.63264 0.0 0.0 -76784.8532 -1787.3556689098002 -0.0
1280.0 LA ZR 0.05 0.95 -76865.32 35800.21 88.019941 -112665.52448000001 0.0 0.0 -77014.1715 -2112.71038822305 -0.0
1280.0 LA ZR 0.06 0.94 -76973.69 36231.17 88.441301 -113204.86528 0.0 0.0 -77243.48980000001 -2415.5154762640336 -0.0
1280.0 LA ZR 0.07 0.93 -77072.64 36652.61 88.847854 -113725.25312 0.0 0.0 -77472.8081 -2699.367710950917 -0.0
1280.0 LA ZR 0.08 0.92 -77164.71 37064.53 89.241595 -114229.24160000001 0.0 0.0 -77702.12640000001 -2966.8197652094977 -0.0
1290.0 LA ZR 0.0 1.0 -76723.14 33787.41 85.667098 -110510.55642 0.0 0.0 -76723.14 0.0 -0.0
1290.0 LA ZR 1.0 0.0 -99840.19 34616.92 104.23032 -134457.1128 0.0 0.0 -99840.19 0.0 -0.0
1290.0 LA ZR 0.01 0.99 -77083.61 34267.07 86.318356 -111350.67924 0.0 0.0 -76954.31049999999 -600.655937037458 -0.0
1290.0 LA ZR 0.02 0.98 -77303.83 34737.2 86.85351 -112041.0279 0.0 0.0 -77185.48099999999 -1051.538607499988 -0.0
1290.0 LA ZR 0.03 0.97 -77476.35 35197.81 87.34431 -112674.15989999998 0.0 0.0 -77416.6515 -1445.2047469565655 -0.0
1290.0 LA ZR 0.04 0.96 -77620.85 35648.89 87.806 -113269.73999999999 0.0 0.0 -77647.822 -1801.3193850731582 -0.0
1290.0 LA ZR 0.05 0.95 -77746.65 36090.46 88.245816 -113837.10264000001 0.0 0.0 -77878.9925 -2129.2159381310425 -0.0
1290.0 LA ZR 0.06 0.94 -77859.24 36522.5 88.668015 -114381.73934999999 0.0 0.0 -78110.16299999999 -2434.3866909223466 -0.0
1290.0 LA ZR 0.07 0.93 -77962.26 36945.02 89.075407 -114907.27503 0.0 0.0 -78341.3335 -2720.4565211927215 -0.0
1290.0 LA ZR 0.08 0.92 -78058.27 37358.02 89.469987 -115416.28323 0.0 0.0 -78572.50400000002 -2989.998044625197 -0.0
1300.0 LA ZR 0.0 1.0 -77580.92 34072.82 85.887488 -111653.7344 0.0 0.0 -77580.92 0.0 -0.0
1300.0 LA ZR 1.0 0.0 -100884.0 35008.99 104.53308 -135893.004 0.0 0.0 -100884.0 0.0 -0.0
1300.0 LA ZR 0.01 0.99 -77947.9 34553.54 86.539569 -112501.4397 0.0 0.0 -77813.95079999999 -605.3121846113918 -0.0
1300.0 LA ZR 0.02 0.98 -78173.48 35024.73 87.075547 -113198.2111 0.0 0.0 -78046.98159999998 -1059.6900695736313 -0.0
1300.0 LA ZR 0.03 0.97 -78350.91 35486.41 87.567171 -113837.3223 0.0 0.0 -78280.0124 -1456.4078845298718 -0.0
1300.0 LA ZR 0.04 0.96 -78500.03 35938.56 88.029685 -114438.5905 0.0 0.0 -78513.0432 -1815.2831012365157 -0.0
1300.0 LA ZR 0.05 0.95 -78630.23 36381.19 88.470325 -115011.4225 0.0 0.0 -78746.074 -2145.721488039035 -0.0
1300.0 LA ZR 0.06 0.94 -78747.05 36814.3 88.893347 -115561.35110000001 0.0 0.0 -78979.10479999999 -2453.2579055806586 -0.0
1300.0 LA ZR 0.07 0.93 -78854.14 37237.89 89.301563 -116092.0319 0.0 0.0 -79212.1356 -2741.545331434525 -0.0
1300.0 LA ZR 0.08 0.92 -78954.1 37651.95 89.696966 -116606.0558 0.0 0.0 -79445.1664 -3013.176324040896 -0.0
1310.0 LA ZR 0.0 1.0 -78440.89 34358.77 86.106612 -112799.66172 0.0 0.0 -78440.89 0.0 -0.0
1310.0 LA ZR 1.0 0.0 -101930.8 35400.45 104.83305 -137331.2955 0.0 0.0 -101930.8 0.0 -0.0
1310.0 LA ZR 0.01 0.99 -78814.4 34840.55 86.759501 -113654.94631 0.0 0.0 -78675.78910000001 -609.9684321853256 -0.0
1310.0 LA ZR 0.02 0.98 -79045.34 35312.8 87.296288 -114358.13728000001 0.0 0.0 -78910.68819999999 -1067.8415316472747 -0.0
1310.0 LA ZR 0.03 0.97 -79227.69 35775.53 87.78872 -115003.2232 0.0 0.0 -79145.5873 -1467.6110221031786 -0.0
1310.0 LA ZR 0.04 0.96 -79381.44 36228.74 88.252042 -115610.17502000001 0.0 0.0 -79380.4864 -1829.2468173998736 -0.0
1310.0 LA ZR 0.05 0.95 -79516.05 36672.42 88.69349 -116188.47189999999 0.0 0.0 -79615.3855 -2162.227037947028 -0.0
1310.0 LA ZR 0.06 0.94 -79637.1 37106.59 89.117321 -116743.69051 0.0 0.0 -79850.2846 -2472.1291202389716 -0.0
1310.0 LA ZR 0.07 0.93 -79748.28 37531.23 89.526346 -117279.51326 0.0 0.0 -80085.1837 -2762.6341416763294 -0.0
1310.0 LA ZR 0.08 0.92 -79852.2 37946.35 89.922557 -117798.54967 0.0 0.0 -80320.0828 -3036.354603456595 -0.0
1320.0 LA ZR 0.0 1.0 -79303.05 34645.28 86.324493 -113948.33076000001 0.0 0.0 -79303.05 0.0 -0.0
1320.0 LA ZR 1.0 0.0 -102980.7 35791.25 105.13024 -138771.9168 0.0 0.0 -102980.7 0.0 -0.0
1320.0 LA ZR 0.01 0.99 -79683.09 35128.1 86.978176 -114811.19232 0.0 0.0 -79539.82650000001 -614.6246797592594 -0.0
1320.0 LA ZR 0.02 0.98 -79919.4 35601.4 87.515755 -115520.7966 0.0 0.0 -79776.603 -1075.9929937209179 -0.0
1320.0 LA ZR 0.03 0.97 -80106.68 36065.17 88.008981 -116171.85492000001 0.0 0.0 -80013.37950000001 -1478.8141596764854 -0.0
1320.0 LA ZR 0.04 0.96 -80265.06 36519.42 88.473096 -116784.48672 0.0 0.0 -80250.156 -1843.2105335632316 -0.0
1320.0 LA ZR 0.05 0.95 -80404.09 36964.15 88.915338 -117368.24616000001 0.0 0.0 -80486.93250000001 -2178.7325878550205 -0.0
1320.0 LA ZR 0.06 0.94 -80529.39 37399.36 89.339962 -117928.74984 0.0 0.0 -80723.709 -2491.0003348972846 -0.0
1320.0 LA ZR 0.07 0.93 -80644.66 37825.04 89.749779 -118469.70828 0.0 0.0 -80960.48550000001 -2783.7229519181333 -0.0
1320.0 LA ZR 0.08 0.92 -80752.55 38241.21 90.146784 -118993.75488 0.0 0.0 -81197.26200000002 -3059.5328828722945 -0.0
1330.0 LA ZR 0.0 1.0 -80167.38 34932.36 86.541157 -115099.73881 0.0 0.0 -80167.38 0.0 -0.0
1330.0 LA ZR 1.0 0.0 -104033.4 36181.37 105.42467 -140214.81110000002 0.0 0.0 -104033.4 0.0 -0.0
1330.0 LA ZR 0.01 0.99 -80553.96 35416.21 87.195618 -115970.17194 0.0 0.0 -80406.0402 -619.2809273331932 -0.0
1330.0 LA ZR 0.02 0.98 -80795.65 35890.54 87.733975 -116686.18675000001 0.0 0.0 -80644.7004 -1084.1444557945613 -0.0
1330.0 LA ZR 0.03 0.97 -80987.87 36355.34 88.227978 -117343.21074 0.0 0.0 -80883.3606 -1490.0172972497921 -0.0
1330.0 LA ZR 0.04 0.96 -81150.89 36810.62 88.692871 -117961.51843 0.0 0.0 -81122.0208 -1857.1742497265893 -0.0
1330.0 LA ZR 0.05 0.95 -81294.35 37256.38 89.13589 -118550.73370000001 0.0 0.0 -81360.681 -2195.238137763013 -0.0
1330.0 LA ZR 0.06 0.94 -81423.9 37692.62 89.561292 -119116.51835999999 0.0 0.0 -81599.3412 -2509.8715495555975 -0.0
1330.0 LA ZR 0.07 0.93 -81543.27 38119.34 89.971887 -119662.60970999999 0.0 0.0 -81838.00140000001 -2804.8117621599376 -0.0
1330.0 LA ZR 0.08 0.92 -81655.13 38536.53 90.369669 -120191.65977 0.0 0.0 -82076.6616 -3082.711162287994 -0.0
1340.0 LA ZR 0.0 1.0 -81033.87 35220.02 86.756627 -116253.88018 0.0 0.0 -81033.87 0.0 -0.0
1340.0 LA ZR 1.0 0.0 -105089.1 36570.77 105.71635 -141659.909 0.0 0.0 -105089.1 0.0 -0.0
1340.0 LA ZR 0.01 0.99 -81427.0 35704.88 87.41185 -117131.879 0.0 0.0 -81274.42229999999 -623.9371749071269 -0.0
1340.0 LA ZR 0.02 0.98 -81674.07 36180.23 87.950969 -117854.29846 0.0 0.0 -81514.9746 -1092.2959178682045 -0.0
1340.0 LA ZR 0.03 0.97 -81871.24 36646.05 88.445734 -118517.28356 0.0 0.0 -81755.52689999998 -1501.2204348230987 -0.0
1340.0 LA ZR 0.04 0.96 -82038.92 37102.35 88.91139 -119141.2626 0.0 0.0 -81996.0792 -1871.137965889947 -0.0
1340.0 LA ZR 0.05 0.95 -82186.81 37549.12 89.355171 -119735.92914 0.0 0.0 -82236.63149999999 -2211.7436876710053 -0.0
1340.0 LA ZR 0.06 0.94 -82320.61 37986.38 89.781335 -120306.9889 0.0 0.0 -82477.1838 -2528.74276421391 -0.0
1340.0 LA ZR 0.07 0.93 -82444.1 38414.11 90.192692 -120858.20727999999 0.0 0.0 -82717.73609999998 -2825.900572401741 -0.0
1340.0 LA ZR 0.08 0.92 -82559.94 38832.32 90.591236 -121392.25623999999 0.0 0.0 -82958.28839999999 -3105.8894417036927 -0.0
1350.0 LA ZR 0.0 1.0 -81902.5 35508.25 86.970927 -117410.75145000001 0.0 0.0 -81902.5 0.0 -0.0
1350.0 LA ZR 1.0 0.0 -106147.8 36959.41 106.00531 -143107.1685 0.0 0.0 -106147.8 0.0 -0.0
