T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 CR NI 1.0 0.0 -7019.328 -0.001116919 23.542939 -7019.32726285 311.5 0.008 -7019.328 0.0 -1.145642488486718
298.15 CR NI 0.01 0.99 -1855.443 7729.79 32.149028 -9585.2326982 583.64157 0.88102 -1576.84557 -138.82602141683572 -1108.0110830801555
298.15 CR NI 0.02 0.98 -2144.305 7482.514 32.288508 -9626.818660199999 592.17133 0.91124 -1631.82014 -243.03584172567548 -1173.8901660183817
298.15 CR NI 0.03 0.97 -2409.983 7247.379 32.39095 -9657.361742499997 600.58188 0.94066 -1686.7947100000001 -334.02154674813943 -1239.9441224761129
298.15 CR NI 0.04 0.96 -2657.159 7024.172 32.471344 -9681.3312136 608.86582 0.96928 -1741.7692800000002 -416.3281974105132 -1306.0325544150653
298.15 CR NI 0.05 0.95 -2888.128 6812.682 32.536676 -9700.8099494 617.01575 0.9971 -1796.74385 -492.11297050679866 -1372.0169979196573
298.15 CR NI 0.06 0.94 -3104.3 6612.695 32.590959 -9716.994425849998 625.02426 1.02412 -1851.71842 -562.6452650375949 -1437.760887297109
298.15 CR NI 0.07 0.93 -3306.653 6423.999 32.636766 -9730.6517829 632.88394 1.05034 -1906.69299 -628.7628773593874 -1503.1296119265096
298.15 CR NI 0.08 0.92 -3495.927 6246.38 32.67586 -9742.307659 640.58739 1.07576 -1961.6675600000003 -691.0604007790716 -1567.990579379227
298.15 CR NI 0.09 0.91 -3672.712 6079.627 32.709503 -9752.338319449998 648.12721 1.10038 -2016.6421300000002 -749.9816351924776 -1632.213181541754
298.15 CR NI 0.1 0.9 -3837.498 5923.524 32.73863 -9761.0225345 655.496 1.1242 -2071.6167000000005 -805.870345271772 -1695.6688091984336
298.15 CR NI 0.11 0.89 -3990.711 5777.859 32.763946 -9768.570499899999 662.68635 1.14722 -2126.59127 -859.000492370776 -1758.230815559353
298.15 CR NI 0.12 0.88 -4132.725 5642.418 32.785992 -9775.1435148 669.69085 1.16944 -2181.56584 -909.5953759771999 -1819.7745859743231
298.15 CR NI 0.13 0.87 -4263.88 5516.987 32.805189 -9780.867100349999 676.5021 1.19086 -2236.54041 -957.840348132521 -1880.1776156589726
298.15 CR NI 0.14 0.86 -4384.489 5401.351 32.821865 -9785.83904975 683.1127 1.21148 -2291.51498 -1003.8915915105914 -1939.3194839125022
298.15 CR NI 0.15 0.85 -4494.842 5295.294 32.836276 -9790.135689399998 689.51525 1.2313 -2346.4895500000002 -1047.882375954332 -1997.0818835213563
298.15 CR NI 0.16 0.84 -4595.215 5198.602 32.848624 -9793.8172456 695.70234 1.25032 -2401.46412 -1089.9276385420173 -2053.3485970700663
298.15 CR NI 0.17 0.83 -4685.871 5111.059 32.859064 -9796.929931599998 701.66656 1.26854 -2456.43869 -1130.1274135160918 -2108.0055883728237
298.15 CR NI 0.18 0.82 -4767.063 5032.446 32.867715 -9799.509227249999 707.40051 1.28596 -2511.4132600000003 -1168.5694517045056 -2160.941101845535
298.15 CR NI 0.19 0.81 -4839.036 4962.546 32.874669 -9801.582562349999 712.89679 1.30258 -2566.3878300000006 -1205.3312553507326 -2212.0456521714136
298.15 CR NI 0.2 0.8 -4902.028 4901.141 32.879991 -9803.169316649999 718.148 1.3184 -2621.3624 -1240.4816826440385 -2261.212073748173
298.15 CR NI 0.21 0.79 -4956.273 4848.011 32.883728 -9804.283503199998 723.14673 1.33342 -2676.3369700000003 -1274.08222978906 -2308.3355149660492
298.15 CR NI 0.22 0.78 -5001.999 4802.934 32.885908 -9804.9334702 727.88557 1.34764 -2731.31154 -1306.188067542519 -2353.3135542519412
298.15 CR NI 0.23 0.77 -5039.436 4765.688 32.886547 -9805.12398805 732.35712 1.36106 -2786.28611 -1336.8488881016199 -2396.0463237130057
298.15 CR NI 0.24 0.76 -5068.806 4736.051 32.885649 -9804.85624935 736.55398 1.37368 -2841.2606800000003 -1366.1096036088943 -2436.436518258379
298.15 CR NI 0.25 0.75 -5090.333 4713.795 32.883208 -9804.1284652 740.46875 1.3855 -2896.23525 -1394.0109271940482 -2474.3894681649103
298.15 CR NI 0.26 0.74 -5104.239 4698.696 32.879208 -9802.9358652 744.09402 1.39652 -2951.20982 -1420.5898600324033 -2509.813155158867
298.15 CR NI 0.27 0.73 -5110.747 4690.525 32.873628 -9801.272188199999 747.42238 1.40674 -3006.1843900000003 -1445.8801024662048 -2542.6183555442185
298.15 CR NI 0.28 0.72 -5110.078 4689.051 32.86644 -9799.129085999999 750.44643 1.41616 -3061.15896 -1469.9124032129614 -2572.718790906222
298.15 CR NI 0.29 0.71 -5102.454 4694.043 32.857612 -9796.4970178 753.15877 1.42478 -3116.13353 -1492.7148576699553 -2600.0311612316964
298.15 CR NI 0.3 0.7 -5088.099 4705.266 32.847107 -9793.36495205 755.552 1.4326 -3171.1081000000004 -1514.313164037668 -2624.4752447654005
298.15 CR NI 0.31 0.69 -5067.236 4722.485 32.834883 -9789.72036645 757.61871 1.43962 -3226.08267 -1534.730844232385 -2645.973941192594
298.15 CR NI 0.32 0.68 -5040.091 4745.46 32.820898 -9785.5507387 759.35149 1.44584 -3281.05724 -1553.9894352015579 -2664.4534463020655
298.15 CR NI 0.33 0.67 -5006.892 4773.951 32.805106 -9780.8423539 760.74294 1.45126 -3336.0318100000004 -1572.1086551954763 -2679.8434348558926
298.15 CR NI 0.34 0.66 -4967.867 4807.714 32.78746 -9775.581199 761.78566 1.45588 -3391.0063800000003 -1589.1065487133012 -2692.0771248186934
298.15 CR NI 0.35 0.65 -4923.249 4846.503 32.767911 -9769.75266465 762.47225 1.4597 -3445.98095 -1604.9996131775667 -2701.0914116768117
298.15 CR NI 0.36 0.64 -4873.272 4890.07 32.746408 -9763.3415452 762.7953 1.46272 -3500.95552 -1619.8029098595373 -2706.826947366569
298.15 CR NI 0.37 0.63 -4818.172 4938.161 32.722902 -9756.3332313 762.7474 1.46494 -3555.9300900000003 -1633.5301611487748 -2709.228354763311
298.15 CR NI 0.38 0.62 -4758.189 4990.523 32.697341 -9748.71221915 762.32115 1.46636 -3610.90466 -1646.193835911596 -2708.2444520858176
298.15 CR NI 0.39 0.61 -4693.567 5046.898 32.669677 -9740.46419755 761.50915 1.46698 -3665.8792300000005 -1657.8052243977716 -2703.8283600368322
298.15 CR NI 0.4 0.6 -4624.552 5107.022 32.639859 -9731.573960849999 760.304 1.4668 -3720.8538000000003 -1668.3745039196444 -2695.937683053955
298.15 CR NI 0.41 0.59 -4551.394 5170.633 32.607838 -9722.0268997 758.69829 1.46582 -3775.82837 -1677.9107963326926 -2684.5346385538746
298.15 CR NI 0.42 0.58 -4474.349 5237.46 32.573568 -9711.8092992 756.68461 1.46404 -3830.8029400000005 -1686.4222181834425 -2669.5863262514417
298.15 CR NI 0.43 0.57 -4393.676 5307.231 32.537002 -9700.9071463 754.25556 1.46146 -3885.7775100000003 -1693.9159242532326 -2651.065011022105
298.15 CR NI 0.44 0.56 -4309.637 5379.671 32.498098 -9689.307918699998 751.40374 1.45808 -3940.75208 -1700.3981451097393 -2628.9482932991527
298.15 CR NI 0.45 0.55 -4222.502 5454.498 32.456815 -9676.99939225 748.12175 1.4539 -3995.7266500000005 -1705.8742191782392 -2603.21935949156
298.15 CR NI 0.46 0.54 -4132.543 5531.427 32.413115 -9663.970237249998 744.40218 1.44892 -4050.7012200000004 -1710.3486197582595 -2573.867187316042
298.15 CR NI 0.47 0.53 -4040.041 5610.17 32.366965 -9650.21061475 740.23762 1.44314 -4105.67579 -1713.8249773357109 -2540.886897867168
298.15 CR NI 0.48 0.52 -3945.279 5690.433 32.318337 -9635.71217655 735.62067 1.43656 -4160.650360000001 -1716.3060974737868 -2504.2801288131727
298.15 CR NI 0.49 0.51 -3848.55 5771.917 32.267205 -9620.467170749998 730.54393 1.42918 -4215.62493 -1717.7939745058845 -2464.0553058553464
298.15 CR NI 0.5 0.5 -3750.151 5854.319 32.213552 -9604.470528799999 725.0 1.421 -4270.5995 -1718.289801199083 -2420.228005054706
298.15 CR NI 0.51 0.49 -3650.387 5937.332 32.157369 -9587.719567350001 718.98147 1.41202 -4325.574070000001 -1717.7939745058845 -2372.8212842986104
298.15 CR NI 0.52 0.48 -3549.57 6020.643 32.098651 -9570.212795649999 712.48093 1.40224 -4380.54864 -1716.3060974737868 -2321.8661748993063
298.15 CR NI 0.53 0.47 -3448.021 6103.932 32.037408 -9551.9531952 705.49098 1.39166 -4435.52321 -1713.8249773357109 -2267.4022115738235
298.15 CR NI 0.54 0.46 -3346.067 6186.879 31.973656 -9532.945536399999 698.00422 1.38028 -4490.497780000001 -1710.3486197582595 -2209.4778846158792
298.15 CR NI 0.55 0.45 -3244.047 6269.153 31.907429 -9513.19995635 690.01325 1.3681 -4545.47235 -1705.8742191782392 -2148.151207806755
298.15 CR NI 0.56 0.44 -3142.307 6350.424 31.838774 -9492.730468099999 681.51066 1.35512 -4600.44692 -1700.3981451097393 -2083.4902886619293
298.15 CR NI 0.57 0.43 -3041.205 6430.352 31.767757 -9471.55674955 672.48904 1.34134 -4655.42149 -1693.9159242532328 -2015.5740937310682
298.15 CR NI 0.58 0.42 -2941.109 6508.596 31.694467 -9449.70533605 662.94099 1.32676 -4710.39606 -1686.4222181834425 -1944.493298443686
298.15 CR NI 0.59 0.41 -2842.4 6584.81 31.619019 -9427.21051485 652.85911 1.31138 -4765.370629999999 -1677.910796332693 -1870.351121595274
298.15 CR NI 0.6 0.4 -2745.471 6658.645 31.541559 -9404.115815849998 642.236 1.2952 -4820.345200000001 -1668.3745039196444 -1793.2643476391625
298.15 CR NI 0.61 0.39 -2650.728 6729.748 31.462272 -9380.476396799999 631.06425 1.27822 -4875.31977 -1657.8052243977716 -1713.3644478468068
298.15 CR NI 0.62 0.38 -2558.594 6797.768 31.381392 -9356.3620248 619.33645 1.26044 -4930.29434 -1646.193835911596 -1630.7990122993424
298.15 CR NI 0.63 0.37 -2469.508 6862.352 31.29921 -9331.859461499998 607.0452 1.24186 -4985.268910000001 -1633.5301611487748 -1545.7334223466366
298.15 CR NI 0.64 0.36 -2383.927 6923.15 31.216088 -9307.0766372 594.1831 1.22248 -5040.24348 -1619.8029098595373 -1458.3527202693551
298.15 CR NI 0.65 0.35 -2302.329 6979.819 31.132479 -9282.148613849999 580.74275 1.2023 -5095.21805 -1604.9996131775667 -1368.8639409679326
298.15 CR NI 0.66 0.34 -2225.216 7032.029 31.048951 -9257.24474065 566.71674 1.18132 -5150.192620000001 -1589.106548713301 -1277.4989214544903
298.15 CR NI 0.67 0.33 -2153.114 7079.464 30.966217 -9232.577598549999 552.09766 1.15954 -5205.16719 -1572.1086551954763 -1184.5179305738286
298.15 CR NI 0.68 0.32 -2086.583 7121.834 30.885182 -9208.417013299999 536.87811 1.13696 -5260.14176 -1553.9894352015576 -1090.2142597536385
298.15 CR NI 0.69 0.31 -2026.214 7158.891 30.806995 -9185.10555925 521.05069 1.11358 -5315.116330000001 -1534.730844232385 -994.920046897271
298.15 CR NI 0.7 0.3 -1972.646 7190.44 30.733142 -9163.086287299999 504.608 1.0894 -5370.0909 -1514.313164037668 -899.0140519164588
298.15 CR NI 0.71 0.29 -1926.566 7216.37 30.665557 -9142.935819549999 487.54263 1.06442 -5425.0654700000005 -1492.7148576699553 -802.9321315779167
298.15 CR NI 0.72 0.28 -1888.728 7236.69 30.6068 -9125.41742 469.84717 1.03864 -5480.04004 -1469.9124032129614 -707.1818955820261
298.15 CR NI 0.73 0.27 -1859.966 7251.593 30.56032 -9111.559408 451.51422 1.01206 -5535.01461 -1445.8801024662048 -612.3635959760404
298.15 CR NI 0.74 0.26 -1841.229 7261.55 30.530873 -9102.779784949998 432.53638 0.98468 -5589.9891800000005 -1420.5898600324033 -519.2007984523351
298.15 CR NI 0.75 0.25 -1833.615 7267.473 30.525199 -9101.088081849999 412.90625 0.9565 -5644.96375 -1394.0109271940482 -428.58739261486267
298.15 CR NI 0.76 0.24 -1838.438 7271.004 30.553217 -9109.441648549999 392.61642 0.92752 -5699.93832 -1366.1096036088943 -341.6628311124684
298.15 CR NI 0.77 0.23 -1857.344 7275.069 30.630265 -9132.41350975 371.65948 0.89774 -5754.91289 -1336.8488881016199 -259.93979216356206
298.15 CR NI 0.78 0.22 -1892.514 7285.062 30.781739 -9177.57548285 350.02803 0.86716 -5809.887460000001 -1306.188067542519 -185.5372616788188
298.15 CR NI 0.79 0.21 -1947.072 7311.663 31.053951 -9258.73549065 327.71467 0.83578 -5864.862030000001 -1274.08222978906 -121.65082748268183
298.15 CR NI 0.8 0.2 -2026.045 7378.702 31.543679 -9404.747893849999 304.712 0.8036 -5919.8366000000005 -1240.4816826440385 -73.6398325327115
298.15 CR NI 0.81 0.19 -2135.254 7395.251 31.96547 -9530.504880499999 281.01261 0.77062 -5974.811170000001 -1205.3312553507324 -45.85350669260376
298.15 CR NI 0.82 0.18 -2268.973 7278.082 32.020977 -9547.05429255 256.60909 0.73684 -6029.78574 -1168.5694517045058 -27.796157680932474
298.15 CR NI 0.83 0.17 -2422.763 7091.405 31.910677 -9514.16834755 231.49404 0.70226 -6084.76031 -1130.127413516092 -15.926321957290137
298.15 CR NI 0.84 0.16 -2594.134 6855.158 31.693082 -9449.2923983 205.66006 0.66688 -6139.73488 -1089.9276385420173 -8.450733853812563
298.15 CR NI 0.85 0.15 -2781.294 6580.586 31.399896 -9361.8789924 179.09975 0.6307 -6194.70945 -1047.882375954332 -4.048572052037052
298.15 CR NI 0.86 0.14 -2982.871 6275.495 31.052712 -9258.3660828 151.8057 0.59372 -6249.68402 -1003.8915915105914 -1.6878501240230472
298.15 CR NI 0.87 0.13 -3197.844 5945.594 30.667239 -9143.43730785 123.7705 0.55594 -6304.658590000001 -957.840348132521 -0.5767849265281267
298.15 CR NI 0.88 0.12 -3425.501 5594.87 30.254474 -9020.3714231 94.986752 0.51736 -6359.63316 -909.5953759771999 -0.14482634021250565
298.15 CR NI 0.89 0.11 -3665.411 5225.803 29.82128 -8891.214632 65.447054 0.47798 -6414.607730000001 -859.000492370776 -0.02107137690122173
298.15 CR NI 0.9 0.1 -3917.362 4839.622 29.371069 -8756.984222349998 35.144 0.4378 -6469.582300000001 -805.870345271772 -0.0008744288753869352
298.15 CR NI 0.91 0.09 -4181.286 4436.649 28.904696 -8617.9351124 4.070186 0.39682 -6524.55687 -749.9816351924775 -1.6768752856675458e-08
298.15 CR NI 0.92 0.08 -4457.162 4016.713 28.421515 -8473.87469725 27.781792 0.35504 -6579.531440000001 -691.0604007790713 -0.0002258700606963414
298.15 CR NI 0.93 0.07 -4744.941 3579.44 27.920111 -8324.38109465 60.419338 0.31246 -6634.506010000001 -628.762877359387 -0.00983375853349138
298.15 CR NI 0.94 0.06 -5044.533 3124.153 27.39791 -8168.686866499999 93.849856 0.26908 -6689.4805799999995 -562.6452650375951 -0.07792977252480027
298.15 CR NI 0.95 0.05 -5355.791 2649.719 26.850614 -8005.510564099999 128.08075 0.2249 -6744.455150000001 -492.1129705067989 -0.3140814822662516
298.15 CR NI 0.96 0.04 -5678.369 2154.774 26.272491 -7833.143191649999 163.11942 0.17992 -6799.429720000001 -416.3281974105133 -0.8583112025379319
298.15 CR NI 0.97 0.03 -6011.358 1638.594 25.658065 -7649.95207975 198.97328 0.13414 -6854.40429 -334.02154674813966 -1.7643300886737767
298.15 CR NI 0.98 0.02 -6352.457 1102.914 25.005439 -7455.371637849999 235.64973 0.08756 -6909.378860000001 -243.03584172567562 -2.74819447171503
298.15 CR NI 0.99 0.01 -6695.778 555.2613 24.320106 -7251.039603899999 273.15617 0.04018 -6964.35343 -138.82602141683583 -2.7296715583686155
990.0 CR NI 0.0 1.0 -38962.48 30047.9 69.707452 -69010.37748000001 575.0 0.85 -38962.48 0.0 -14.28991063836312
990.0 CR NI 1.0 0.0 -36135.19 19073.25 55.766097 -55208.436030000004 311.5 0.008 -36135.19 0.0 -0.008635207532829247
990.0 CR NI 0.61 0.39 -39985.8 29586.15 70.2747 -69571.953 631.06425 1.27822 -37237.8331 -5504.702908448076 -30.461597410032535
990.0 CR NI 0.62 0.38 -39856.95 29557.37 70.115474 -69414.31926 619.33645 1.26044 -37209.5602 -5466.147568514105 -27.468786803656347
990.0 CR NI 0.63 0.37 -39728.93 29519.7 69.948112 -69248.63088 607.0452 1.24186 -37181.2873 -5424.098136968933 -24.5963592643494
990.0 CR NI 0.64 0.36 -39601.95 29472.71 69.772384 -69074.66016 594.1831 1.22248 -37153.0144 -5378.517124806112 -21.86005284502781
990.0 CR NI 0.65 0.35 -39476.21 29415.99 69.588074 -68892.19326 580.74275 1.2023 -37124.741500000004 -5329.363129450919 -19.27359687729602
990.0 CR NI 0.66 0.34 -39351.88 29349.14 69.394971 -68701.02129 566.71674 1.18132 -37096.4686 -5276.59058603444 -16.84852534129248
990.0 CR NI 0.67 0.33 -39229.15 29271.8 69.192876 -68500.94724 552.09766 1.15954 -37068.195700000004 -5220.149483962844 -14.594026187656144
990.0 CR NI 0.68 0.32 -39108.19 29183.59 68.981598 -68291.78202 536.87811 1.13696 -37039.9228 -5159.98504393608 -12.516826712363974
990.0 CR NI 0.69 0.31 -38989.16 29084.19 68.760957 -68073.34743000001 521.05069 1.11358 -37011.649900000004 -5096.037349622879 -10.621117587651241
990.0 CR NI 0.7 0.3 -38872.22 28973.26 68.530784 -67845.47615999999 504.608 1.0894 -36983.37700000001 -5028.240927041059 -8.908524287518437
990.0 CR NI 0.71 0.29 -38757.51 28850.5 68.290917 -67608.00782999999 487.54263 1.06442 -36955.104100000004 -4956.524263267671 -7.378126598237565
990.0 CR NI 0.72 0.28 -38645.15 28715.64 68.041204 -67360.79195999999 469.84717 1.03864 -36926.8312 -4880.809254337857 -6.026531367800916
990.0 CR NI 0.73 0.27 -38535.28 28568.4 67.781499 -67103.68401 451.51422 1.01206 -36898.558300000004 -4801.010569986728 -4.847997092163655
990.0 CR NI 0.74 0.26 -38428.0 28408.54 67.511661 -66836.54439000001 432.53638 0.98468 -36870.2854 -4717.0349201143035 -3.8346097857256027
990.0 CR NI 0.75 0.25 -38323.42 28235.82 67.231553 -66559.23747000001 412.90625 0.9565 -36842.012500000004 -4628.7802043337515 -2.976511263231823
990.0 CR NI 0.76 0.24 -38221.61 28050.02 66.941036 -66271.62564 392.61642 0.92752 -36813.7396 -4536.134521458345 -2.262175547195924
990.0 CR NI 0.77 0.23 -38122.65 27850.92 66.639972 -65973.57228 371.65948 0.89774 -36785.466700000004 -4438.975009963454 -1.6787297359477067
990.0 CR NI 0.78 0.22 -38026.61 27638.32 66.328211 -65664.92889 350.02803 0.86716 -36757.1938 -4337.1664828680005 -1.2123113309438804
990.0 CR NI 0.79 0.21 -37933.53 27412.02 66.005597 -65345.54102999999 327.71467 0.83578 -36728.920900000005 -4230.559810468454 -0.8484532193549712
990.0 CR NI 0.8 0.2 -37843.42 27171.81 65.671958 -65015.23842 304.712 0.8036 -36700.648 -4118.989991003181 -0.5724864254498648
990.0 CR NI 0.81 0.19 -37756.32 26917.51 65.327101 -64673.82999 281.01261 0.77062 -36672.375100000005 -4002.273831283667 -0.3699472163939332
990.0 CR NI 0.82 0.18 -37672.2 26648.9 64.97081 -64321.1019 256.60909 0.73684 -36644.1022 -3880.207134621704 -0.2269739951678356
990.0 CR NI 0.83 0.17 -37591.04 26365.77 64.602837 -63956.80862999999 231.49404 0.70226 -36615.8293 -3752.561259033813 -0.1306770277382861
990.0 CR NI 0.84 0.16 -37512.78 26067.89 64.222899 -63580.67001 205.66006 0.66688 -36587.5564 -3619.0788601596423 -0.0694632487306313
990.0 CR NI 0.85 0.15 -37437.32 25755.04 63.830667 -63192.360329999996 179.09975 0.6307 -36559.283500000005 -3479.468563457283 -0.03329782767236178
990.0 CR NI 0.86 0.14 -37364.54 25426.96 63.425761 -62791.50339 151.8057 0.59372 -36531.0106 -3333.3982075984763 -0.013884051275667587
990.0 CR NI 0.87 0.13 -37294.26 25083.41 63.007741 -62377.663590000004 123.7705 0.55594 -36502.7377 -3180.48614674223 -0.004744716661347914
990.0 CR NI 0.88 0.12 -37226.25 24724.09 62.576093 -61950.33207 94.986752 0.51736 -36474.4648 -3020.2898615375752 -0.0011913678714098018
990.0 CR NI 0.89 0.11 -37160.19 24348.72 62.130217 -61508.91483 65.447054 0.47798 -36446.191900000005 -2852.290751122148 -0.00017333704481533224
990.0 CR NI 0.9 0.1 -37095.7 23957.01 61.669407 -61052.71293 35.144 0.4378 -36417.919 -2675.8733584405645 -7.193213766648984e-06
990.0 CR NI 0.91 0.09 -37032.24 23548.66 61.192824 -60580.89576 4.070186 0.39682 -36389.646100000005 -2490.296222842706 -1.379428645317553e-10
990.0 CR NI 0.92 0.08 -36969.11 23123.35 60.699454 -60092.459460000005 27.781792 0.35504 -36361.3732 -2294.64966215422 -1.8580489229383935e-06
990.0 CR NI 0.93 0.07 -36905.4 22680.77 60.18805 -59586.169499999996 60.419338 0.31246 -36333.100300000006 -2087.7922139385987 -8.089431741216086e-05
990.0 CR NI 0.94 0.06 -36839.84 22220.62 59.657027 -59060.45673 93.849856 0.26908 -36304.8274 -1868.250251172964 -0.0006410645375542239
990.0 CR NI 0.95 0.05 -36770.68 21742.57 59.104289 -58513.24611 128.08075 0.2249 -36276.554500000006 -1634.049440891266 -0.0025836748464311892
990.0 CR NI 0.96 0.04 -36695.35 21246.31 58.526925 -57941.65575 163.11942 0.17992 -36248.2816 -1382.4079001724242 -0.0070600880106775656
990.0 CR NI 0.97 0.03 -36609.86 20731.52 57.92058 -57341.3742 198.97328 0.13414 -36220.0087 -1109.110619757365 -0.014505607111281594
990.0 CR NI 0.98 0.02 -36507.25 20197.91 57.277938 -56705.15862 235.64973 0.08756 -36191.7358 -806.994745290689 -0.02253773246411198
990.0 CR NI 0.99 0.01 -36372.63 19645.25 56.583716 -56017.878840000005 273.15617 0.04018 -36163.4629 -460.9685098194449 -0.022136376435971584
1000.0 CR NI 0.0 1.0 -39661.17 30369.43 70.030598 -70030.598 575.0 0.85 -39661.17 0.0 -13.72664882707572
1000.0 CR NI 1.0 0.0 -36694.44 19389.57 56.084009 -56084.009 311.5 0.008 -36694.44 0.0 -0.008294945662075974
1000.0 CR NI 0.61 0.39 -40690.18 29911.9 70.602086 -70602.086 631.06425 1.27822 -37851.4647 -5560.30596812937 -29.26030112243188
1000.0 CR NI 0.62 0.38 -40559.74 29882.22 70.441953 -70441.953 619.33645 1.26044 -37821.7974 -5521.361180317276 -26.38566911858076
1000.0 CR NI 0.63 0.37 -40430.04 29843.68 70.27372 -70273.72 607.0452 1.24186 -37792.1301 -5478.887007039325 -23.626624191398523
1000.0 CR NI 0.64 0.36 -40301.3 29795.86 70.097164 -70097.164 594.1831 1.22248 -37762.4628 -5432.845580612234 -20.998292069439184
1000.0 CR NI 0.65 0.35 -40173.71 29738.36 69.912071 -69912.071 580.74275 1.2023 -37732.7955 -5383.195080253452 -18.513868621669413
1000.0 CR NI 0.66 0.34 -40047.45 29670.79 69.718234 -69718.234 566.71674 1.18132 -37703.1282 -5329.889480842868 -16.184440332582916
1000.0 CR NI 0.67 0.33 -39922.69 29592.76 69.515456 -69515.456 552.09766 1.15954 -37673.4609 -5272.8782666291345 -14.018839384220772
1000.0 CR NI 0.68 0.32 -39799.62 29503.93 69.303548 -69303.54800000001 536.87811 1.13696 -37643.793600000005 -5212.106104985938 -12.023533441375523
1000.0 CR NI 0.69 0.31 -39678.38 29403.95 69.082333 -69082.333 521.05069 1.11358 -37614.1263 -5147.512474366544 -10.202552634924158
1000.0 CR NI 0.7 0.3 -39559.13 29292.5 68.851639 -68851.63900000001 504.608 1.0894 -37584.459 -5079.031239435412 -8.557462127877322
1000.0 CR NI 0.71 0.29 -39442.02 29169.29 68.611306 -68611.306 487.54263 1.06442 -37554.7917 -5006.590164916838 -7.087380915448835
1000.0 CR NI 0.72 0.28 -39327.17 29034.01 68.361181 -68361.181 469.84717 1.03864 -37525.1244 -4930.110357917027 -5.7890517967611235
1000.0 CR NI 0.73 0.27 -39214.7 28886.42 68.101115 -68101.11499999999 451.51422 1.01206 -37495.4571 -4849.50562624922 -4.6569611582341555
1000.0 CR NI 0.74 0.26 -39104.72 28726.25 67.830966 -67830.966 432.53638 0.98468 -37465.7898 -4764.681737489194 -3.6835080260367414
1000.0 CR NI 0.75 0.25 -38997.33 28553.26 67.550593 -67550.59300000001 412.90625 0.9565 -37436.1225 -4675.5355599330815 -2.859223460680491
1000.0 CR NI 0.76 0.24 -38892.62 28367.24 67.259854 -67259.854 392.61642 0.92752 -37406.455200000004 -4581.954062079136 -2.173036169745808
1000.0 CR NI 0.77 0.23 -38790.65 28167.96 66.958605 -66958.60500000001 371.65948 0.89774 -37376.7879 -4483.813141377225 -1.6125808140377111
1000.0 CR NI 0.78 0.22 -38691.49 27955.21 66.646696 -66646.69600000001 350.02803 0.86716 -37347.1206 -4380.9762453212115 -1.1645413194716903
1000.0 CR NI 0.79 0.21 -38595.17 27728.79 66.323964 -66323.964 327.71467 0.83578 -37317.4533 -4273.292737846922 -0.8150207380993341
1000.0 CR NI 0.8 0.2 -38501.74 27488.5 65.990233 -65990.23300000001 304.712 0.8036 -37287.786 -4160.595950508263 -0.5499281633289377
1000.0 CR NI 0.81 0.19 -38411.18 27234.12 65.645306 -65645.30600000001 281.01261 0.77062 -37258.1187 -4042.700839680471 -0.35536981631579523
1000.0 CR NI 0.82 0.18 -38323.51 26965.46 65.288963 -65288.962999999996 256.60909 0.73684 -37228.451400000005 -3919.4011460825286 -0.21803031322601119
1000.0 CR NI 0.83 0.17 -38238.66 26682.29 64.920952 -64920.952 231.49404 0.70226 -37198.784100000004 -3790.4659182159717 -0.1255278312578418
1000.0 CR NI 0.84 0.16 -38156.6 26384.39 64.540986 -64540.986000000004 205.66006 0.66688 -37169.1168 -3655.6352122824665 -0.06672611954196592
1000.0 CR NI 0.85 0.15 -38077.22 26071.51 64.148733 -64148.73299999999 179.09975 0.6307 -37139.4495 -3514.6147105629116 -0.03198576040009257
1000.0 CR NI 0.86 0.14 -38000.39 25743.42 63.743812 -63743.812 151.8057 0.59372 -37109.7822 -3367.068896564117 -0.013336964257750751
1000.0 CR NI 0.87 0.13 -37925.93 25399.85 63.325779 -63325.778999999995 123.7705 0.55594 -37080.1149 -3212.612269436596 -0.004557755893458419
1000.0 CR NI 0.88 0.12 -37853.6 25040.52 62.89412 -62894.12 94.986752 0.51736 -37050.4476 -3050.797839936944 -0.0011444232237182194
1000.0 CR NI 0.89 0.11 -37783.09 24665.15 62.448234 -62448.234 65.447054 0.47798 -37020.7803 -2881.1017688102497 -0.00016650687363479856
1000.0 CR NI 0.9 0.1 -37713.98 24273.43 61.987414 -61987.414000000004 35.144 0.4378 -36991.113000000005 -2702.902382263196 -6.909772443320082e-06
1000.0 CR NI 0.91 0.09 -37645.76 23865.06 61.510821 -61510.821 4.070186 0.39682 -36961.445700000004 -2515.450730144147 -1.3250736527717467e-10
1000.0 CR NI 0.92 0.08 -37577.7 23439.74 61.017442 -61017.442 27.781792 0.35504 -36931.7784 -2317.827941569919 -1.784834381759418e-06
1000.0 CR NI 0.93 0.07 -37508.87 22997.16 60.506028 -60506.028 60.419338 0.31246 -36902.11110000001 -2108.8810241804026 -7.770675853779501e-05
1000.0 CR NI 0.94 0.06 -37438.0 22536.99 59.974995 -59974.995 93.849856 0.26908 -36872.4438 -1887.1214658312765 -0.0006158040369269728
