T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 NB SN 1.0 0.0 -10813.9 0.0003003572 36.270001 -10813.90079815 0.0 0.0 -10813.9 0.0 -0.0
298.15 NB SN 0.01 0.99 -11092.46 6213.772 58.04539 -17306.2330285 0.0 0.0 -12629.857 -138.82602141683572 -0.0
298.15 NB SN 0.02 0.98 -9581.528 7938.989 58.764102 -17520.5170113 0.0 0.0 -12611.514000000001 -243.03584172567548 -0.0
298.15 NB SN 0.03 0.97 -8135.404 9577.212 59.408406 -17712.616248899998 0.0 0.0 -12593.171 -334.02154674813943 -0.0
298.15 NB SN 0.04 0.96 -6757.238 11130.0 59.994105 -17887.24240575 0.0 0.0 -12574.828000000001 -416.3281974105132 -0.0
298.15 NB SN 0.05 0.95 -5447.792 12598.93 60.528997 -18046.72045555 0.0 0.0 -12556.485 -492.11297050679866 -0.0
298.15 NB SN 0.06 0.94 -4206.942 13985.54 61.0179 -18192.486885 0.0 0.0 -12538.142000000002 -562.6452650375949 -0.0
298.15 NB SN 0.07 0.93 -3034.13 15291.42 61.464183 -18325.546161449998 0.0 0.0 -12519.798999999999 -628.7628773593874 -0.0
298.15 NB SN 0.08 0.92 -1928.556 16518.1 61.870402 -18446.6603563 0.0 0.0 -12501.456 -691.0604007790716 -0.0
298.15 NB SN 0.09 0.91 -889.2697 17667.17 62.238606 -18556.4403789 0.0 0.0 -12483.113000000001 -749.9816351924776 -0.0
298.15 NB SN 0.1 0.9 84.78095 18740.18 62.570508 -18655.396960199996 0.0 0.0 -12464.77 -805.870345271772 -0.0
298.15 NB SN 0.11 0.89 994.7164 19738.69 62.867589 -18743.97166035 0.0 0.0 -12446.427000000001 -859.000492370776 -0.0
298.15 NB SN 0.12 0.88 1841.708 20664.26 63.131157 -18822.55445955 0.0 0.0 -12428.084 -909.5953759771999 -0.0
298.15 NB SN 0.13 0.87 2626.966 21518.46 63.362396 -18891.498367399996 0.0 0.0 -12409.741000000002 -957.840348132521 -0.0
298.15 NB SN 0.14 0.86 3351.728 22302.85 63.562389 -18951.12628035 0.0 0.0 -12391.398000000001 -1003.8915915105914 -0.0
298.15 NB SN 0.15 0.85 4017.256 23018.99 63.732144 -19001.7387336 0.0 0.0 -12373.055 -1047.882375954332 -0.0
298.15 NB SN 0.16 0.84 4624.83 23668.45 63.872607 -19043.61777705 0.0 0.0 -12354.712 -1089.9276385420173 -0.0
298.15 NB SN 0.17 0.83 5175.744 24252.77 63.984675 -19077.030851249998 0.0 0.0 -12336.368999999999 -1130.1274135160918 -0.0
298.15 NB SN 0.18 0.82 5671.306 24773.54 64.069202 -19102.2325763 0.0 0.0 -12318.026000000002 -1168.5694517045056 -0.0
298.15 NB SN 0.19 0.81 6112.834 25232.3 64.127009 -19119.46773335 0.0 0.0 -12299.683 -1205.3312553507326 -0.0
298.15 NB SN 0.2 0.8 6501.652 25630.62 64.158888 -19128.9724572 0.0 0.0 -12281.340000000002 -1240.4816826440385 -0.0
298.15 NB SN 0.21 0.79 6839.094 25970.07 64.165605 -19130.975130749997 0.0 0.0 -12262.997000000001 -1274.08222978906 -0.0
298.15 NB SN 0.22 0.78 7126.5 26252.2 64.147906 -19125.6981739 0.0 0.0 -12244.654000000002 -1306.188067542519 -0.0
298.15 NB SN 0.23 0.77 7365.216 26478.57 64.106519 -19113.35863985 0.0 0.0 -12226.311000000002 -1336.8488881016199 -0.0
298.15 NB SN 0.24 0.76 7556.59 26650.76 64.042155 -19094.168513249995 0.0 0.0 -12207.968 -1366.1096036088943 -0.0
298.15 NB SN 0.25 0.75 7701.977 26770.31 63.95551 -19068.335306499997 0.0 0.0 -12189.625000000002 -1394.0109271940482 -0.0
298.15 NB SN 0.26 0.74 7802.735 26838.8 63.84727 -19036.0635505 0.0 0.0 -12171.282 -1420.5898600324033 -0.0
298.15 NB SN 0.27 0.73 7860.225 26857.78 63.718109 -18997.554198349997 0.0 0.0 -12152.939 -1445.8801024662048 -0.0
298.15 NB SN 0.28 0.72 7875.812 26828.82 63.568689 -18953.004625349997 0.0 0.0 -12134.596 -1469.9124032129614 -0.0
298.15 NB SN 0.29 0.71 7850.86 26753.47 63.399667 -18902.61071605 0.0 0.0 -12116.252999999999 -1492.7148576699553 -0.0
298.15 NB SN 0.3 0.7 7786.741 26633.31 63.211688 -18846.564777199997 0.0 0.0 -12097.91 -1514.313164037668 -0.0
298.15 NB SN 0.31 0.69 7684.825 26469.88 63.005393 -18785.057922949996 0.0 0.0 -12079.567 -1534.730844232385 -0.0
298.15 NB SN 0.32 0.68 7546.485 26264.76 62.781414 -18718.278584099997 0.0 0.0 -12061.224 -1553.9894352015579 -0.0
298.15 NB SN 0.33 0.67 7373.097 26019.51 62.540378 -18646.4137007 0.0 0.0 -12042.881 -1572.1086551954763 -0.0
298.15 NB SN 0.34 0.66 7166.037 25735.69 62.282906 -18569.6484239 0.0 0.0 -12024.538 -1589.1065487133012 -0.0
298.15 NB SN 0.35 0.65 6926.684 25414.85 62.009615 -18488.166712249997 0.0 0.0 -12006.195 -1604.9996131775667 -0.0
298.15 NB SN 0.36 0.64 6656.417 25058.57 61.721114 -18402.1501391 0.0 0.0 -11987.852 -1619.8029098595373 -0.0
298.15 NB SN 0.37 0.63 6356.618 24668.4 61.418012 -18311.780277799997 0.0 0.0 -11969.509000000002 -1633.5301611487748 -0.0
298.15 NB SN 0.38 0.62 6028.668 24245.9 61.10091 -18217.2363165 0.0 0.0 -11951.166000000001 -1646.193835911596 -0.0
298.15 NB SN 0.39 0.61 5673.951 23792.65 60.770407 -18118.69684705 0.0 0.0 -11932.823 -1657.8052243977716 -0.0
298.15 NB SN 0.4 0.6 5293.853 23310.19 60.427097 -18016.33897055 0.0 0.0 -11914.48 -1668.3745039196444 -0.0
298.15 NB SN 0.41 0.59 4889.758 22800.1 60.071573 -17910.339489949998 0.0 0.0 -11896.137 -1677.9107963326926 -0.0
298.15 NB SN 0.42 0.58 4463.054 22263.93 59.704421 -17800.873121149998 0.0 0.0 -11877.794000000002 -1686.4222181834425 -0.0
298.15 NB SN 0.43 0.57 4015.127 21703.24 59.326227 -17688.114580049998 0.0 0.0 -11859.451000000001 -1693.9159242532326 -0.0
298.15 NB SN 0.44 0.56 3547.367 21119.6 58.937572 -17572.237091799998 0.0 0.0 -11841.108 -1700.3981451097393 -0.0
298.15 NB SN 0.45 0.55 3061.164 20514.58 58.539034 -17453.4129871 0.0 0.0 -11822.765000000001 -1705.8742191782392 -0.0
298.15 NB SN 0.46 0.54 2557.906 19889.72 58.13119 -17331.814298499998 0.0 0.0 -11804.422000000002 -1710.3486197582595 -0.0
298.15 NB SN 0.47 0.53 2038.986 19246.6 57.714611 -17207.61126965 0.0 0.0 -11786.079 -1713.8249773357109 -0.0
298.15 NB SN 0.48 0.52 1505.796 18586.77 57.289869 -17080.974442349998 0.0 0.0 -11767.736 -1716.3060974737868 -0.0
298.15 NB SN 0.49 0.51 959.728 17911.8 56.85753 -16952.072569499996 0.0 0.0 -11749.393 -1717.7939745058845 -0.0
298.15 NB SN 0.5 0.5 402.1761 17223.25 56.418159 -16821.07410585 0.0 0.0 -11731.05 -1718.289801199083 -0.0
298.15 NB SN 0.51 0.49 -165.4653 16522.68 55.972317 -16688.146313549998 0.0 0.0 -11712.707 -1717.7939745058845 -0.0
298.15 NB SN 0.52 0.48 -741.8011 15811.66 55.520566 -16553.456752899998 0.0 0.0 -11694.364000000001 -1716.3060974737868 -0.0
298.15 NB SN 0.53 0.47 -1325.435 15091.74 55.06346 -16417.170598999997 0.0 0.0 -11676.021 -1713.8249773357109 -0.0
298.15 NB SN 0.54 0.46 -1914.971 14364.48 54.601554 -16279.4533251 0.0 0.0 -11657.678 -1710.3486197582595 -0.0
298.15 NB SN 0.55 0.45 -2509.01 13631.46 54.135399 -16140.469211849999 0.0 0.0 -11639.335 -1705.8742191782392 -0.0
298.15 NB SN 0.56 0.44 -3106.156 12894.23 53.665543 -16000.38164545 0.0 0.0 -11620.992 -1700.3981451097393 -0.0
298.15 NB SN 0.57 0.43 -3705.007 12154.35 53.192533 -15859.353713949999 0.0 0.0 -11602.649 -1693.9159242532328 -0.0
298.15 NB SN 0.58 0.42 -4304.164 11413.38 52.716911 -15717.54701465 0.0 0.0 -11584.306 -1686.4222181834425 -0.0
298.15 NB SN 0.59 0.41 -4902.226 10672.9 52.239216 -15575.122250399998 0.0 0.0 -11565.963 -1677.910796332693 -0.0
298.15 NB SN 0.6 0.4 -5497.792 9934.448 51.759986 -15432.239825899998 0.0 0.0 -11547.619999999999 -1668.3745039196444 -0.0
298.15 NB SN 0.61 0.39 -6089.457 9199.601 51.279753 -15289.05835695 0.0 0.0 -11529.277 -1657.8052243977716 -0.0
298.15 NB SN 0.62 0.38 -6675.819 8469.918 50.799049 -15145.736459349997 0.0 0.0 -11510.934000000001 -1646.193835911596 -0.0
298.15 NB SN 0.63 0.37 -7255.471 7746.959 50.318398 -15002.4303637 0.0 0.0 -11492.591 -1633.5301611487748 -0.0
298.15 NB SN 0.64 0.36 -7827.009 7032.287 49.838325 -14859.296598749997 0.0 0.0 -11474.248 -1619.8029098595373 -0.0
298.15 NB SN 0.65 0.35 -8389.025 6327.465 49.359347 -14716.489308049999 0.0 0.0 -11455.904999999999 -1604.9996131775667 -0.0
298.15 NB SN 0.66 0.34 -8940.11 5634.053 48.88198 -14574.162336999998 0.0 0.0 -11437.562 -1589.106548713301 -0.0
298.15 NB SN 0.67 0.33 -9478.854 4953.614 48.406734 -14432.4677421 0.0 0.0 -11419.219000000001 -1572.1086551954763 -0.0
298.15 NB SN 0.68 0.32 -10003.85 4287.71 47.934113 -14291.55579095 0.0 0.0 -11400.876 -1553.9894352015576 -0.0
298.15 NB SN 0.69 0.31 -10513.67 3637.903 47.464619 -14151.57615485 0.0 0.0 -11382.533 -1534.730844232385 -0.0
298.15 NB SN 0.7 0.3 -11006.92 3005.754 46.998745 -14012.67582175 0.0 0.0 -11364.19 -1514.313164037668 -0.0
298.15 NB SN 0.71 0.29 -11482.17 2392.827 46.53698 -13875.000586999999 0.0 0.0 -11345.847 -1492.7148576699553 -0.0
298.15 NB SN 0.72 0.28 -11938.01 1800.682 46.079806 -13738.694158899998 0.0 0.0 -11327.504 -1469.9124032129614 -0.0
298.15 NB SN 0.73 0.27 -12373.02 1230.881 45.627697 -13603.897860549998 0.0 0.0 -11309.161 -1445.8801024662048 -0.0
298.15 NB SN 0.74 0.26 -12785.76 684.9877 45.18112 -13470.750928 0.0 0.0 -11290.818 -1420.5898600324033 -0.0
298.15 NB SN 0.75 0.25 -13174.83 164.5627 44.740531 -13339.389317649999 0.0 0.0 -11272.474999999999 -1394.0109271940482 -0.0
298.15 NB SN 0.76 0.24 -13538.78 -328.8317 44.306379 -13209.94689885 0.0 0.0 -11254.132000000001 -1366.1096036088943 -0.0
298.15 NB SN 0.77 0.23 -13876.19 -793.6335 43.879101 -13082.553963149998 0.0 0.0 -11235.788999999999 -1336.8488881016199 -0.0
298.15 NB SN 0.78 0.22 -14185.62 -1228.281 43.45912 -12957.336628 0.0 0.0 -11217.446 -1306.188067542519 -0.0
298.15 NB SN 0.79 0.21 -14465.63 -1631.211 43.046846 -12834.417134899999 0.0 0.0 -11199.103 -1274.08222978906 -0.0
298.15 NB SN 0.8 0.2 -14714.78 -2000.864 42.642673 -12713.91295495 0.0 0.0 -11180.76 -1240.4816826440385 -0.0
298.15 NB SN 0.81 0.19 -14931.61 -2335.676 42.246977 -12595.93619255 0.0 0.0 -11162.417 -1205.3312553507324 -0.0
298.15 NB SN 0.82 0.18 -15114.68 -2634.085 41.860113 -12480.59269095 0.0 0.0 -11144.074 -1168.5694517045058 -0.0
298.15 NB SN 0.83 0.17 -15262.51 -2894.53 41.482409 -12367.980243349999 0.0 0.0 -11125.731 -1130.127413516092 -0.0
298.15 NB SN 0.84 0.16 -15373.64 -3115.449 41.114167 -12258.18889105 0.0 0.0 -11107.387999999999 -1089.9276385420173 -0.0
298.15 NB SN 0.85 0.15 -15446.58 -3295.279 40.755653 -12151.29794195 0.0 0.0 -11089.044999999998 -1047.882375954332 -0.0
298.15 NB SN 0.86 0.14 -15479.83 -3432.459 40.407092 -12047.374479799999 0.0 0.0 -11070.702 -1003.8915915105914 -0.0
298.15 NB SN 0.87 0.13 -15471.9 -3525.427 40.068659 -11946.470680849998 0.0 0.0 -11052.358999999999 -957.840348132521 -0.0
298.15 NB SN 0.88 0.12 -15421.24 -3572.621 39.740469 -11848.620832349998 0.0 0.0 -11034.016 -909.5953759771999 -0.0
298.15 NB SN 0.89 0.11 -15326.31 -3572.478 39.422556 -11753.835071399999 0.0 0.0 -11015.672999999999 -859.000492370776 -0.0
298.15 NB SN 0.9 0.1 -15185.53 -3523.438 39.114862 -11662.0961053 0.0 0.0 -10997.33 -805.870345271772 -0.0
298.15 NB SN 0.91 0.09 -14997.28 -3423.937 38.817197 -11573.347285549999 0.0 0.0 -10978.987 -749.9816351924775 -0.0
298.15 NB SN 0.92 0.08 -14759.9 -3272.414 38.529203 -11487.48187445 0.0 0.0 -10960.644 -691.0604007790713 -0.0
298.15 NB SN 0.93 0.07 -14471.63 -3067.307 38.250287 -11404.323069049999 0.0 0.0 -10942.301 -628.762877359387 -0.0
298.15 NB SN 0.94 0.06 -14130.65 -2807.054 37.979523 -11323.59478245 0.0 0.0 -10923.957999999999 -562.6452650375951 -0.0
298.15 NB SN 0.95 0.05 -13734.96 -2490.093 37.715475 -11244.868871249999 0.0 0.0 -10905.615 -492.1129705067989 -0.0
298.15 NB SN 0.96 0.04 -13282.34 -2114.862 37.455896 -11167.4753924 0.0 0.0 -10887.271999999999 -416.3281974105133 -0.0
298.15 NB SN 0.97 0.03 -12770.11 -1679.799 37.197087 -11090.31148905 0.0 0.0 -10868.929 -334.02154674813966 -0.0
298.15 NB SN 0.98 0.02 -12194.73 -1183.343 36.932375 -11011.387606249998 0.0 0.0 -10850.586 -243.03584172567562 -0.0
298.15 NB SN 0.99 0.01 -11550.26 -623.9301 36.647076 -10926.325709399998 0.0 0.0 -10832.243 -138.82602141683583 -0.0
320.0 NB SN 0.0 1.0 -13918.75 4992.895 59.098884 -18911.64288 0.0 0.0 -13918.75 0.0 -0.0
320.0 NB SN 1.0 0.0 -11625.58 537.2524 38.008859 -12162.83488 0.0 0.0 -11625.58 0.0 -0.0
320.0 NB SN 0.84 0.16 -16291.48 -2569.294 42.881837 -13722.187839999999 0.0 0.0 -11992.4872 -1169.8032679303894 -0.0
320.0 NB SN 0.85 0.15 -16356.57 -2749.681 42.521522 -13606.88704 0.0 0.0 -11969.5555 -1124.6767073801318 -0.0
320.0 NB SN 0.86 0.14 -16382.19 -2887.417 42.17116 -13494.7712 0.0 0.0 -11946.6238 -1077.4620469005176 -0.0
320.0 NB SN 0.87 0.13 -16366.84 -2980.942 41.830927 -13385.89664 0.0 0.0 -11923.6921 -1028.0359262197107 -0.0
320.0 NB SN 0.88 0.12 -16308.99 -3028.692 41.500936 -13280.29952 0.0 0.0 -11900.7604 -976.2553087798223 -0.0
320.0 NB SN 0.89 0.11 -16207.1 -3029.106 41.181223 -13177.99136 0.0 0.0 -11877.8287 -921.95256601928 -0.0
320.0 NB SN 0.9 0.1 -16059.57 -2980.621 40.871727 -13078.95264 0.0 0.0 -11854.897 -864.9287623242228 -0.0
320.0 NB SN 0.91 0.09 -15864.8 -2881.677 40.572262 -12983.12384 0.0 0.0 -11831.9653 -804.9442336461271 -0.0
320.0 NB SN 0.92 0.08 -15621.1 -2730.711 40.282467 -12890.389439999999 0.0 0.0 -11809.0336 -741.7049413023742 -0.0
320.0 NB SN 0.93 0.07 -15326.72 -2526.16 40.001751 -12800.56032 0.0 0.0 -11786.1019 -674.8419277377288 -0.0
320.0 NB SN 0.94 0.06 -14979.8 -2266.464 39.729186 -12713.33952 0.0 0.0 -11763.170199999999 -603.8788690660085 -0.0
320.0 NB SN 0.95 0.05 -14578.33 -1950.059 39.463338 -12628.26816 0.0 0.0 -11740.2385 -528.1775970557627 -0.0
320.0 NB SN 0.96 0.04 -14120.01 -1575.385 39.201957 -12544.62624 0.0 0.0 -11717.3068 -446.8389172274502 -0.0
320.0 NB SN 0.97 0.03 -13602.11 -1140.878 38.941348 -12461.23136 0.0 0.0 -11694.3751 -358.5004023458149 -0.0
320.0 NB SN 0.98 0.02 -13020.93 -644.9778 38.674836 -12375.94752 0.0 0.0 -11671.4434 -260.84678635658634 -0.0
320.0 NB SN 0.99 0.01 -12370.2 -86.12163 38.387736 -12284.075519999999 0.0 0.0 -11648.5117 -148.99992236588116 -0.0
330.0 NB SN 0.0 1.0 -14513.97 5267.114 59.942687 -19781.08671 0.0 0.0 -14513.97 0.0 -0.0
330.0 NB SN 1.0 0.0 -12009.5 785.1706 38.771736 -12794.672879999998 0.0 0.0 -12009.5 0.0 -0.0
330.0 NB SN 0.84 0.16 -16724.2 -2317.168 43.657661 -14407.028129999999 0.0 0.0 -12410.2152 -1206.359620053214 -0.0
330.0 NB SN 0.85 0.15 -16785.67 -2497.817 43.296537 -14287.85721 0.0 0.0 -12385.1705 -1159.822854485761 -0.0
330.0 NB SN 0.86 0.14 -16807.79 -2635.817 42.945366 -14171.97078 0.0 0.0 -12360.1258 -1111.1327358661588 -0.0
330.0 NB SN 0.87 0.13 -16789.03 -2729.604 42.604324 -14059.42692 0.0 0.0 -12335.0811 -1060.1620489140766 -0.0
330.0 NB SN 0.88 0.12 -16727.88 -2777.617 42.273523 -13950.262589999998 0.0 0.0 -12310.0364 -1006.7632871791917 -0.0
330.0 NB SN 0.89 0.11 -16622.78 -2778.294 41.953001 -13844.49033 0.0 0.0 -12284.991699999999 -950.7635837073825 -0.0
330.0 NB SN 0.9 0.1 -16472.16 -2730.073 41.642696 -13742.089680000001 0.0 0.0 -12259.947 -891.9577861468548 -0.0
330.0 NB SN 0.91 0.09 -16274.39 -2631.392 41.342421 -13642.99893 0.0 0.0 -12234.9023 -830.0987409475687 -0.0
330.0 NB SN 0.92 0.08 -16027.79 -2480.688 41.051817 -13547.09961 0.0 0.0 -12209.8576 -764.8832207180734 -0.0
330.0 NB SN 0.93 0.07 -15730.6 -2276.401 40.770292 -13454.19636 0.0 0.0 -12184.8129 -695.9307379795329 -0.0
330.0 NB SN 0.94 0.06 -15380.95 -2016.967 40.496917 -13363.982610000001 0.0 0.0 -12159.768199999999 -622.7500837243213 -0.0
330.0 NB SN 0.95 0.05 -14976.81 -1700.826 40.23026 -13275.9858 0.0 0.0 -12134.7235 -544.6831469637553 -0.0
330.0 NB SN 0.96 0.04 -14515.88 -1326.414 39.968071 -13189.46343 0.0 0.0 -12109.6788 -460.802633390808 -0.0
330.0 NB SN 0.97 0.03 -13995.37 -892.1708 39.706652 -13103.19516 0.0 0.0 -12084.634100000001 -369.70353991912157 -0.0
330.0 NB SN 0.98 0.02 -13411.51 -396.5335 39.43933 -13014.9789 0.0 0.0 -12059.589399999999 -268.99824843022964 -0.0
330.0 NB SN 0.99 0.01 -12757.91 162.0596 39.151421 -12919.96893 0.0 0.0 -12034.5447 -153.65616993981496 -0.0
340.0 NB SN 0.0 1.0 -15117.54 5543.181 60.766815 -20660.7171 0.0 0.0 -15117.54 0.0 -0.0
340.0 NB SN 1.0 0.0 -12400.95 1034.227 39.515236 -13435.18024 0.0 0.0 -12400.95 0.0 -0.0
340.0 NB SN 0.84 0.16 -17164.57 -2063.789 44.414062 -15100.78108 0.0 0.0 -12835.6044 -1242.9159721760386 -0.0
340.0 NB SN 0.85 0.15 -17222.43 -2244.709 44.052132 -14977.72488 0.0 0.0 -12808.4385 -1194.96900159139 -0.0
340.0 NB SN 0.86 0.14 -17241.03 -2382.979 43.700154 -14858.05236 0.0 0.0 -12781.2726 -1144.8034248318 -0.0
340.0 NB SN 0.87 0.13 -17218.86 -2477.036 43.358306 -14741.82404 0.0 0.0 -12754.1067 -1092.2881716084426 -0.0
340.0 NB SN 0.88 0.12 -17154.4 -2525.319 43.026698 -14629.07732 0.0 0.0 -12726.9408 -1037.271265578561 -0.0
340.0 NB SN 0.89 0.11 -17046.09 -2526.266 42.70537 -14519.8258 0.0 0.0 -12699.7749 -979.574601395485 -0.0
340.0 NB SN 0.9 0.1 -16892.36 -2478.315 42.394259 -14414.04806 0.0 0.0 -12672.609 -918.9868099694868 -0.0
340.0 NB SN 0.91 0.09 -16691.58 -2379.904 42.093178 -14311.68052 0.0 0.0 -12645.4431 -855.2532482490101 -0.0
340.0 NB SN 0.92 0.08 -16442.07 -2229.471 41.801768 -14212.601120000001 0.0 0.0 -12618.2772 -788.0615001337726 -0.0
340.0 NB SN 0.93 0.07 -16142.06 -2025.453 41.519436 -14116.60824 0.0 0.0 -12591.1113 -717.0195482213369 -0.0
340.0 NB SN 0.94 0.06 -15789.68 -1766.29 41.245255 -14023.386700000001 0.0 0.0 -12563.9454 -641.621298382634 -0.0
340.0 NB SN 0.95 0.05 -15382.87 -1450.418 40.977792 -13932.44928 0.0 0.0 -12536.7795 -561.1886968717479 -0.0
340.0 NB SN 0.96 0.04 -14919.31 -1076.277 40.714796 -13843.030639999999 0.0 0.0 -12509.6136 -474.76634955416586 -0.0
340.0 NB SN 0.97 0.03 -14396.18 -642.3037 40.452571 -13753.87414 0.0 0.0 -12482.4477 -380.9066774924283 -0.0
340.0 NB SN 0.98 0.02 -13809.65 -146.9366 40.184443 -13662.71062 0.0 0.0 -12455.2818 -277.14971050387294 -0.0
340.0 NB SN 0.99 0.01 -13153.16 411.3865 39.895727 -13564.54718 0.0 0.0 -12428.1159 -158.31241751374873 -0.0
350.0 NB SN 0.0 1.0 -15729.25 5821.117 61.572471 -21550.36485 0.0 0.0 -15729.25 0.0 -0.0
350.0 NB SN 1.0 0.0 -12799.75 1284.338 40.240237 -14084.08295 0.0 0.0 -12799.75 0.0 -0.0
350.0 NB SN 0.84 0.16 -17612.42 -1809.227 45.151968 -15803.188799999998 0.0 0.0 -13268.47 -1279.4723242988634 -0.0
350.0 NB SN 0.85 0.15 -17666.66 -1990.425 44.789231 -15676.23085 0.0 0.0 -13239.175000000001 -1230.115148697019 -0.0
350.0 NB SN 0.86 0.14 -17681.73 -2128.973 44.436447 -15552.75645 0.0 0.0 -13209.880000000001 -1178.474113797441 -0.0
350.0 NB SN 0.87 0.13 -17656.14 -2223.308 44.093792 -15432.8272 0.0 0.0 -13180.585 -1124.4142943028087 -0.0
350.0 NB SN 0.88 0.12 -17588.35 -2271.87 43.761378 -15316.4823 0.0 0.0 -13151.29 -1067.7792439779305 -0.0
350.0 NB SN 0.89 0.11 -17476.83 -2273.095 43.439243 -15203.73505 0.0 0.0 -13121.994999999999 -1008.3856190835875 -0.0
350.0 NB SN 0.9 0.1 -17319.99 -2225.422 43.127326 -15094.5641 0.0 0.0 -13092.699999999999 -946.0158337921188 -0.0
350.0 NB SN 0.91 0.09 -17116.19 -2127.289 42.825438 -14988.9033 0.0 0.0 -13063.405 -880.4077555504516 -0.0
350.0 NB SN 0.92 0.08 -16863.76 -1977.134 42.533221 -14886.627349999999 0.0 0.0 -13034.11 -811.2397795494718 -0.0
350.0 NB SN 0.93 0.07 -16560.92 -1773.395 42.250083 -14787.52905 0.0 0.0 -13004.814999999999 -738.1083584631409 -0.0
350.0 NB SN 0.94 0.06 -16205.79 -1514.51 41.975096 -14691.2836 0.0 0.0 -12975.52 -660.4925130409468 -0.0
350.0 NB SN 0.95 0.05 -15796.31 -1198.917 41.706825 -14597.38875 0.0 0.0 -12946.225 -577.6942467797405 -0.0
350.0 NB SN 0.96 0.04 -15330.11 -825.0537 41.443023 -14505.05805 0.0 0.0 -12916.93 -488.73006571752364 -0.0
350.0 NB SN 0.97 0.03 -14804.36 -391.3587 41.179992 -14412.9972 0.0 0.0 -12887.635 -392.109815065735 -0.0
350.0 NB SN 0.98 0.02 -14215.14 103.7302 40.911057 -14318.86995 0.0 0.0 -12858.34 -285.3011725775163 -0.0
350.0 NB SN 0.99 0.01 -13555.76 661.775 40.621535 -14217.537250000001 0.0 0.0 -12829.045 -162.96866508768252 -0.0
360.0 NB SN 0.0 1.0 -16348.93 6100.938 62.360739 -22449.86604 0.0 0.0 -16348.93 0.0 -0.0
360.0 NB SN 1.0 0.0 -13205.7 1535.426 40.947569 -14741.12484 0.0 0.0 -13205.7 0.0 -0.0
360.0 NB SN 0.84 0.16 -18067.55 -1553.541 45.87225 -16514.010000000002 0.0 0.0 -13708.616800000002 -1316.028676421688 -0.0
360.0 NB SN 0.85 0.15 -18118.16 -1735.026 45.508704 -16383.133440000001 0.0 0.0 -13677.184500000001 -1265.2612958026482 -0.0
360.0 NB SN 0.86 0.14 -18129.7 -1873.862 45.155111 -16255.83996 0.0 0.0 -13645.7522 -1212.1448027630822 -0.0
360.0 NB SN 0.87 0.13 -18100.68 -1968.485 44.811646 -16132.192560000001 0.0 0.0 -13614.3199 -1156.5404169971746 -0.0
360.0 NB SN 0.88 0.12 -18029.57 -2017.333 44.478423 -16012.23228 0.0 0.0 -13582.887600000002 -1098.2872223773 -0.0
360.0 NB SN 0.89 0.11 -17914.82 -2018.846 44.155479 -15895.97244 0.0 0.0 -13551.4553 -1037.19663677169 -0.0
360.0 NB SN 0.9 0.1 -17754.85 -1971.46 43.842752 -15783.39072 0.0 0.0 -13520.023000000001 -973.0448576147506 -0.0
360.0 NB SN 0.91 0.09 -17548.03 -1873.615 43.540055 -15674.419800000001 0.0 0.0 -13488.5907 -905.562262851893 -0.0
360.0 NB SN 0.92 0.08 -17292.68 -1723.747 43.247028 -15568.93008 0.0 0.0 -13457.1584 -834.4180589651709 -0.0
360.0 NB SN 0.93 0.07 -16987.0 -1520.295 42.963081 -15466.70916 0.0 0.0 -13425.7261 -759.1971687049449 -0.0
360.0 NB SN 0.94 0.06 -16629.12 -1261.697 42.687284 -15367.42224 0.0 0.0 -13394.293800000001 -679.3637276992596 -0.0
360.0 NB SN 0.95 0.05 -16216.95 -946.3915 42.418205 -15270.5538 0.0 0.0 -13362.8615 -594.199796687733 -0.0
360.0 NB SN 0.96 0.04 -15748.11 -572.8157 42.153593 -15175.29348 0.0 0.0 -13331.4292 -502.6937818808815 -0.0
360.0 NB SN 0.97 0.03 -15219.72 -139.408 41.889753 -15080.31108 0.0 0.0 -13299.9969 -403.3129526390417 -0.0
360.0 NB SN 0.98 0.02 -14627.81 355.3936 41.620008 -14983.202879999999 0.0 0.0 -13268.564600000002 -293.4526346511596 -0.0
360.0 NB SN 0.99 0.01 -13965.53 913.1511 41.329677 -14878.683719999999 0.0 0.0 -13237.1323 -167.62491266161632 -0.0
370.0 NB SN 0.0 1.0 -16976.41 6382.654 63.132598 -23359.061260000002 0.0 0.0 -16976.41 0.0 -0.0
370.0 NB SN 1.0 0.0 -13618.64 1787.427 41.63802 -15406.0674 0.0 0.0 -13618.64 0.0 -0.0
370.0 NB SN 0.84 0.16 -18529.8 -1296.786 46.575726 -17233.018620000003 0.0 0.0 -14155.8832 -1352.5850285445126 -0.0
370.0 NB SN 0.85 0.15 -18576.77 -1478.569 46.211365 -17098.20505 0.0 0.0 -14122.305499999999 -1300.4074429082773 -0.0
370.0 NB SN 0.86 0.14 -18584.78 -1617.701 45.856958 -16967.07446 0.0 0.0 -14088.7278 -1245.8154917287234 -0.0
370.0 NB SN 0.87 0.13 -18552.31 -1712.621 45.512679 -16839.69123 0.0 0.0 -14055.1501 -1188.6665396915405 -0.0
