T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 Y GA 0.0 1.0 -16213200.0 5051.794 54396.295 -16218255.354249999 0.0 0.0 -16213200.0 0.0 -0.0
298.15 Y GA 1.0 0.0 -11131.13 4500.001 52.427058 -15631.1273427 0.0 0.0 -11131.13 0.0 -0.0
298.15 Y GA 0.01 0.99 -16051320.0 5046.276 53853.322 -16056367.9543 0.0 0.0 -16051179.3113 -138.82602141683572 -0.0
298.15 Y GA 0.02 0.98 -15889410.0 5040.758 53310.233 -15894445.96895 0.0 0.0 -15889158.6226 -243.03584172567548 -0.0
298.15 Y GA 0.03 0.97 -15727480.0 5035.241 52767.099 -15732510.56685 0.0 0.0 -15727137.9339 -334.02154674813943 -0.0
298.15 Y GA 0.04 0.96 -15565540.0 5029.723 52223.936 -15570566.518399999 0.0 0.0 -15565117.2452 -416.3281974105132 -0.0
298.15 Y GA 0.05 0.95 -15403590.0 5024.205 51680.752 -15408616.2088 0.0 0.0 -15403096.5565 -492.11297050679866 -0.0
298.15 Y GA 0.06 0.94 -15241640.0 5018.687 51137.55 -15246660.532499999 0.0 0.0 -15241075.8678 -562.6452650375949 -0.0
298.15 Y GA 0.07 0.93 -15079690.0 5013.169 50594.333 -15084700.383949999 0.0 0.0 -15079055.179099998 -628.7628773593874 -0.0
298.15 Y GA 0.08 0.92 -14917730.0 5007.651 50051.103 -14922736.35945 0.0 0.0 -14917034.4904 -691.0604007790716 -0.0
298.15 Y GA 0.09 0.91 -14755770.0 5002.133 49507.862 -14760769.0553 0.0 0.0 -14755013.8017 -749.9816351924776 -0.0
298.15 Y GA 0.1 0.9 -14593800.0 4996.615 48964.611 -14598798.769649997 0.0 0.0 -14592993.113 -805.870345271772 -0.0
298.15 Y GA 0.11 0.89 -14431830.0 4991.097 48421.35 -14436825.502499998 0.0 0.0 -14430972.4243 -859.000492370776 -0.0
298.15 Y GA 0.12 0.88 -14269860.0 4985.579 47878.081 -14274849.850149998 0.0 0.0 -14268951.7356 -909.5953759771999 -0.0
298.15 Y GA 0.13 0.87 -14107890.0 4980.061 47334.805 -14112872.110749999 0.0 0.0 -14106931.0469 -957.840348132521 -0.0
298.15 Y GA 0.14 0.86 -13945920.0 4974.543 46791.52 -13950891.687999997 0.0 0.0 -13944910.3582 -1003.8915915105914 -0.0
298.15 Y GA 0.15 0.85 -13783940.0 4969.025 46248.229 -13788909.476349998 0.0 0.0 -13782889.6695 -1047.882375954332 -0.0
298.15 Y GA 0.16 0.84 -13621960.0 4963.507 45704.932 -13626925.475799998 0.0 0.0 -13620868.9808 -1089.9276385420173 -0.0
298.15 Y GA 0.17 0.83 -13459980.0 4957.989 45161.628 -13464939.388199998 0.0 0.0 -13458848.2921 -1130.1274135160918 -0.0
298.15 Y GA 0.18 0.82 -13298000.0 4952.472 44618.318 -13302951.511699999 0.0 0.0 -13296827.603400001 -1168.5694517045056 -0.0
298.15 Y GA 0.19 0.81 -13136020.0 4946.954 44075.003 -13140962.144449998 0.0 0.0 -13134806.9147 -1205.3312553507326 -0.0
298.15 Y GA 0.2 0.8 -12974030.0 4941.436 43531.682 -12978970.9883 0.0 0.0 -12972786.226 -1240.4816826440385 -0.0
298.15 Y GA 0.21 0.79 -12812040.0 4935.918 42988.356 -12816978.3414 0.0 0.0 -12810765.5373 -1274.08222978906 -0.0
298.15 Y GA 0.22 0.78 -12650050.0 4930.4 42445.025 -12654984.20375 0.0 0.0 -12648744.8486 -1306.188067542519 -0.0
298.15 Y GA 0.23 0.77 -12488060.0 4924.882 41901.689 -12492988.575349998 0.0 0.0 -12486724.1599 -1336.8488881016199 -0.0
298.15 Y GA 0.24 0.76 -12326070.0 4919.364 41358.348 -12330991.456199998 0.0 0.0 -12324703.4712 -1366.1096036088943 -0.0
298.15 Y GA 0.25 0.75 -12164080.0 4913.846 40815.003 -12168993.144449998 0.0 0.0 -12162682.7825 -1394.0109271940482 -0.0
298.15 Y GA 0.26 0.74 -12002090.0 4908.328 40271.654 -12006993.6401 0.0 0.0 -12000662.0938 -1420.5898600324033 -0.0
298.15 Y GA 0.27 0.73 -11840090.0 4902.81 39728.3 -11844992.645 0.0 0.0 -11838641.4051 -1445.8801024662048 -0.0
298.15 Y GA 0.28 0.72 -11678090.0 4897.292 39184.942 -11682990.4573 0.0 0.0 -11676620.7164 -1469.9124032129614 -0.0
298.15 Y GA 0.29 0.71 -11516100.0 4891.774 38641.58 -11520987.077 0.0 0.0 -11514600.0277 -1492.7148576699553 -0.0
298.15 Y GA 0.3 0.7 -11354100.0 4886.256 38098.213 -11358982.20595 0.0 0.0 -11352579.339 -1514.313164037668 -0.0
298.15 Y GA 0.31 0.69 -11192100.0 4880.738 37554.843 -11196976.44045 0.0 0.0 -11190558.6503 -1534.730844232385 -0.0
298.15 Y GA 0.32 0.68 -11030090.0 4875.22 37011.469 -11034969.48235 0.0 0.0 -11028537.961599998 -1553.9894352015579 -0.0
298.15 Y GA 0.33 0.67 -10868090.0 4869.702 36468.091 -10872961.33165 0.0 0.0 -10866517.272899998 -1572.1086551954763 -0.0
298.15 Y GA 0.34 0.66 -10706090.0 4864.185 35924.71 -10710952.2865 0.0 0.0 -10704496.584199999 -1589.1065487133012 -0.0
298.15 Y GA 0.35 0.65 -10544080.0 4858.667 35381.324 -10548941.750599999 0.0 0.0 -10542475.8955 -1604.9996131775667 -0.0
298.15 Y GA 0.36 0.64 -10382080.0 4853.149 34837.935 -10386930.320249999 0.0 0.0 -10380455.2068 -1619.8029098595373 -0.0
298.15 Y GA 0.37 0.63 -10220070.0 4847.631 34294.543 -10224917.99545 0.0 0.0 -10218434.5181 -1633.5301611487748 -0.0
298.15 Y GA 0.38 0.62 -10058060.0 4842.113 33751.146 -10062904.1799 0.0 0.0 -10056413.8294 -1646.193835911596 -0.0
298.15 Y GA 0.39 0.61 -9896053.0 4836.595 33207.747 -9900889.76805 0.0 0.0 -9894393.1407 -1657.8052243977716 -0.0
298.15 Y GA 0.4 0.6 -9734043.0 4831.077 32664.343 -9738873.86545 0.0 0.0 -9732372.452 -1668.3745039196444 -0.0
298.15 Y GA 0.41 0.59 -9572032.0 4825.559 32120.937 -9576857.36655 0.0 0.0 -9570351.763300002 -1677.9107963326926 -0.0
298.15 Y GA 0.42 0.58 -9410020.0 4820.041 31577.527 -9414839.675049998 0.0 0.0 -9408331.074600002 -1686.4222181834425 -0.0
298.15 Y GA 0.43 0.57 -9248006.0 4814.523 31034.113 -9252820.79095 0.0 0.0 -9246310.385900002 -1693.9159242532326 -0.0
298.15 Y GA 0.44 0.56 -9085992.0 4809.005 30490.696 -9090801.0124 0.0 0.0 -9084289.6972 -1700.3981451097393 -0.0
298.15 Y GA 0.45 0.55 -8923977.0 4803.487 29947.276 -8928780.339399999 0.0 0.0 -8922269.0085 -1705.8742191782392 -0.0
298.15 Y GA 0.46 0.54 -8761961.0 4797.969 29403.852 -8766758.4738 0.0 0.0 -8760248.3198 -1710.3486197582595 -0.0
298.15 Y GA 0.47 0.53 -8599943.0 4792.451 28860.425 -8604735.71375 0.0 0.0 -8598227.6311 -1713.8249773357109 -0.0
298.15 Y GA 0.48 0.52 -8437925.0 4786.933 28316.995 -8442712.059249999 0.0 0.0 -8436206.9424 -1716.3060974737868 -0.0
298.15 Y GA 0.49 0.51 -8275906.0 4781.416 27773.561 -8280687.21215 0.0 0.0 -8274186.2537 -1717.7939745058845 -0.0
298.15 Y GA 0.5 0.5 -8113886.0 4775.898 27230.124 -8118661.4706 0.0 0.0 -8112165.565 -1718.289801199083 -0.0
298.15 Y GA 0.51 0.49 -7951864.0 4770.38 26686.684 -7956634.8346 0.0 0.0 -7950144.8763 -1717.7939745058845 -0.0
298.15 Y GA 0.52 0.48 -7789842.0 4764.862 26143.24 -7794607.006 0.0 0.0 -7788124.1876 -1716.3060974737868 -0.0
298.15 Y GA 0.53 0.47 -7627819.0 4759.344 25599.793 -7632578.28295 0.0 0.0 -7626103.4989 -1713.8249773357109 -0.0
298.15 Y GA 0.54 0.46 -7465795.0 4753.826 25056.343 -7470548.665449999 0.0 0.0 -7464082.810199999 -1710.3486197582595 -0.0
298.15 Y GA 0.55 0.45 -7303770.0 4748.308 24512.889 -7308517.855349999 0.0 0.0 -7302062.121499999 -1705.8742191782392 -0.0
298.15 Y GA 0.56 0.44 -7141743.0 4742.79 23969.432 -7146486.1508 0.0 0.0 -7140041.432799999 -1700.3981451097393 -0.0
298.15 Y GA 0.57 0.43 -6979716.0 4737.272 23425.972 -6984453.5518 0.0 0.0 -6978020.744100001 -1693.9159242532328 -0.0
298.15 Y GA 0.58 0.42 -6817688.0 4731.754 22882.508 -6822419.7602 0.0 0.0 -6816000.055400001 -1686.4222181834425 -0.0
298.15 Y GA 0.59 0.41 -6655659.0 4726.236 22339.041 -6660385.07415 0.0 0.0 -6653979.366700001 -1677.910796332693 -0.0
298.15 Y GA 0.6 0.4 -6493628.0 4720.718 21795.57 -6498349.195499999 0.0 0.0 -6491958.678 -1668.3745039196444 -0.0
298.15 Y GA 0.61 0.39 -6331597.0 4715.2 21252.096 -6336312.4224 0.0 0.0 -6329937.9893 -1657.8052243977716 -0.0
298.15 Y GA 0.62 0.38 -6169565.0 4709.682 20708.618 -6174274.456699999 0.0 0.0 -6167917.3006 -1646.193835911596 -0.0
298.15 Y GA 0.63 0.37 -6007531.0 4704.164 20165.137 -6012235.596549999 0.0 0.0 -6005896.6119 -1633.5301611487748 -0.0
298.15 Y GA 0.64 0.36 -5845497.0 4698.647 19621.652 -5850195.543799999 0.0 0.0 -5843875.9232 -1619.8029098595373 -0.0
298.15 Y GA 0.65 0.35 -5683461.0 4693.129 19078.164 -5688154.5966 0.0 0.0 -5681855.2345 -1604.9996131775667 -0.0
298.15 Y GA 0.66 0.34 -5521425.0 4687.611 18534.672 -5526112.456799999 0.0 0.0 -5519834.5457999995 -1589.106548713301 -0.0
298.15 Y GA 0.67 0.33 -5359387.0 4682.093 17991.176 -5364069.124399999 0.0 0.0 -5357813.857099999 -1572.1086551954763 -0.0
298.15 Y GA 0.68 0.32 -5197348.0 4676.575 17447.677 -5202024.89755 0.0 0.0 -5195793.168399999 -1553.9894352015576 -0.0
298.15 Y GA 0.69 0.31 -5035308.0 4671.057 16904.174 -5039979.478099999 0.0 0.0 -5033772.479700001 -1534.730844232385 -0.0
298.15 Y GA 0.7 0.3 -4873267.0 4665.539 16360.666 -4877932.567899999 0.0 0.0 -4871751.791000001 -1514.313164037668 -0.0
298.15 Y GA 0.71 0.29 -4711225.0 4660.021 15817.155 -4715884.76325 0.0 0.0 -4709731.102300001 -1492.7148576699553 -0.0
298.15 Y GA 0.72 0.28 -4549181.0 4654.503 15273.64 -4553835.766 0.0 0.0 -4547710.4136 -1469.9124032129614 -0.0
298.15 Y GA 0.73 0.27 -4387137.0 4648.985 14730.121 -4391785.576149999 0.0 0.0 -4385689.7249 -1445.8801024662048 -0.0
298.15 Y GA 0.74 0.26 -4225091.0 4643.467 14186.597 -4229733.89555 0.0 0.0 -4223669.0362 -1420.5898600324033 -0.0
298.15 Y GA 0.75 0.25 -4063043.0 4637.949 13643.07 -4067681.3204999994 0.0 0.0 -4061648.3475 -1394.0109271940482 -0.0
298.15 Y GA 0.76 0.24 -3900995.0 4632.431 13099.537 -3905626.95655 0.0 0.0 -3899627.6588 -1366.1096036088943 -0.0
298.15 Y GA 0.77 0.23 -3738945.0 4626.913 12556.0 -3743571.4 0.0 0.0 -3737606.9700999996 -1336.8488881016199 -0.0
298.15 Y GA 0.78 0.22 -3576893.0 4621.395 12012.459 -3581514.65085 0.0 0.0 -3575586.2813999997 -1306.188067542519 -0.0
298.15 Y GA 0.79 0.21 -3414840.0 4615.877 11468.913 -3419456.41095 0.0 0.0 -3413565.5926999995 -1274.08222978906 -0.0
298.15 Y GA 0.8 0.2 -3252786.0 4610.36 10925.361 -3257396.38215 0.0 0.0 -3251544.903999999 -1240.4816826440385 -0.0
298.15 Y GA 0.81 0.19 -3090730.0 4604.842 10381.805 -3095335.16075 0.0 0.0 -3089524.215299999 -1205.3312553507324 -0.0
298.15 Y GA 0.82 0.18 -2928673.0 4599.324 9838.2426 -2933272.0311899995 0.0 0.0 -2927503.526600001 -1168.5694517045058 -0.0
298.15 Y GA 0.83 0.17 -2766614.0 4593.806 9294.675 -2771207.3512499994 0.0 0.0 -2765482.8379000006 -1130.127413516092 -0.0
298.15 Y GA 0.84 0.16 -2604553.0 4588.288 8751.1015 -2609140.912225 0.0 0.0 -2603462.1492000003 -1089.9276385420173 -0.0
298.15 Y GA 0.85 0.15 -2442490.0 4582.77 8207.5218 -2447072.62467 0.0 0.0 -2441441.4605000005 -1047.882375954332 -0.0
298.15 Y GA 0.86 0.14 -2280425.0 4577.252 7663.9356 -2285002.39914 0.0 0.0 -2279420.7718 -1003.8915915105914 -0.0
298.15 Y GA 0.87 0.13 -2118358.0 4571.734 7120.3425 -2122930.1163749998 0.0 0.0 -2117400.0831 -957.840348132521 -0.0
298.15 Y GA 0.88 0.12 -1956289.0 4566.216 6576.742 -1960855.6272999998 0.0 0.0 -1955379.3944 -909.5953759771999 -0.0
298.15 Y GA 0.89 0.11 -1794218.0 4560.698 6033.1336 -1798778.78284 0.0 0.0 -1793358.7056999998 -859.000492370776 -0.0
298.15 Y GA 0.9 0.1 -1632144.0 4555.18 5489.5167 -1636699.404105 0.0 0.0 -1631338.0169999995 -805.870345271772 -0.0
298.15 Y GA 0.91 0.09 -1470068.0 4549.662 4945.8906 -1474617.2823899998 0.0 0.0 -1469317.3282999995 -749.9816351924775 -0.0
298.15 Y GA 0.92 0.08 -1307988.0 4544.144 4402.2543 -1312532.1195449997 0.0 0.0 -1307296.6395999994 -691.0604007790713 -0.0
298.15 Y GA 0.93 0.07 -1145905.0 4538.626 3858.6067 -1150443.5876049998 0.0 0.0 -1145275.9508999994 -628.762877359387 -0.0
298.15 Y GA 0.94 0.06 -983818.1 4533.108 3314.9462 -988351.2095299999 0.0 0.0 -983255.2622000008 -562.6452650375951 -0.0
298.15 Y GA 0.95 0.05 -821726.9 4527.591 2771.271 -826254.44865 0.0 0.0 -821234.5735000006 -492.1129705067989 -0.0
298.15 Y GA 0.96 0.04 -659630.3 4522.073 2227.5781 -664152.410515 0.0 0.0 -659213.8848000006 -416.3281974105133 -0.0
298.15 Y GA 0.97 0.03 -497527.3 4516.555 1683.8634 -502043.87270999997 0.0 0.0 -497193.1961000004 -334.02154674813966 -0.0
298.15 Y GA 0.98 0.02 -335415.6 4511.037 1140.1196 -339926.65874 0.0 0.0 -335172.5074000003 -243.03584172567562 -0.0
298.15 Y GA 0.99 0.01 -173290.7 4505.519 596.33136 -177796.194984 0.0 0.0 -173151.81870000015 -138.82602141683583 -0.0
320.0 Y GA 0.0 1.0 -17401780.0 5607.836 54398.094 -17407390.08 0.0 0.0 -17401780.0 0.0 -0.0
320.0 Y GA 1.0 0.0 -12297.32 5080.92 54.307003 -17378.24096 0.0 0.0 -12297.32 0.0 -0.0
320.0 Y GA 0.31 0.69 -12012690.0 5444.492 37556.668 -12018133.76 0.0 0.0 -12011040.369199999 -1647.2039917972943 -0.0
320.0 Y GA 0.32 0.68 -11838820.0 5439.223 37013.295 -11844254.399999999 0.0 0.0 -11837145.542399999 -1667.8739535955008 -0.0
320.0 Y GA 0.33 0.67 -11664940.0 5433.954 36469.917 -11670373.440000001 0.0 0.0 -11663250.715599999 -1687.321045321323 -0.0
320.0 Y GA 0.34 0.66 -11491060.0 5428.685 35926.537 -11496491.84 0.0 0.0 -11489355.888799999 -1705.5646338697181 -0.0
320.0 Y GA 0.35 0.65 -11317190.0 5423.416 35383.152 -11322608.64 0.0 0.0 -11315461.062 -1722.622425681105 -0.0
320.0 Y GA 0.36 0.64 -11143310.0 5418.147 34839.764 -11148724.48 0.0 0.0 -11141566.2352 -1738.510585795915 -0.0
320.0 Y GA 0.37 0.63 -10969430.0 5412.877 34296.372 -10974839.040000001 0.0 0.0 -10967671.408400001 -1753.2438422525843 -0.0
320.0 Y GA 0.38 0.62 -10795540.0 5407.608 33752.977 -10800952.64 0.0 0.0 -10793776.5816 -1766.8355777015288 -0.0
320.0 Y GA 0.39 0.61 -10621660.0 5402.339 33209.578 -10627064.96 0.0 0.0 -10619881.7548 -1779.2979098013984 -0.0
320.0 Y GA 0.4 0.6 -10447780.0 5397.07 32666.175 -10453176.0 0.0 0.0 -10445986.928 -1790.6417617115085 -0.0
320.0 Y GA 0.41 0.59 -10273890.0 5391.801 32122.769 -10279286.08 0.0 0.0 -10272092.101200001 -1800.8769237848792 -0.0
320.0 Y GA 0.42 0.58 -10100010.0 5386.532 31579.36 -10105395.2 0.0 0.0 -10098197.2744 -1810.0121073912517 -0.0
320.0 Y GA 0.43 0.57 -9926122.0 5381.262 31035.947 -9931503.04 0.0 0.0 -9924302.447600001 -1818.0549916519687 -0.0
320.0 Y GA 0.44 0.56 -9752234.0 5375.993 30492.531 -9757609.92 0.0 0.0 -9750407.620800002 -1825.0122637434733 -0.0
320.0 Y GA 0.45 0.55 -9578345.0 5370.724 29949.112 -9583715.84 0.0 0.0 -9576512.794 -1830.8896533189222 -0.0
320.0 Y GA 0.46 0.54 -9404455.0 5365.455 29405.689 -9409820.48 0.0 0.0 -9402617.967200002 -1835.6919615047564 -0.0
320.0 Y GA 0.47 0.53 -9230564.0 5360.186 28862.263 -9235924.16 0.0 0.0 -9228723.1404 -1839.4230848479879 -0.0
320.0 Y GA 0.48 0.52 -9056672.0 5354.917 28318.833 -9062026.559999999 0.0 0.0 -9054828.3136 -1842.0860345182352 -0.0
320.0 Y GA 0.49 0.51 -8882778.0 5349.647 27775.4 -8888128.0 0.0 0.0 -8880933.4868 -1843.682951004136 -0.0
320.0 Y GA 0.5 0.5 -8708884.0 5344.378 27231.964 -8714228.48 0.0 0.0 -8707038.66 -1844.2151144850131 -0.0
320.0 Y GA 0.51 0.49 -8534989.0 5339.109 26688.524 -8540327.68 0.0 0.0 -8533143.833199998 -1843.682951004136 -0.0
320.0 Y GA 0.52 0.48 -8361092.0 5333.84 26145.081 -8366425.92 0.0 0.0 -8359249.006399999 -1842.0860345182352 -0.0
320.0 Y GA 0.53 0.47 -8187195.0 5328.571 25601.635 -8192523.199999999 0.0 0.0 -8185354.179599999 -1839.4230848479879 -0.0
320.0 Y GA 0.54 0.46 -8013296.0 5323.302 25058.186 -8018619.5200000005 0.0 0.0 -8011459.3527999995 -1835.6919615047564 -0.0
320.0 Y GA 0.55 0.45 -7839396.0 5318.032 24514.733 -7844714.5600000005 0.0 0.0 -7837564.525999999 -1830.8896533189222 -0.0
320.0 Y GA 0.56 0.44 -7665496.0 5312.763 23971.277 -7670808.64 0.0 0.0 -7663669.6992 -1825.0122637434733 -0.0
320.0 Y GA 0.57 0.43 -7491594.0 5307.494 23427.817 -7496901.4399999995 0.0 0.0 -7489774.872400002 -1818.0549916519692 -0.0
320.0 Y GA 0.58 0.42 -7317691.0 5302.225 22884.354 -7322993.279999999 0.0 0.0 -7315880.045600001 -1810.0121073912517 -0.0
320.0 Y GA 0.59 0.41 -7143787.0 5296.956 22340.888 -7149084.16 0.0 0.0 -7141985.218800001 -1800.8769237848794 -0.0
320.0 Y GA 0.6 0.4 -6969882.0 5291.687 21797.418 -6975173.760000001 0.0 0.0 -6968090.392 -1790.6417617115085 -0.0
320.0 Y GA 0.61 0.39 -6795976.0 5286.417 21253.944 -6801262.08 0.0 0.0 -6794195.5652 -1779.2979098013984 -0.0
320.0 Y GA 0.62 0.38 -6622068.0 5281.148 20710.468 -6627349.76 0.0 0.0 -6620300.7384 -1766.8355777015288 -0.0
320.0 Y GA 0.63 0.37 -6448160.0 5275.879 20166.987 -6453435.84 0.0 0.0 -6446405.911599999 -1753.2438422525843 -0.0
320.0 Y GA 0.64 0.36 -6274250.0 5270.61 19623.503 -6279520.96 0.0 0.0 -6272511.084799999 -1738.510585795915 -0.0
320.0 Y GA 0.65 0.35 -6100340.0 5265.341 19080.016 -6105605.12 0.0 0.0 -6098616.258 -1722.622425681105 -0.0
320.0 Y GA 0.66 0.34 -5926428.0 5260.072 18536.525 -5931688.0 0.0 0.0 -5924721.4311999995 -1705.564633869718 -0.0
320.0 Y GA 0.67 0.33 -5752515.0 5254.802 17993.03 -5757769.6 0.0 0.0 -5750826.6044 -1687.321045321323 -0.0
320.0 Y GA 0.68 0.32 -5578600.0 5249.533 17449.531 -5583849.92 0.0 0.0 -5576931.777599999 -1667.8739535955006 -0.0
320.0 Y GA 0.69 0.31 -5404685.0 5244.264 16906.029 -5409929.279999999 0.0 0.0 -5403036.950800001 -1647.2039917972943 -0.0
320.0 Y GA 0.7 0.3 -5230768.0 5238.995 16362.522 -5236007.04 0.0 0.0 -5229142.124000001 -1625.289996619332 -0.0
320.0 Y GA 0.71 0.29 -5056850.0 5233.726 15819.012 -5062083.84 0.0 0.0 -5055247.2972 -1602.1088527733884 -0.0
320.0 Y GA 0.72 0.28 -4882931.0 5228.457 15275.498 -4888159.359999999 0.0 0.0 -4881352.4704 -1577.6353145334488 -0.0
320.0 Y GA 0.73 0.27 -4709010.0 5223.187 14731.979 -4714233.279999999 0.0 0.0 -4707457.643600001 -1551.8418003997504 -0.0
320.0 Y GA 0.74 0.26 -4535088.0 5217.918 14188.456 -4540305.92 0.0 0.0 -4533562.8168 -1524.6981559965425 -0.0
320.0 Y GA 0.75 0.25 -4361165.0 5212.649 13644.929 -4366377.28 0.0 0.0 -4359667.99 -1496.1713791785862 -0.0
320.0 Y GA 0.76 0.24 -4187240.0 5207.38 13101.398 -4192447.36 0.0 0.0 -4185773.1632 -1466.2252998653234 -0.0
320.0 Y GA 0.77 0.23 -4013314.0 5202.111 12557.862 -4018515.84 0.0 0.0 -4011878.3364 -1434.8202052407123 -0.0
320.0 Y GA 0.78 0.22 -3839386.0 5196.842 12014.321 -3844582.7199999997 0.0 0.0 -3837983.5095999995 -1401.912398502788 -0.0
320.0 Y GA 0.79 0.21 -3665457.0 5191.572 11470.776 -3670648.32 0.0 0.0 -3664088.682799999 -1367.4536761110153 -0.0
320.0 Y GA 0.8 0.2 -3491526.0 5186.303 10927.225 -3496712.0 0.0 0.0 -3490193.855999999 -1331.3907041626444 -0.0
320.0 Y GA 0.81 0.19 -3317593.0 5181.034 10383.669 -3322774.08 0.0 0.0 -3316299.0291999993 -1293.664268697751 -0.0
320.0 Y GA 0.82 0.18 -3143659.0 5175.765 9840.1081 -3148834.5919999997 0.0 0.0 -3142404.2024000008 -1254.2083667464094 -0.0
320.0 Y GA 0.83 0.17 -2969723.0 5170.496 9296.5413 -2974893.216 0.0 0.0 -2968509.3756000004 -1212.949093829111 -0.0
320.0 Y GA 0.84 0.16 -2795785.0 5165.227 8752.9686 -2800949.952 0.0 0.0 -2794614.548800001 -1169.8032679303894 -0.0
320.0 Y GA 0.85 0.15 -2621845.0 5159.957 8209.3897 -2627004.704 0.0 0.0 -2620719.7220000005 -1124.6767073801318 -0.0
320.0 Y GA 0.86 0.14 -2447903.0 5154.688 7665.8043 -2453057.376 0.0 0.0 -2446824.8952 -1077.4620469005176 -0.0
320.0 Y GA 0.87 0.13 -2273958.0 5149.419 7122.212 -2279107.8400000003 0.0 0.0 -2272930.0683999998 -1028.0359262197107 -0.0
320.0 Y GA 0.88 0.12 -2100012.0 5144.15 6578.6123 -2105155.9359999998 0.0 0.0 -2099035.2416 -976.2553087798223 -0.0
320.0 Y GA 0.89 0.11 -1926063.0 5138.881 6035.0047 -1931201.5040000002 0.0 0.0 -1925140.4148 -921.95256601928 -0.0
320.0 Y GA 0.9 0.1 -1752111.0 5133.612 5491.3886 -1757244.352 0.0 0.0 -1751245.5879999995 -864.9287623242228 -0.0
320.0 Y GA 0.91 0.09 -1578156.0 5128.343 4947.7633 -1583284.2559999998 0.0 0.0 -1577350.7611999996 -804.9442336461271 -0.0
320.0 Y GA 0.92 0.08 -1404198.0 5123.073 4404.1278 -1409320.8960000002 0.0 0.0 -1403455.9343999992 -741.7049413023742 -0.0
320.0 Y GA 0.93 0.07 -1230236.0 5117.804 3860.481 -1235353.9200000002 0.0 0.0 -1229561.107599999 -674.8419277377288 -0.0
320.0 Y GA 0.94 0.06 -1056270.0 5112.535 3316.8214 -1061382.848 0.0 0.0 -1055666.280800001 -603.8788690660085 -0.0
320.0 Y GA 0.95 0.05 -882299.8 5107.266 2773.1469 -887407.008 0.0 0.0 -881771.4540000008 -528.1775970557627 -0.0
320.0 Y GA 0.96 0.04 -708323.6 5101.997 2229.4549 -713425.5680000001 0.0 0.0 -707876.6272000007 -446.8389172274502 -0.0
320.0 Y GA 0.97 0.03 -534340.4 5096.728 1685.7409 -539437.088 0.0 0.0 -533981.8004000005 -358.5004023458149 -0.0
320.0 Y GA 0.98 0.02 -360347.9 5091.458 1141.9979 -365439.32800000004 0.0 0.0 -360086.9736000003 -260.84678635658634 -0.0
320.0 Y GA 0.99 0.01 -186341.2 5086.189 598.2105 -191427.36000000002 0.0 0.0 -186192.14680000016 -148.99992236588116 -0.0
330.0 Y GA 0.0 1.0 -17945770.0 5864.406 54398.884 -17951631.72 0.0 0.0 -17945770.0 0.0 -0.0
330.0 Y GA 1.0 0.0 -12844.58 5351.99 55.141114 -18196.56762 0.0 0.0 -12844.58 0.0 -0.0
330.0 Y GA 0.31 0.69 -12388260.0 5705.557 37557.471 -12393965.43 0.0 0.0 -12386563.1198 -1698.6791165409597 -0.0
330.0 Y GA 0.32 0.68 -12208950.0 5700.433 37014.098 -12214652.34 0.0 0.0 -12207233.8656 -1719.9950146453602 -0.0
330.0 Y GA 0.33 0.67 -12029640.0 5695.309 36470.722 -12035338.26 0.0 0.0 -12027904.611399999 -1740.0498279876144 -0.0
330.0 Y GA 0.34 0.66 -11850330.0 5690.185 35927.341 -11856022.53 0.0 0.0 -11848575.357199999 -1758.8635286781468 -0.0
330.0 Y GA 0.35 0.65 -11671020.0 5685.061 35383.957 -11676705.81 0.0 0.0 -11669246.103 -1776.4543764836394 -0.0
330.0 Y GA 0.36 0.64 -11491710.0 5679.937 34840.569 -11497387.770000001 0.0 0.0 -11489916.848800002 -1792.8390416020372 -0.0
330.0 Y GA 0.37 0.63 -11312390.0 5674.812 34297.178 -11318068.74 0.0 0.0 -11310587.5946 -1808.0327123229777 -0.0
330.0 Y GA 0.38 0.62 -11133080.0 5669.688 33753.783 -11138748.39 0.0 0.0 -11131258.340400001 -1822.0491895047014 -0.0
330.0 Y GA 0.39 0.61 -10953760.0 5664.564 33210.385 -10959427.05 0.0 0.0 -10951929.086199999 -1834.900969482692 -0.0
330.0 Y GA 0.4 0.6 -10774440.0 5659.44 32666.983 -10780104.39 0.0 0.0 -10772599.832 -1846.599316764993 -0.0
330.0 Y GA 0.41 0.59 -10595130.0 5654.316 32123.577 -10600780.41 0.0 0.0 -10593270.5778 -1857.1543276531568 -0.0
330.0 Y GA 0.42 0.58 -10415810.0 5649.192 31580.168 -10421455.440000001 0.0 0.0 -10413941.323600002 -1866.574985747228 -0.0
330.0 Y GA 0.43 0.57 -10236490.0 5644.067 31036.756 -10242129.48 0.0 0.0 -10234612.0694 -1874.869210141093 -0.0
330.0 Y GA 0.44 0.56 -10057160.0 5638.943 30493.34 -10062802.2 0.0 0.0 -10055282.815200001 -1882.043896985457 -0.0
330.0 Y GA 0.45 0.55 -9877840.0 5633.819 29949.921 -9883473.93 0.0 0.0 -9875953.561 -1888.1049549851384 -0.0
330.0 Y GA 0.46 0.54 -9698516.0 5628.695 29406.499 -9704144.67 0.0 0.0 -9696624.3068 -1893.0573353017799 -0.0
