T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL ND 0.0 1.0 -19919.93 1437.295 71.632481 -21357.224210149998 0.0 0.0 -19919.93 0.0 -0.0
298.15 AL ND 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL ND 0.01 0.99 -20920.16 302.7746 71.182073 -21222.935064949997 0.0 0.0 -19718.627119 -138.82602141683572 -0.0
298.15 AL ND 0.02 0.98 -21869.32 -812.2082 70.625894 -21057.1102961 0.0 0.0 -19517.324238 -243.03584172567548 -0.0
298.15 AL ND 0.03 0.97 -22788.81 -1907.661 70.035705 -20881.145445749997 0.0 0.0 -19316.021357 -334.02154674813943 -0.0
298.15 AL ND 0.04 0.96 -23683.17 -2983.585 69.426763 -20699.589388449996 0.0 0.0 -19114.718476 -416.3281974105132 -0.0
298.15 AL ND 0.05 0.95 -24554.58 -4039.974 68.806314 -20514.602519099997 0.0 0.0 -18913.415595 -492.11297050679866 -0.0
298.15 AL ND 0.06 0.94 -25404.27 -5076.814 68.178627 -20327.45764005 0.0 0.0 -18712.112714 -562.6452650375949 -0.0
298.15 AL ND 0.07 0.93 -26233.08 -6094.086 67.546526 -20138.996726899997 0.0 0.0 -18510.809833 -628.7628773593874 -0.0
298.15 AL ND 0.08 0.92 -27041.58 -7091.765 66.912017 -19949.81786855 0.0 0.0 -18309.506952000003 -691.0604007790716 -0.0
298.15 AL ND 0.09 0.91 -27830.18 -8069.816 66.276599 -19760.36799185 0.0 0.0 -18108.204071000004 -749.9816351924776 -0.0
298.15 AL ND 0.1 0.9 -28599.19 -9028.199 65.641438 -19570.994739699996 0.0 0.0 -17906.90119 -805.870345271772 -0.0
298.15 AL ND 0.11 0.89 -29348.84 -9966.868 65.007465 -19381.975689749997 0.0 0.0 -17705.598309 -859.000492370776 -0.0
298.15 AL ND 0.12 0.88 -30079.31 -10885.77 64.37544 -19193.537436 0.0 0.0 -17504.295428 -909.5953759771999 -0.0
298.15 AL ND 0.13 0.87 -30790.71 -11784.84 63.745998 -19005.869303699998 0.0 0.0 -17302.992547 -957.840348132521 -0.0
298.15 AL ND 0.14 0.86 -31483.15 -12664.02 63.119674 -18819.1308031 0.0 0.0 -17101.689666000002 -1003.8915915105914 -0.0
298.15 AL ND 0.15 0.85 -32156.69 -13523.23 62.496927 -18633.45878505 0.0 0.0 -16900.386785000002 -1047.882375954332 -0.0
298.15 AL ND 0.16 0.84 -32811.36 -14362.39 61.878155 -18448.97191325 0.0 0.0 -16699.083904 -1089.9276385420173 -0.0
298.15 AL ND 0.17 0.83 -33447.18 -15181.41 61.263705 -18265.77364575 0.0 0.0 -16497.781023 -1130.1274135160918 -0.0
298.15 AL ND 0.18 0.82 -34064.15 -15980.2 60.653884 -18083.9555146 0.0 0.0 -16296.478142000002 -1168.5694517045056 -0.0
298.15 AL ND 0.19 0.81 -34662.25 -16758.65 60.048963 -17903.59831845 0.0 0.0 -16095.175261000002 -1205.3312553507326 -0.0
298.15 AL ND 0.2 0.8 -35241.44 -17516.67 59.449185 -17724.77450775 0.0 0.0 -15893.87238 -1240.4816826440385 -0.0
298.15 AL ND 0.21 0.79 -35801.68 -18254.13 58.854769 -17547.54937735 0.0 0.0 -15692.569499000001 -1274.08222978906 -0.0
298.15 AL ND 0.22 0.78 -36342.89 -18970.91 58.265912 -17371.981662799997 0.0 0.0 -15491.266618000001 -1306.188067542519 -0.0
298.15 AL ND 0.23 0.77 -36865.02 -19666.89 57.682792 -17198.1244348 0.0 0.0 -15289.963737 -1336.8488881016199 -0.0
298.15 AL ND 0.24 0.76 -37367.96 -20341.93 57.105572 -17026.0262918 0.0 0.0 -15088.660856 -1366.1096036088943 -0.0
298.15 AL ND 0.25 0.75 -37851.62 -20995.89 56.534401 -16855.731658149998 0.0 0.0 -14887.357975 -1394.0109271940482 -0.0
298.15 AL ND 0.26 0.74 -38315.9 -21628.62 55.969414 -16687.2807841 0.0 0.0 -14686.055094 -1420.5898600324033 -0.0
298.15 AL ND 0.27 0.73 -38760.67 -22239.96 55.410738 -16520.7115347 0.0 0.0 -14484.752213 -1445.8801024662048 -0.0
298.15 AL ND 0.28 0.72 -39185.81 -22829.75 54.858486 -16356.057600899998 0.0 0.0 -14283.449332 -1469.9124032129614 -0.0
298.15 AL ND 0.29 0.71 -39591.18 -23397.83 54.312765 -16193.350884749998 0.0 0.0 -14082.146450999999 -1492.7148576699553 -0.0
298.15 AL ND 0.3 0.7 -39976.64 -23944.02 53.773673 -16032.62060495 0.0 0.0 -13880.843569999999 -1514.313164037668 -0.0
298.15 AL ND 0.31 0.69 -40342.02 -24468.13 53.241301 -15873.893893149998 0.0 0.0 -13679.540689 -1534.730844232385 -0.0
298.15 AL ND 0.32 0.68 -40687.17 -24969.98 52.715734 -15717.196092099997 0.0 0.0 -13478.237807999998 -1553.9894352015579 -0.0
298.15 AL ND 0.33 0.67 -41011.92 -25449.37 52.19705 -15562.550457499998 0.0 0.0 -13276.934926999998 -1572.1086551954763 -0.0
298.15 AL ND 0.34 0.66 -41316.07 -25906.09 51.68532 -15409.978157999998 0.0 0.0 -13075.632045999999 -1589.1065487133012 -0.0
298.15 AL ND 0.35 0.65 -41599.45 -26339.95 51.180613 -15259.499765949999 0.0 0.0 -12874.329165 -1604.9996131775667 -0.0
298.15 AL ND 0.36 0.64 -41861.85 -26750.71 50.682991 -15111.133766649999 0.0 0.0 -12673.026284 -1619.8029098595373 -0.0
298.15 AL ND 0.37 0.63 -42103.06 -27138.17 50.192511 -14964.89715465 0.0 0.0 -12471.723403 -1633.5301611487748 -0.0
298.15 AL ND 0.38 0.62 -42322.89 -27502.08 49.709229 -14820.806626349999 0.0 0.0 -12270.420522 -1646.193835911596 -0.0
298.15 AL ND 0.39 0.61 -42521.09 -27842.21 49.233193 -14678.87649295 0.0 0.0 -12069.117641 -1657.8052243977716 -0.0
298.15 AL ND 0.4 0.6 -42697.45 -28158.33 48.764449 -14539.120469349999 0.0 0.0 -11867.814760000001 -1668.3745039196444 -0.0
298.15 AL ND 0.41 0.59 -42851.72 -28450.17 48.303041 -14401.55167415 0.0 0.0 -11666.511879000001 -1677.9107963326926 -0.0
298.15 AL ND 0.42 0.58 -42983.66 -28717.48 47.849008 -14266.181735199998 0.0 0.0 -11465.208998000002 -1686.4222181834425 -0.0
298.15 AL ND 0.43 0.57 -43093.02 -28960.0 47.402385 -14133.02108775 0.0 0.0 -11263.906117000002 -1693.9159242532326 -0.0
298.15 AL ND 0.44 0.56 -43179.54 -29177.46 46.963206 -14002.079868899998 0.0 0.0 -11062.603236 -1700.3981451097393 -0.0
298.15 AL ND 0.45 0.55 -43242.94 -29369.57 46.5315 -13873.366725 0.0 0.0 -10861.300355000001 -1705.8742191782392 -0.0
298.15 AL ND 0.46 0.54 -43282.95 -29536.06 46.107294 -13746.8897061 0.0 0.0 -10659.997474000002 -1710.3486197582595 -0.0
298.15 AL ND 0.47 0.53 -43299.29 -29676.64 45.690613 -13622.65626595 0.0 0.0 -10458.694593 -1713.8249773357109 -0.0
298.15 AL ND 0.48 0.52 -43291.67 -29791.0 45.281478 -13500.672665699998 0.0 0.0 -10257.391712 -1716.3060974737868 -0.0
298.15 AL ND 0.49 0.51 -43259.78 -29878.84 44.879908 -13380.9445702 0.0 0.0 -10056.088831000001 -1717.7939745058845 -0.0
298.15 AL ND 0.5 0.5 -43203.33 -29939.85 44.485918 -13263.476451699999 0.0 0.0 -9854.78595 -1718.289801199083 -0.0
298.15 AL ND 0.51 0.49 -43121.99 -29973.72 44.099522 -13148.2724843 0.0 0.0 -9653.483069 -1717.7939745058845 -0.0
298.15 AL ND 0.52 0.48 -43015.45 -29980.11 43.720731 -13035.335947649999 0.0 0.0 -9452.180188 -1716.3060974737868 -0.0
298.15 AL ND 0.53 0.47 -42883.37 -29958.7 43.349552 -12924.6689288 0.0 0.0 -9250.877306999999 -1713.8249773357109 -0.0
298.15 AL ND 0.54 0.46 -42725.42 -29909.15 42.985992 -12816.2735148 0.0 0.0 -9049.574426 -1710.3486197582595 -0.0
298.15 AL ND 0.55 0.45 -42541.26 -29831.11 42.630052 -12710.1500038 0.0 0.0 -8848.271545 -1705.8742191782392 -0.0
298.15 AL ND 0.56 0.44 -42330.52 -29724.23 42.281732 -12606.298395799999 0.0 0.0 -8646.968663999998 -1700.3981451097393 -0.0
298.15 AL ND 0.57 0.43 -42092.86 -29588.15 41.94103 -12504.718094499998 0.0 0.0 -8445.665783 -1693.9159242532328 -0.0
298.15 AL ND 0.58 0.42 -41827.91 -29422.5 41.607939 -12405.407012849999 0.0 0.0 -8244.362902 -1686.4222181834425 -0.0
298.15 AL ND 0.59 0.41 -41535.29 -29226.92 41.28245 -12308.362467499997 0.0 0.0 -8043.060021000001 -1677.910796332693 -0.0
298.15 AL ND 0.6 0.4 -41214.61 -29001.03 40.964553 -12213.58147695 0.0 0.0 -7841.757140000001 -1668.3745039196444 -0.0
298.15 AL ND 0.61 0.39 -40865.49 -28744.43 40.65423 -12121.058674499998 0.0 0.0 -7640.454259 -1657.8052243977716 -0.0
298.15 AL ND 0.62 0.38 -40487.53 -28456.74 40.351464 -12030.788991599999 0.0 0.0 -7439.1513780000005 -1646.193835911596 -0.0
298.15 AL ND 0.63 0.37 -40080.32 -28137.55 40.056233 -11942.765868949999 0.0 0.0 -7237.848497 -1633.5301611487748 -0.0
298.15 AL ND 0.64 0.36 -39643.45 -27786.47 39.768511 -11856.981554649998 0.0 0.0 -7036.545615999999 -1619.8029098595373 -0.0
298.15 AL ND 0.65 0.35 -39176.5 -27403.07 39.488268 -11773.427104199998 0.0 0.0 -6835.242735 -1604.9996131775667 -0.0
298.15 AL ND 0.66 0.34 -38679.03 -26986.94 39.215469 -11692.092082349998 0.0 0.0 -6633.939853999999 -1589.106548713301 -0.0
298.15 AL ND 0.67 0.33 -38150.62 -26537.65 38.950077 -11612.965457549999 0.0 0.0 -6432.636972999999 -1572.1086551954763 -0.0
298.15 AL ND 0.68 0.32 -37590.8 -26054.77 38.692048 -11536.034111199999 0.0 0.0 -6231.334091999999 -1553.9894352015576 -0.0
298.15 AL ND 0.69 0.31 -36999.14 -25537.85 38.441333 -11461.283433949999 0.0 0.0 -6030.031211000001 -1534.730844232385 -0.0
298.15 AL ND 0.7 0.3 -36375.15 -24986.46 38.197879 -11388.69762385 0.0 0.0 -5828.728330000001 -1514.313164037668 -0.0
298.15 AL ND 0.71 0.29 -35718.39 -24400.13 37.961625 -11318.258493749998 0.0 0.0 -5627.425449000001 -1492.7148576699553 -0.0
298.15 AL ND 0.72 0.28 -35028.35 -23778.4 37.732505 -11249.94636575 0.0 0.0 -5426.122568000001 -1469.9124032129614 -0.0
298.15 AL ND 0.73 0.27 -34304.56 -23120.82 37.510443 -11183.738580449999 0.0 0.0 -5224.819687 -1445.8801024662048 -0.0
298.15 AL ND 0.74 0.26 -33546.51 -22426.9 37.295358 -11119.6109877 0.0 0.0 -5023.5168060000005 -1420.5898600324033 -0.0
298.15 AL ND 0.75 0.25 -32753.7 -21696.16 37.087159 -11057.536455849999 0.0 0.0 -4822.213925 -1394.0109271940482 -0.0
298.15 AL ND 0.76 0.24 -31925.61 -20928.12 36.885744 -10997.4845736 0.0 0.0 -4620.9110439999995 -1366.1096036088943 -0.0
298.15 AL ND 0.77 0.23 -31061.7 -20122.28 36.691003 -10939.422544449999 0.0 0.0 -4419.608163 -1336.8488881016199 -0.0
298.15 AL ND 0.78 0.22 -30161.46 -19278.14 36.502809 -10883.312503349998 0.0 0.0 -4218.305281999999 -1306.188067542519 -0.0
298.15 AL ND 0.79 0.21 -29224.31 -18395.2 36.321024 -10829.1133056 0.0 0.0 -4017.0024009999993 -1274.08222978906 -0.0
298.15 AL ND 0.8 0.2 -28249.71 -17472.93 36.145494 -10776.779036099999 0.0 0.0 -3815.6995199999988 -1240.4816826440385 -0.0
298.15 AL ND 0.81 0.19 -27237.07 -16510.81 35.976046 -10726.258114899998 0.0 0.0 -3614.396638999999 -1205.3312553507324 -0.0
298.15 AL ND 0.82 0.18 -26185.82 -15508.33 35.812486 -10677.492700899998 0.0 0.0 -3413.093758000001 -1168.5694517045058 -0.0
298.15 AL ND 0.83 0.17 -25095.35 -14464.93 35.654593 -10630.416902949999 0.0 0.0 -3211.7908770000013 -1130.127413516092 -0.0
298.15 AL ND 0.84 0.16 -23965.05 -13380.09 35.502122 -10584.9576743 0.0 0.0 -3010.4879960000007 -1089.9276385420173 -0.0
298.15 AL ND 0.85 0.15 -22794.28 -12253.25 35.354788 -10541.030042199998 0.0 0.0 -2809.1851150000007 -1047.882375954332 -0.0
298.15 AL ND 0.86 0.14 -21582.39 -11083.86 35.212269 -10498.538002349998 0.0 0.0 -2607.882234 -1003.8915915105914 -0.0
298.15 AL ND 0.87 0.13 -20328.72 -9871.346 35.074192 -10457.370344799998 0.0 0.0 -2406.579353 -957.840348132521 -0.0
298.15 AL ND 0.88 0.12 -19032.55 -8615.151 34.94012 -10417.396777999998 0.0 0.0 -2205.276472 -909.5953759771999 -0.0
298.15 AL ND 0.89 0.11 -17693.16 -7314.695 34.809543 -10378.46524545 0.0 0.0 -2003.9735909999997 -859.000492370776 -0.0
298.15 AL ND 0.9 0.1 -16309.79 -5969.396 34.681851 -10340.39387565 0.0 0.0 -1802.6707099999994 -805.870345271772 -0.0
298.15 AL ND 0.91 0.09 -14881.63 -4578.665 34.556306 -10302.962633899999 0.0 0.0 -1601.3678289999996 -749.9816351924775 -0.0
298.15 AL ND 0.92 0.08 -13407.81 -3141.904 34.432002 -10265.901396299998 0.0 0.0 -1400.0649479999993 -691.0604007790713 -0.0
298.15 AL ND 0.93 0.07 -11887.38 -1658.511 34.307798 -10228.869973699999 0.0 0.0 -1198.762066999999 -628.762877359387 -0.0
298.15 AL ND 0.94 0.06 -10319.31 -127.8775 34.182218 -10191.428296699998 0.0 0.0 -997.4591860000011 -562.6452650375951 -0.0
298.15 AL ND 0.95 0.05 -8702.37 1450.615 34.053278 -10152.9848357 0.0 0.0 -796.1563050000009 -492.1129705067989 -0.0
298.15 AL ND 0.96 0.04 -7035.118 3077.588 33.918181 -10112.705665149999 0.0 0.0 -594.8534240000008 -416.3281974105133 -0.0
298.15 AL ND 0.97 0.03 -5315.653 4753.673 33.772682 -10069.3251383 0.0 0.0 -393.5505430000005 -334.02154674813966 -0.0
298.15 AL ND 0.98 0.02 -3541.184 6479.506 33.609558 -10020.6897177 0.0 0.0 -192.2476620000004 -243.03584172567562 -0.0
298.15 AL ND 0.99 0.01 -1706.527 8255.731 33.413575 -9962.25738625 0.0 0.0 9.055218999999823 -138.82602141683583 -0.0
970.0 AL ND 0.0 1.0 -82797.31 25245.32 111.38416 -108042.63519999999 0.0 0.0 -82797.31 0.0 -0.0
970.0 AL ND 1.0 0.0 -34648.01 29438.51 66.068574 -64086.51678 0.0 0.0 -34648.01 0.0 -0.0
970.0 AL ND 0.01 0.99 -83473.54 24066.27 110.86579 -107539.8163 0.0 0.0 -82315.817 -451.65601467157694 -0.0
970.0 AL ND 0.02 0.98 -84027.63 22906.77 110.24165 -106934.4005 0.0 0.0 -81834.324 -790.6918211434019 -0.0
970.0 AL ND 0.03 0.97 -84529.21 21766.79 109.5835 -106295.995 0.0 0.0 -81352.83099999999 -1086.7043446107507 -0.0
970.0 AL ND 0.04 0.96 -84993.06 20646.34 108.9066 -105639.402 0.0 0.0 -80871.338 -1354.480467845708 -0.0
970.0 AL ND 0.05 0.95 -85426.21 19545.43 108.21819 -104971.6443 0.0 0.0 -80389.845 -1601.03834107528 -0.0
970.0 AL ND 0.06 0.94 -85832.8 18464.06 107.52254 -104296.8638 0.0 0.0 -79908.352 -1830.5078218563378 -0.0
970.0 AL ND 0.07 0.93 -86215.54 17402.26 106.82248 -103617.80559999999 0.0 0.0 -79426.859 -2045.6145934549918 -0.0
970.0 AL ND 0.08 0.92 -86576.35 16360.06 106.12001 -102936.40969999999 0.0 0.0 -78945.36600000001 -2248.2931033228224 -0.0
970.0 AL ND 0.09 0.91 -86916.65 15337.48 105.41663 -102254.1311 0.0 0.0 -78463.873 -2439.9872082398233 -0.0
970.0 AL ND 0.1 0.9 -87237.53 14334.57 104.7135 -101572.095 0.0 0.0 -77982.38 -2621.8153107953003 -0.0
970.0 AL ND 0.11 0.89 -87539.84 13351.38 104.01157 -100891.22290000001 0.0 0.0 -77500.88699999999 -2794.6687157459423 -0.0
970.0 AL ND 0.12 0.88 -87824.28 12387.95 103.31159 -100212.2423 0.0 0.0 -77019.39399999999 -2959.273904738836 -0.0
970.0 AL ND 0.13 0.87 -88091.4 11444.36 102.61418 -99535.7546 0.0 0.0 -76537.901 -3116.233901353498 -0.0
980.0 AL ND 0.0 1.0 -83913.4 25681.56 111.83158 -109594.94840000001 0.0 0.0 -83913.4 0.0 -0.0
980.0 AL ND 1.0 0.0 -35310.4 29770.26 66.408839 -65080.66222 0.0 0.0 -35310.4 0.0 -0.0
980.0 AL ND 0.01 0.99 -84584.43 24501.47 111.31214 -109085.8972 0.0 0.0 -83427.37 -456.31226224551074 -0.0
980.0 AL ND 0.02 0.98 -85132.28 23340.91 110.68693 -108473.19140000001 0.0 0.0 -82941.34 -798.8432832170452 -0.0
980.0 AL ND 0.03 0.97 -85627.27 22199.89 110.02771 -107827.1558 0.0 0.0 -82455.31 -1097.9074821840575 -0.0
980.0 AL ND 0.04 0.96 -86084.34 21078.4 109.34973 -107162.73539999999 0.0 0.0 -81969.27999999998 -1368.4441840090658 -0.0
980.0 AL ND 0.05 0.95 -86510.61 19976.44 108.66025 -106487.045 0.0 0.0 -81483.25 -1617.5438909832726 -0.0
980.0 AL ND 0.06 0.94 -86910.24 18894.03 107.96353 -105804.25940000001 0.0 0.0 -80997.21999999999 -1849.3790365146506 -0.0
980.0 AL ND 0.07 0.93 -87285.97 17831.18 107.2624 -105117.152 0.0 0.0 -80511.18999999999 -2066.703403696796 -0.0
980.0 AL ND 0.08 0.92 -87639.74 16787.94 106.55886 -104427.6828 0.0 0.0 -80025.15999999999 -2271.4713827385217 -0.0
980.0 AL ND 0.09 0.91 -87973.0 15764.32 105.85441 -103737.3218 0.0 0.0 -79539.13 -2465.141715541265 -0.0
980.0 AL ND 0.1 0.9 -88286.85 14760.36 105.15021 -103047.2058 0.0 0.0 -79053.09999999999 -2648.8443346179324 -0.0
980.0 AL ND 0.11 0.89 -88582.14 13776.12 104.44721 -102358.2658 0.0 0.0 -78567.06999999999 -2823.479733434045 -0.0
980.0 AL ND 0.12 0.88 -88859.58 12811.65 103.74615 -101671.227 0.0 0.0 -78081.04000000001 -2989.7818831382056 -0.0
980.0 AL ND 0.13 0.87 -89119.71 11867.01 103.04768 -100986.7264 0.0 0.0 -77595.01 -3148.360024047864 -0.0
990.0 AL ND 0.0 1.0 -85033.93 26118.96 112.27565 -111152.8935 0.0 0.0 -85033.93 0.0 -0.0
990.0 AL ND 1.0 0.0 -35976.17 30100.63 66.744244 -66076.80155999999 0.0 0.0 -35976.17 0.0 -0.0
990.0 AL ND 0.01 0.99 -85699.77 24937.8 111.75513 -110637.5787 0.0 0.0 -84543.35239999999 -460.96850981944453 -0.0
990.0 AL ND 0.02 0.98 -86241.36 23776.18 111.12883 -110017.54169999999 0.0 0.0 -84052.7748 -806.9947452906886 -0.0
990.0 AL ND 0.03 0.97 -86729.75 22634.09 110.46852 -109363.8348 0.0 0.0 -83562.19719999998 -1109.1106197573642 -0.0
990.0 AL ND 0.04 0.96 -87180.04 21511.52 109.78946 -108691.5654 0.0 0.0 -83071.61959999999 -1382.4079001724238 -0.0
990.0 AL ND 0.05 0.95 -87599.41 20408.49 109.09889 -108007.9011 0.0 0.0 -82581.04199999999 -1634.0494408912652 -0.0
990.0 AL ND 0.06 0.94 -87992.06 19325.01 108.40109 -107317.0791 0.0 0.0 -82090.4644 -1868.2502511729635 -0.0
990.0 AL ND 0.07 0.93 -88360.78 18261.1 107.69887 -106621.8813 0.0 0.0 -81599.8868 -2087.7922139386 -0.0
990.0 AL ND 0.08 0.92 -88707.51 17216.78 106.99424 -105924.2976 0.0 0.0 -81109.30919999999 -2294.649662154221 -0.0
990.0 AL ND 0.09 0.91 -89033.72 16192.09 106.2887 -105225.81300000001 0.0 0.0 -80618.7316 -2490.2962228427064 -0.0
990.0 AL ND 0.1 0.9 -89340.52 15187.07 105.58342 -104527.5858 0.0 0.0 -80128.154 -2675.8733584405645 -0.0
990.0 AL ND 0.11 0.89 -89628.78 14201.76 104.87933 -103830.5367 0.0 0.0 -79637.57639999999 -2852.290751122148 -0.0
990.0 AL ND 0.12 0.88 -89899.2 13236.22 104.17718 -103135.4082 0.0 0.0 -79146.9988 -3020.2898615375752 -0.0
990.0 AL ND 0.13 0.87 -90152.34 12290.5 103.47762 -102442.8438 0.0 0.0 -78656.4212 -3180.48614674223 -0.0
1000.0 AL ND 0.0 1.0 -86158.9 26557.47 112.71637 -112716.37 0.0 0.0 -86158.9 0.0 -0.0
1000.0 AL ND 1.0 0.0 -36645.27 30429.76 67.075033 -67075.03300000001 0.0 0.0 -36645.27 0.0 -0.0
1000.0 AL ND 0.01 0.99 -86819.53 25375.21 112.19474 -112194.73999999999 0.0 0.0 -85663.76369999998 -465.6247573933783 -0.0
1000.0 AL ND 0.02 0.98 -87354.84 24212.5 111.56734 -111567.34 0.0 0.0 -85168.6274 -815.1462073643318 -0.0
1000.0 AL ND 0.03 0.97 -87836.62 23069.31 110.90593 -110905.93 0.0 0.0 -84673.49109999998 -1120.3137573306706 -0.0
1000.0 AL ND 0.04 0.96 -88280.12 21945.65 110.22577 -110225.77 0.0 0.0 -84178.3548 -1396.3716163357813 -0.0
1000.0 AL ND 0.05 0.95 -88692.58 20841.53 109.53411 -109534.11 0.0 0.0 -83683.21849999999 -1650.5549907992577 -0.0
1000.0 AL ND 0.06 0.94 -89078.25 19756.96 108.8352 -108835.2 0.0 0.0 -83188.08219999999 -1887.121465831276 -0.0
1000.0 AL ND 0.07 0.93 -89439.93 18691.95 108.13188 -108131.87999999999 0.0 0.0 -82692.94589999999 -2108.881024180404 -0.0
1000.0 AL ND 0.08 0.92 -89779.62 17646.54 107.42615 -107426.15000000001 0.0 0.0 -82197.8096 -2317.82794156992 -0.0
1000.0 AL ND 0.09 0.91 -90098.77 16620.75 106.71952 -106719.52 0.0 0.0 -81702.6733 -2515.4507301441477 -0.0
1000.0 AL ND 0.1 0.9 -90398.5 15614.63 106.01314 -106013.14000000001 0.0 0.0 -81207.537 -2702.902382263196 -0.0
1000.0 AL ND 0.11 0.89 -90679.72 14628.23 105.30795 -105307.95000000001 0.0 0.0 -80712.4007 -2881.1017688102497 -0.0
1000.0 AL ND 0.12 0.88 -90943.11 13661.6 104.6047 -104604.7 0.0 0.0 -80217.2644 -3050.797839936944 -0.0
1000.0 AL ND 0.13 0.87 -91189.25 12714.79 103.90404 -103904.04 0.0 0.0 -79722.12809999999 -3212.612269436596 -0.0
1010.0 AL ND 0.0 1.0 -87288.25 26996.99 113.1537 -114285.237 0.0 0.0 -87288.25 0.0 -0.0
1010.0 AL ND 1.0 0.0 -37317.66 30757.78 67.401427 -68075.44127 0.0 0.0 -37317.66 0.0 -0.0
1010.0 AL ND 0.01 0.99 -87943.66 25813.62 112.63097 -113757.2797 0.0 0.0 -86788.5441 -470.2810049673121 -0.0
1010.0 AL ND 0.02 0.98 -88472.7 24649.79 112.00246 -113122.4846 0.0 0.0 -86288.8382 -823.2976694379751 -0.0
1010.0 AL ND 0.03 0.97 -88947.86 23505.49 111.33995 -112453.3495 0.0 0.0 -85789.1323 -1131.5168949039773 -0.0
1010.0 AL ND 0.04 0.96 -89384.55 22380.71 110.65867 -111765.2567 0.0 0.0 -85289.4264 -1410.3353324991392 -0.0
1010.0 AL ND 0.05 0.95 -89790.08 21275.48 109.9659 -111065.55900000001 0.0 0.0 -84789.7205 -1667.0605407072503 -0.0
1010.0 AL ND 0.06 0.94 -90168.75 20189.79 109.26588 -110358.5388 0.0 0.0 -84290.0146 -1905.9926804895888 -0.0
1010.0 AL ND 0.07 0.93 -90523.4 19123.67 108.56145 -109647.0645 0.0 0.0 -83790.3087 -2129.969834422208 -0.0
1010.0 AL ND 0.08 0.92 -90856.02 18077.14 107.85462 -108933.16619999999 0.0 0.0 -83290.60280000001 -2341.006220985619 -0.0
1010.0 AL ND 0.09 0.91 -91168.1 17050.24 107.14687 -108218.33870000001 0.0 0.0 -82790.8969 -2540.605237445589 -0.0
1010.0 AL ND 0.1 0.9 -91460.77 16043.01 106.43938 -107503.7738 0.0 0.0 -82291.191 -2729.9314060858283 -0.0
1010.0 AL ND 0.11 0.89 -91734.92 15055.49 105.73308 -106790.4108 0.0 0.0 -81791.48509999999 -2909.9127864983525 -0.0
1010.0 AL ND 0.12 0.88 -91991.28 14087.74 105.02873 -106079.01729999999 0.0 0.0 -81291.7792 -3081.3058183363137 -0.0
1010.0 AL ND 0.13 0.87 -92230.41 13139.82 104.32696 -105370.2296 0.0 0.0 -80792.0733 -3244.738392130962 -0.0
1020.0 AL ND 0.0 1.0 -88421.96 27437.45 113.58766 -115859.4132 0.0 0.0 -88421.96 0.0 -0.0
1020.0 AL ND 1.0 0.0 -37993.29 31084.81 67.723626 -69078.09852 0.0 0.0 -37993.29 0.0 -0.0
1020.0 AL ND 0.01 0.99 -89072.13 26252.95 113.06381 -115325.0862 0.0 0.0 -87917.67330000001 -474.93725254124587 -0.0
1020.0 AL ND 0.02 0.98 -89594.88 25087.98 112.43418 -114682.8636 0.0 0.0 -87413.3866 -831.4491315116185 -0.0
1020.0 AL ND 0.03 0.97 -90063.41 23942.55 111.77055 -114005.961 0.0 0.0 -86909.0999 -1142.7200324772841 -0.0
1020.0 AL ND 0.04 0.96 -90493.28 22816.64 111.08816 -113309.9232 0.0 0.0 -86404.8132 -1424.2990486624972 -0.0
1020.0 AL ND 0.05 0.95 -90891.88 21710.27 110.39427 -112602.1554 0.0 0.0 -85900.5265 -1683.566090615243 -0.0
1020.0 AL ND 0.06 0.94 -91263.55 20623.45 109.69313 -111886.9926 0.0 0.0 -85396.2398 -1924.8638951479018 -0.0
1020.0 AL ND 0.07 0.93 -91611.15 19556.19 108.98759 -111167.3418 0.0 0.0 -84891.9531 -2151.0586446640123 -0.0
1020.0 AL ND 0.08 0.92 -91936.7 18508.53 108.27963 -110445.2226 0.0 0.0 -84387.6664 -2364.1845004013185 -0.0
