T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 AL ND 0.0 1.0 -19919.93 1437.295 71.632481 -21357.224210149998 0.0 0.0 -19919.93 0.0 -0.0
298.15 AL ND 1.0 0.0 210.3581 10083.0 33.112997 -9872.640055549999 0.0 0.0 210.3581 0.0 -0.0
298.15 AL ND 0.01 0.99 -20849.82 391.4337 71.243503 -21241.25041945 0.0 0.0 -19718.627119 -138.82602141683572 -0.0
298.15 AL ND 0.02 0.98 -21739.5 -646.0084 70.747904 -21093.4875776 0.0 0.0 -19517.324238 -243.03584172567548 -0.0
298.15 AL ND 0.03 0.97 -22609.92 -1674.589 70.217435 -20935.328245249995 0.0 0.0 -19316.021357 -334.02154674813943 -0.0
298.15 AL ND 0.04 0.96 -23465.18 -2693.866 69.667339 -20771.31712285 0.0 0.0 -19114.718476 -416.3281974105132 -0.0
298.15 AL ND 0.05 0.95 -24307.01 -3703.396 69.104851 -20603.611325649996 0.0 0.0 -18913.415595 -492.11297050679866 -0.0
298.15 AL ND 0.06 0.94 -25136.22 -4702.737 68.534229 -20433.48037635 0.0 0.0 -18712.112714 -562.6452650375949 -0.0
298.15 AL ND 0.07 0.93 -25953.21 -5691.446 67.958284 -20261.7623746 0.0 0.0 -18510.809833 -628.7628773593874 -0.0
298.15 AL ND 0.08 0.92 -26758.13 -6669.081 67.379009 -20089.051533349997 0.0 0.0 -18309.506952000003 -691.0604007790716 -0.0
298.15 AL ND 0.09 0.91 -27550.99 -7635.2 66.797892 -19915.7914998 0.0 0.0 -18108.204071000004 -749.9816351924776 -0.0
298.15 AL ND 0.1 0.9 -28331.69 -8589.359 66.216088 -19742.3266372 0.0 0.0 -17906.90119 -805.870345271772 -0.0
298.15 AL ND 0.11 0.89 -29100.05 -9531.116 65.634514 -19568.930349099996 0.0 0.0 -17705.598309 -859.000492370776 -0.0
298.15 AL ND 0.12 0.88 -29855.86 -10460.03 65.05392 -19395.826248 0.0 0.0 -17504.295428 -909.5953759771999 -0.0
298.15 AL ND 0.13 0.87 -30598.86 -11375.66 64.474928 -19223.1997832 0.0 0.0 -17302.992547 -957.840348132521 -0.0
298.15 AL ND 0.14 0.86 -31328.76 -12277.55 63.89806 -19051.206588999998 0.0 0.0 -17101.689666000002 -1003.8915915105914 -0.0
298.15 AL ND 0.15 0.85 -32045.26 -13165.28 63.323765 -18879.98053475 0.0 0.0 -16900.386785000002 -1047.882375954332 -0.0
298.15 AL ND 0.16 0.84 -32748.03 -14038.39 62.752427 -18709.636110049996 0.0 0.0 -16699.083904 -1089.9276385420173 -0.0
298.15 AL ND 0.17 0.83 -33436.72 -14896.44 62.184382 -18540.2734933 0.0 0.0 -16497.781023 -1130.1274135160918 -0.0
298.15 AL ND 0.18 0.82 -34110.98 -15739.0 61.619926 -18371.9809369 0.0 0.0 -16296.478142000002 -1168.5694517045056 -0.0
298.15 AL ND 0.19 0.81 -34770.44 -16565.61 61.059316 -18204.8350654 0.0 0.0 -16095.175261000002 -1205.3312553507326 -0.0
298.15 AL ND 0.2 0.8 -35414.74 -17375.84 60.502785 -18038.90534775 0.0 0.0 -15893.87238 -1240.4816826440385 -0.0
298.15 AL ND 0.21 0.79 -36043.49 -18169.24 59.950539 -17874.25320285 0.0 0.0 -15692.569499000001 -1274.08222978906 -0.0
298.15 AL ND 0.22 0.78 -36656.3 -18945.37 59.402762 -17710.933490299998 0.0 0.0 -15491.266618000001 -1306.188067542519 -0.0
298.15 AL ND 0.23 0.77 -37252.78 -19703.79 58.859621 -17548.996001149997 0.0 0.0 -15289.963737 -1336.8488881016199 -0.0
298.15 AL ND 0.24 0.76 -37832.54 -20444.05 58.321268 -17388.4860542 0.0 0.0 -15088.660856 -1366.1096036088943 -0.0
298.15 AL ND 0.25 0.75 -38395.16 -21165.72 57.787838 -17229.4438997 0.0 0.0 -14887.357975 -1394.0109271940482 -0.0
298.15 AL ND 0.26 0.74 -38940.25 -21868.34 57.259456 -17071.9068064 0.0 0.0 -14686.055094 -1420.5898600324033 -0.0
298.15 AL ND 0.27 0.73 -39467.4 -22551.49 56.736235 -16915.90846525 0.0 0.0 -14484.752213 -1445.8801024662048 -0.0
298.15 AL ND 0.28 0.72 -39976.19 -23214.71 56.218278 -16761.4795857 0.0 0.0 -14283.449332 -1469.9124032129614 -0.0
298.15 AL ND 0.29 0.71 -40466.21 -23857.56 55.705678 -16608.6478957 0.0 0.0 -14082.146450999999 -1492.7148576699553 -0.0
298.15 AL ND 0.3 0.7 -40937.04 -24479.6 55.198523 -16457.439632449998 0.0 0.0 -13880.843569999999 -1514.313164037668 -0.0
298.15 AL ND 0.31 0.69 -41388.27 -25080.39 54.696891 -16307.87805165 0.0 0.0 -13679.540689 -1534.730844232385 -0.0
298.15 AL ND 0.32 0.68 -41819.47 -25659.49 54.200854 -16159.984620099998 0.0 0.0 -13478.237807999998 -1553.9894352015579 -0.0
298.15 AL ND 0.33 0.67 -42230.22 -26216.44 53.710479 -16013.779313849998 0.0 0.0 -13276.934926999998 -1572.1086551954763 -0.0
298.15 AL ND 0.34 0.66 -42620.1 -26750.82 53.225826 -15869.280021899998 0.0 0.0 -13075.632045999999 -1589.1065487133012 -0.0
298.15 AL ND 0.35 0.65 -42988.68 -27262.18 52.74695 -15726.503142499998 0.0 0.0 -12874.329165 -1604.9996131775667 -0.0
298.15 AL ND 0.36 0.64 -43335.53 -27750.06 52.273903 -15585.464179449998 0.0 0.0 -12673.026284 -1619.8029098595373 -0.0
298.15 AL ND 0.37 0.63 -43660.22 -28214.05 51.806729 -15446.176251349998 0.0 0.0 -12471.723403 -1633.5301611487748 -0.0
298.15 AL ND 0.38 0.62 -43962.33 -28653.68 51.345471 -15308.65217865 0.0 0.0 -12270.420522 -1646.193835911596 -0.0
298.15 AL ND 0.39 0.61 -44241.42 -29068.52 50.890166 -15172.902992899999 0.0 0.0 -12069.117641 -1657.8052243977716 -0.0
298.15 AL ND 0.4 0.6 -44497.06 -29458.12 50.440849 -15038.93912935 0.0 0.0 -11867.814760000001 -1668.3745039196444 -0.0
298.15 AL ND 0.41 0.59 -44728.82 -29822.05 49.997551 -14906.769830649999 0.0 0.0 -11666.511879000001 -1677.9107963326926 -0.0
298.15 AL ND 0.42 0.58 -44936.25 -30159.85 49.560298 -14776.4028487 0.0 0.0 -11465.208998000002 -1686.4222181834425 -0.0
298.15 AL ND 0.43 0.57 -45118.94 -30471.09 49.129115 -14647.845637249999 0.0 0.0 -11263.906117000002 -1693.9159242532326 -0.0
298.15 AL ND 0.44 0.56 -45276.43 -30755.33 48.704022 -14521.104159299999 0.0 0.0 -11062.603236 -1700.3981451097393 -0.0
298.15 AL ND 0.45 0.55 -45408.3 -31012.12 48.285038 -14396.184079699999 0.0 0.0 -10861.300355000001 -1705.8742191782392 -0.0
298.15 AL ND 0.46 0.54 -45514.11 -31241.02 47.872176 -14273.0892744 0.0 0.0 -10659.997474000002 -1710.3486197582595 -0.0
298.15 AL ND 0.47 0.53 -45593.41 -31441.58 47.465451 -14151.82421565 0.0 0.0 -10458.694593 -1713.8249773357109 -0.0
298.15 AL ND 0.48 0.52 -45645.76 -31613.37 47.06487 -14032.390990499998 0.0 0.0 -10257.391712 -1716.3060974737868 -0.0
298.15 AL ND 0.49 0.51 -45670.73 -31755.94 46.670441 -13914.791984149999 0.0 0.0 -10056.088831000001 -1717.7939745058845 -0.0
298.15 AL ND 0.5 0.5 -45667.88 -31868.85 46.282168 -13799.028389199999 0.0 0.0 -9854.78595 -1718.289801199083 -0.0
298.15 AL ND 0.51 0.49 -45636.76 -31951.66 45.900052 -13685.1005038 0.0 0.0 -9653.483069 -1717.7939745058845 -0.0
298.15 AL ND 0.52 0.48 -45576.93 -32003.92 45.524091 -13573.00773165 0.0 0.0 -9452.180188 -1716.3060974737868 -0.0
298.15 AL ND 0.53 0.47 -45487.95 -32025.2 45.154282 -13462.749178299999 0.0 0.0 -9250.877306999999 -1713.8249773357109 -0.0
298.15 AL ND 0.54 0.46 -45369.36 -32015.04 44.790618 -13354.3227567 0.0 0.0 -9049.574426 -1710.3486197582595 -0.0
298.15 AL ND 0.55 0.45 -45220.73 -31973.01 44.433089 -13247.72548535 0.0 0.0 -8848.271545 -1705.8742191782392 -0.0
298.15 AL ND 0.56 0.44 -45041.62 -31898.66 44.081684 -13142.9540846 0.0 0.0 -8646.968663999998 -1700.3981451097393 -0.0
298.15 AL ND 0.57 0.43 -44831.56 -31791.56 43.736387 -13040.003784049999 0.0 0.0 -8445.665783 -1693.9159242532328 -0.0
298.15 AL ND 0.58 0.42 -44590.12 -31651.25 43.397181 -12938.86951515 0.0 0.0 -8244.362902 -1686.4222181834425 -0.0
298.15 AL ND 0.59 0.41 -44316.85 -31477.3 43.064044 -12839.5447186 0.0 0.0 -8043.060021000001 -1677.910796332693 -0.0
298.15 AL ND 0.6 0.4 -44011.29 -31269.27 42.736953 -12742.022536949999 0.0 0.0 -7841.757140000001 -1668.3745039196444 -0.0
298.15 AL ND 0.61 0.39 -43673.0 -31026.7 42.41588 -12646.294622 0.0 0.0 -7640.454259 -1657.8052243977716 -0.0
298.15 AL ND 0.62 0.38 -43301.52 -30749.17 42.100794 -12552.3517311 0.0 0.0 -7439.1513780000005 -1646.193835911596 -0.0
298.15 AL ND 0.63 0.37 -42896.4 -30436.22 41.791663 -12460.18432345 0.0 0.0 -7237.848497 -1633.5301611487748 -0.0
298.15 AL ND 0.64 0.36 -42457.2 -30087.42 41.488447 -12369.78047305 0.0 0.0 -7036.545615999999 -1619.8029098595373 -0.0
298.15 AL ND 0.65 0.35 -41983.44 -29702.31 41.191105 -12281.127955749998 0.0 0.0 -6835.242735 -1604.9996131775667 -0.0
298.15 AL ND 0.66 0.34 -41474.68 -29280.47 40.899591 -12194.21305665 0.0 0.0 -6633.939853999999 -1589.106548713301 -0.0
298.15 AL ND 0.67 0.33 -40930.46 -28821.44 40.613855 -12109.02086825 0.0 0.0 -6432.636972999999 -1572.1086551954763 -0.0
298.15 AL ND 0.68 0.32 -40350.32 -28324.78 40.33384 -12025.534396 0.0 0.0 -6231.334091999999 -1553.9894352015576 -0.0
298.15 AL ND 0.69 0.31 -39733.8 -27790.06 40.059487 -11943.736049049998 0.0 0.0 -6030.031211000001 -1534.730844232385 -0.0
298.15 AL ND 0.7 0.3 -39080.43 -27216.82 39.790729 -11863.60585135 0.0 0.0 -5828.728330000001 -1514.313164037668 -0.0
298.15 AL ND 0.71 0.29 -38389.76 -26604.64 39.527495 -11785.12263425 0.0 0.0 -5627.425449000001 -1492.7148576699553 -0.0
298.15 AL ND 0.72 0.28 -37661.31 -25953.05 39.269705 -11708.26254575 0.0 0.0 -5426.122568000001 -1469.9124032129614 -0.0
298.15 AL ND 0.73 0.27 -36894.63 -25261.63 39.017272 -11632.999646799999 0.0 0.0 -5224.819687 -1445.8801024662048 -0.0
298.15 AL ND 0.74 0.26 -36089.23 -24529.92 38.770104 -11559.3065076 0.0 0.0 -5023.5168060000005 -1420.5898600324033 -0.0
298.15 AL ND 0.75 0.25 -35244.64 -23757.49 38.528096 -11487.1518224 0.0 0.0 -4822.213925 -1394.0109271940482 -0.0
298.15 AL ND 0.76 0.24 -34360.4 -22943.89 38.291136 -11416.5021984 0.0 0.0 -4620.9110439999995 -1366.1096036088943 -0.0
298.15 AL ND 0.77 0.23 -33436.01 -22088.69 38.0591 -11347.320665 0.0 0.0 -4419.608163 -1336.8488881016199 -0.0
298.15 AL ND 0.78 0.22 -32471.0 -21191.43 37.831851 -11279.56637565 0.0 0.0 -4218.305281999999 -1306.188067542519 -0.0
298.15 AL ND 0.79 0.21 -31464.87 -20251.68 37.609238 -11213.194309699998 0.0 0.0 -4017.0024009999993 -1274.08222978906 -0.0
298.15 AL ND 0.8 0.2 -30417.15 -19268.99 37.391094 -11148.154676099999 0.0 0.0 -3815.6995199999988 -1240.4816826440385 -0.0
298.15 AL ND 0.81 0.19 -29327.32 -18242.92 37.177236 -11084.392913399999 0.0 0.0 -3614.396638999999 -1205.3312553507324 -0.0
298.15 AL ND 0.82 0.18 -28194.88 -17173.03 36.967456 -11021.8470064 0.0 0.0 -3413.093758000001 -1168.5694517045058 -0.0
298.15 AL ND 0.83 0.17 -27019.33 -16058.88 36.761523 -10960.448082449999 0.0 0.0 -3211.7908770000013 -1130.127413516092 -0.0
