T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 CR FE 0.0 1.0 -8132.746 0.6829054 27.279653 -8133.428541949999 1043.0 2.22 -8132.746 0.0 -5837.568155846089
298.15 CR FE 1.0 0.0 -7018.596 0.7265951 23.542922 -7019.3221943 311.5 0.008 -7018.596 0.0 -1.145642488486718
298.15 CR FE 0.01 0.99 -8075.267 209.6325 27.787688 -8284.899177199999 1040.4539 2.189305 -8121.6044999999995 -138.82602141683572 -5768.715749100145
298.15 CR FE 0.02 0.98 -7986.797 414.4734 28.177998 -8401.270103699999 1037.9012 2.15878 -8110.463 -243.03584172567548 -5699.965236159097
298.15 CR FE 0.03 0.97 -7888.673 615.2609 28.522336 -8503.934478399999 1035.3353 2.128425 -8099.3215 -334.02154674813943 -5631.265311932821
298.15 CR FE 0.04 0.96 -7785.39 812.0483 28.83595 -8597.4384925 1032.7496 2.09824 -8088.18 -416.3281974105132 -5562.566528944616
298.15 CR FE 0.05 0.95 -7679.054 1004.887 29.126081 -8683.941050149999 1030.1375 2.068225 -8077.0385 -492.11297050679866 -5493.821316375769
298.15 CR FE 0.06 0.94 -7570.886 1193.827 29.396991 -8764.71286665 1027.4924 2.03838 -8065.896999999999 -562.6452650375949 -5424.983999390354
298.15 CR FE 0.07 0.93 -7461.678 1378.915 29.651493 -8840.59263795 1024.8077 2.008705 -8054.7555 -628.7628773593874 -5356.010818741877
298.15 CR FE 0.08 0.92 -7351.98 1560.197 29.891586 -8912.176365899999 1022.0768 1.9792 -8043.6140000000005 -691.0604007790716 -5286.859950663395
298.15 CR FE 0.09 0.91 -7242.194 1737.715 30.118764 -8979.9094866 1019.2931 1.949865 -8032.472500000001 -749.9816351924776 -5217.491527042456
298.15 CR FE 0.1 0.9 -7132.625 1911.512 30.334184 -9044.136959599999 1016.45 1.9207 -8021.331 -805.870345271772 -5147.867655882417
298.15 CR FE 0.11 0.89 -7023.507 2081.626 30.538768 -9105.1336792 1013.5409 1.891705 -8010.1894999999995 -859.000492370776 -5077.952442051386
298.15 CR FE 0.12 0.88 -6915.03 2248.095 30.733272 -9163.1250468 1010.5592 1.86288 -7999.048000000001 -909.5953759771999 -5007.712008320332
298.15 CR FE 0.13 0.87 -6807.344 2410.953 30.91832 -9218.297107999999 1007.4983 1.834225 -7987.9065 -957.840348132521 -4937.114516691743
298.15 CR FE 0.14 0.86 -6700.574 2570.234 31.094441 -9270.80758415 1004.3516 1.80574 -7976.764999999999 -1003.8915915105914 -4866.130190020509
298.15 CR FE 0.15 0.85 -6594.824 2725.967 31.262086 -9320.790940899999 1001.1125 1.777425 -7965.6235 -1047.882375954332 -4794.73133392869
298.15 CR FE 0.16 0.84 -6490.183 2878.181 31.421646 -9368.3637549 997.7744 1.74928 -7954.482 -1089.9276385420173 -4722.892359016245
298.15 CR FE 0.17 0.83 -6386.725 3026.902 31.573461 -9413.62739715 994.3307 1.721305 -7943.3405 -1130.1274135160918 -4650.589803369861
298.15 CR FE 0.18 0.82 -6284.517 3172.154 31.71783 -9456.6710145 990.7748 1.6935 -7932.1990000000005 -1168.5694517045056 -4577.802355372594
298.15 CR FE 0.19 0.81 -6183.614 3313.96 31.855018 -9497.5736167 987.1001 1.665865 -7921.0575 -1205.3312553507326 -4504.510876817274
298.15 CR FE 0.2 0.8 -6084.068 3452.337 31.985259 -9536.404970849999 983.3 1.6384 -7909.916000000001 -1240.4816826440385 -4430.698426327326
298.15 CR FE 0.21 0.79 -5985.926 3587.303 32.108767 -9573.22888105 979.3679 1.611105 -7898.7744999999995 -1274.08222978906 -4356.350283089205
298.15 CR FE 0.22 0.78 -5889.228 3718.873 32.225729 -9608.10110135 975.2972 1.58398 -7887.633000000001 -1306.188067542519 -4281.453970901471
298.15 CR FE 0.23 0.77 -5794.014 3847.059 32.336319 -9641.07350985 971.0813 1.557025 -7876.4915 -1336.8488881016199 -4205.999282546451
298.15 CR FE 0.24 0.76 -5700.321 3971.871 32.440692 -9672.192319799999 966.7136 1.53024 -7865.349999999999 -1366.1096036088943 -4129.978304491608
298.15 CR FE 0.25 0.75 -5608.183 4093.317 32.53899 -9701.4998685 962.1875 1.503625 -7854.208500000001 -1394.0109271940482 -4053.3854419290196
298.15 CR FE 0.26 0.74 -5517.633 4211.402 32.631343 -9729.03491545 957.4964 1.47718 -7843.067 -1420.5898600324033 -3976.217444163038
298.15 CR FE 0.27 0.73 -5428.705 4326.128 32.71787 -9754.832940499999 952.6337 1.450905 -7831.9255 -1445.8801024662048 -3898.4734303580826
298.15 CR FE 0.28 0.72 -5341.43 4437.496 32.798678 -9778.9258457 947.5928 1.4248 -7820.784 -1469.9124032129614 -3820.154915660889
298.15 CR FE 0.29 0.71 -5255.841 4545.504 32.87387 -9801.344340499998 942.3671 1.398865 -7809.642499999999 -1492.7148576699553 -3741.2658377141734
298.15 CR FE 0.3 0.7 -5171.969 4650.146 32.943537 -9822.11555655 936.95 1.3731 -7798.501 -1514.313164037668 -3661.812583582118
298.15 CR FE 0.31 0.69 -5089.849 4751.416 33.007764 -9841.2648366 931.3349 1.347505 -7787.3595 -1534.730844232385 -3581.8040171118478
298.15 CR FE 0.32 0.68 -5009.513 4849.304 33.066632 -9858.816330799998 925.5152 1.32208 -7776.217999999999 -1553.9894352015579 -3501.2515067599456
298.15 CR FE 0.33 0.67 -4930.995 4943.797 33.120213 -9874.79150595 919.4843 1.296825 -7765.076499999999 -1572.1086551954763 -3420.168953918616
298.15 CR FE 0.34 0.66 -4854.331 5034.881 33.168577 -9889.211232549998 913.2356 1.27174 -7753.9349999999995 -1589.1065487133012 -3338.5728217829915
298.15 CR FE 0.35 0.65 -4779.556 5122.537 33.211785 -9902.093697749999 906.7625 1.246825 -7742.7935 -1604.9996131775667 -3256.4821648092175
298.15 CR FE 0.36 0.64 -4706.71 5206.747 33.249898 -9913.457088699999 900.0584 1.22208 -7731.652 -1619.8029098595373 -3173.918658822926
298.15 CR FE 0.37 0.63 -4635.831 5287.487 33.282971 -9923.31780365 893.1167 1.197505 -7720.510499999999 -1633.5301611487748 -3090.906631849594
298.15 CR FE 0.38 0.62 -4566.959 5364.732 33.311055 -9931.69104825 885.9308 1.1731 -7709.369000000001 -1646.193835911596 -3007.473095752851
298.15 CR FE 0.39 0.61 -4500.138 5438.454 33.334199 -9938.591431849998 878.4941 1.148865 -7698.227499999999 -1657.8052243977716 -2923.647778784382
298.15 CR FE 0.4 0.6 -4435.41 5508.622 33.352449 -9944.03266935 870.8 1.1248 -7687.086 -1668.3745039196444 -2839.463159170524
298.15 CR FE 0.41 0.59 -4372.824 5575.204 33.365848 -9948.0275812 862.8419 1.100905 -7675.9445000000005 -1677.9107963326926 -2754.9544998868114
298.15 CR FE 0.42 0.58 -4312.425 5638.163 33.374436 -9950.5880934 854.6132 1.07718 -7664.803 -1686.4222181834425 -2670.159884803876
298.15 CR FE 0.43 0.57 -4254.265 5697.461 33.378252 -9951.725833800001 846.1073 1.053625 -7653.6615 -1693.9159242532326 -2585.1202564274304
298.15 CR FE 0.44 0.56 -4198.395 5753.056 33.377332 -9951.4515358 837.3176 1.03024 -7642.52 -1700.3981451097393 -2499.8794555037052
298.15 CR FE 0.45 0.55 -4144.871 5804.906 33.371714 -9949.776529099998 828.2375 1.007025 -7631.378500000001 -1705.8742191782392 -2414.484262821862
298.15 CR FE 0.46 0.54 -4093.747 5852.963 33.36143 -9946.710354499999 818.8604 0.98398 -7620.237000000001 -1710.3486197582595 -2328.9844436195413
298.15 CR FE 0.47 0.53 -4045.084 5897.18 33.346515 -9942.263447249998 809.1797 0.961105 -7609.095499999999 -1713.8249773357109 -2243.4327950909887
298.15 CR FE 0.48 0.52 -3998.942 5937.503 33.327002 -9936.445646299999 799.1888 0.9384 -7597.954 -1716.3060974737868 -2157.885197613935
298.15 CR FE 0.49 0.51 -3955.386 5973.881 33.302924 -9929.266790599999 788.8811 0.915865 -7586.8125 -1717.7939745058845 -2072.4006704584885
298.15 CR FE 0.5 0.5 -3914.48 6006.257 33.274315 -9920.73701725 778.25 0.8935 -7575.671 -1718.289801199083 -1987.0414329273083
298.15 CR FE 0.51 0.49 -3876.295 6034.572 33.241211 -9910.86705965 767.2889 0.871305 -7564.529500000001 -1717.7939745058845 -1901.8729721130615
298.15 CR FE 0.52 0.48 -3840.902 6058.765 33.203647 -9899.667353049997 755.9912 0.84928 -7553.388 -1716.3060974737868 -1816.964118761911
298.15 CR FE 0.53 0.47 -3808.374 6078.775 33.161663 -9887.149823449998 744.3503 0.827425 -7542.246499999999 -1713.8249773357109 -1732.3871331215196
298.15 CR FE 0.54 0.46 -3778.79 6094.537 33.1153 -9873.326694999998 732.3596 0.80574 -7531.105 -1710.3486197582595 -1648.2178031567885
298.15 CR FE 0.55 0.45 -3752.228 6105.985 33.064607 -9858.21257705 720.0125 0.784225 -7519.9635 -1705.8742191782392 -1564.535558174897
298.15 CR FE 0.56 0.44 -3728.772 6113.051 33.009634 -9841.8223771 707.3024 0.76288 -7508.822 -1700.3981451097393 -1481.4236017659834
298.15 CR FE 0.57 0.43 -3708.508 6115.667 32.950443 -9824.174580449999 694.2227 0.741705 -7497.6804999999995 -1693.9159242532328 -1398.9690691107141
298.15 CR FE 0.58 0.42 -3691.525 6113.764 32.8871 -9805.288864999999 680.7668 0.7207 -7486.539 -1686.4222181834425 -1317.2632152344052
298.15 CR FE 0.59 0.41 -3677.917 6107.273 32.819687 -9785.18967905 666.9281 0.699865 -7475.3975 -1677.910796332693 -1236.401642845921
298.15 CR FE 0.6 0.4 -3667.779 6096.127 32.748299 -9763.90534685 652.7 0.6792 -7464.255999999999 -1668.3745039196444 -1156.4845811989521
298.15 CR FE 0.61 0.39 -3661.212 6080.257 32.673049 -9741.469559349998 638.0759 0.658705 -7453.1145 -1657.8052243977716 -1077.617231259622
298.15 CR FE 0.62 0.38 -3658.321 6059.601 32.594073 -9717.92286495 623.0492 0.63838 -7441.973 -1646.193835911596 -999.9101978086917
298.15 CR FE 0.63 0.37 -3659.216 6034.099 32.511539 -9693.315352849999 607.6133 0.618225 -7430.8315 -1633.5301611487748 -923.4800366235228
298.15 CR FE 0.64 0.36 -3664.012 6003.696 32.42565 -9667.707547499998 591.7616 0.59824 -7419.69 -1619.8029098595373 -848.4499555996136
298.15 CR FE 0.65 0.35 -3672.828 5968.347 32.336661 -9641.175477149998 575.4875 0.578425 -7408.548499999999 -1604.9996131775667 -774.9507241702526
298.15 CR FE 0.66 0.34 -3685.794 5928.019 32.244886 -9613.8127609 558.7844 0.55878 -7397.406999999999 -1589.106548713301 -703.1218681703974
298.15 CR FE 0.67 0.33 -3703.045 5882.695 32.150727 -9585.73925505 541.6457 0.539305 -7386.2654999999995 -1572.1086551954763 -633.1132614115659
298.15 CR FE 0.68 0.32 -3724.726 5832.38 32.054692 -9557.1064198 524.0648 0.52 -7375.124 -1553.9894352015576 -565.0872773885859
298.15 CR FE 0.69 0.31 -3750.999 5777.112 31.957441 -9528.111034149999 506.0351 0.500865 -7363.9825 -1534.730844232385 -499.22174615613767
298.15 CR FE 0.7 0.3 -3782.036 5716.974 31.859834 -9499.0095071 487.55 0.4819 -7352.841 -1514.313164037668 -435.71409266204756
298.15 CR FE 0.71 0.29 -3818.034 5652.11 31.763018 -9470.1438167 468.6029 0.463105 -7341.699499999999 -1492.7148576699553 -374.78725072896793
298.15 CR FE 0.72 0.28 -3859.217 5582.759 31.668545 -9441.97669175 449.1872 0.44448 -7330.558 -1469.9124032129614 -316.6983226253925
298.15 CR FE 0.73 0.27 -3905.851 5509.3 31.578571 -9415.15094365 429.2963 0.426025 -7319.416499999999 -1445.8801024662048 -261.7516323546614
298.15 CR FE 0.74 0.26 -3958.256 5432.331 31.496181 -9390.586365149999 408.9236 0.40774 -7308.275 -1420.5898600324033 -210.31911479282968
298.15 CR FE 0.75 0.25 -4016.841 5352.811 31.425966 -9369.651762899999 388.0625 0.389625 -7297.1335 -1394.0109271940482 -162.87362594564271
298.15 CR FE 0.76 0.24 -4082.15 5272.347 31.375136 -9354.4967984 366.7064 0.37168 -7285.992 -1366.1096036088943 -120.04662965127888
298.15 CR FE 0.77 0.23 -4154.961 5193.793 31.355873 -9348.75353495 344.8487 0.353905 -7274.8505 -1336.8488881016199 -82.73615187711118
298.15 CR FE 0.78 0.22 -4236.475 5122.748 31.390987 -9359.222774049998 322.4828 0.3363 -7263.708999999999 -1306.188067542519 -52.33101024309323
298.15 CR FE 0.79 0.21 -4328.792 5071.768 31.529632 -9400.559780799998 299.6021 0.318865 -7252.5675 -1274.08222978906 -31.245979090253346
298.15 CR FE 0.8 0.2 -4432.995 4967.94 31.530889 -9400.934555349999 276.2 0.3016 -7241.4259999999995 -1240.4816826440385 -19.34050935635302
298.15 CR FE 0.81 0.19 -4545.359 4813.899 31.391103 -9359.257359449999 252.2699 0.284505 -7230.2845 -1205.3312553507324 -11.561859757345387
298.15 CR FE 0.82 0.18 -4663.79 4631.928 31.177992 -9295.718314799999 227.8052 0.26758 -7219.143 -1168.5694517045058 -6.548468885552371
298.15 CR FE 0.83 0.17 -4786.944 4430.745 30.916282 -9217.689478299999 202.7993 0.250825 -7208.001499999999 -1130.127413516092 -3.450782844557548
298.15 CR FE 0.84 0.16 -4913.819 4215.533 30.619998 -9129.352403699999 177.2456 0.23424 -7196.86 -1089.9276385420173 -1.6540126175112402
298.15 CR FE 0.85 0.15 -5043.635 3989.875 30.29854 -9033.509700999999 151.1375 0.217825 -7185.7185 -1047.882375954332 -0.6980953216573877
298.15 CR FE 0.86 0.14 -5175.786 3756.322 29.958439 -8932.108587849998 124.4684 0.20158 -7174.576999999999 -1003.8915915105914 -0.2464246400382608
298.15 CR FE 0.87 0.13 -5309.808 3516.628 29.60401 -8826.435581499998 97.2317 0.185505 -7163.4355 -957.840348132521 -0.06642705164945864
298.15 CR FE 0.88 0.12 -5445.347 3271.894 29.237769 -8717.240827349999 69.4208 0.1696 -7152.293999999999 -909.5953759771999 -0.011345837580200656
298.15 CR FE 0.89 0.11 -5582.125 3022.726 28.860813 -8604.85139595 41.0291 0.153865 -7141.1525 -859.000492370776 -0.0007474412437387209
298.15 CR FE 0.9 0.1 -5719.906 2769.384 28.47322 -8489.290543 12.05 0.1383 -7130.0109999999995 -805.870345271772 -1.4782599066325034e-06
298.15 CR FE 0.91 0.09 -5858.452 2511.937 28.074422 -8370.3889193 17.5231 0.122905 -7118.869499999999 -749.9816351924775 -8.602703557638886e-06
298.15 CR FE 0.92 0.08 -5997.49 2250.381 27.663495 -8247.87103425 47.6968 0.10768 -7107.728 -691.0604007790713 -0.0011339925730572999
298.15 CR FE 0.93 0.07 -6136.689 1984.653 27.239115 -8121.34213725 78.4777 0.092625 -7096.586499999999 -628.762877359387 -0.011844244591627816
298.15 CR FE 0.94 0.06 -6275.638 1714.589 26.799354 -7990.2273951 109.8724 0.07774 -7085.445 -562.6452650375951 -0.053846211493894555
298.15 CR FE 0.95 0.05 -6413.788 1439.96 26.3416 -7853.7480399999995 141.8875 0.063025 -7074.3035 -492.1129705067989 -0.15788023536215742
298.15 CR FE 0.96 0.04 -6550.333 1160.61 25.862627 -7710.94224005 174.5296 0.04848 -7063.161999999999 -416.3281974105133 -0.34441177204424145
298.15 CR FE 0.97 0.03 -6683.958 876.7526 25.358747 -7560.71041805 207.8053 0.034105 -7052.0205 -334.02154674813966 -0.5842500661730916
298.15 CR FE 0.98 0.02 -6812.291 589.4472 24.82555 -7401.7377325 241.7212 0.0199 -7040.878999999999 -243.03584172567562 -0.7333274389343494
298.15 CR FE 0.99 0.01 -6930.241 301.4137 24.25509 -7231.655083499999 276.2839 0.005865 -7029.7375 -138.82602141683583 -0.4297461231940725
320.0 CR FE 0.0 1.0 -8748.366 549.3363 29.05532 -9297.7024 1043.0 2.22 -8748.366 0.0 -5628.9881042263905
320.0 CR FE 1.0 0.0 -7551.571 520.995 25.22677 -8072.5664 311.5 0.008 -7551.571 0.0 -0.813331521050595
320.0 CR FE 0.01 0.99 -8701.98 758.0628 29.562633 -9460.04256 1040.4539 2.189305 -8736.39805 -148.99992236588105 -5561.8723693589245
320.0 CR FE 0.02 0.98 -8622.03 962.68 29.952219 -9584.71008 1037.9012 2.15878 -8724.4301 -260.84678635658616 -5494.8653323112485
320.0 CR FE 0.03 0.97 -8531.423 1163.243 30.295831 -9694.66592 1035.3353 2.128425 -8712.462150000001 -358.5004023458147 -5427.915797263342
320.0 CR FE 0.04 0.96 -8434.984 1359.806 30.608718 -9794.78976 1032.7496 2.09824 -8700.494200000001 -446.83891722745005 -5360.974426338364
320.0 CR FE 0.05 0.95 -8334.979 1552.42 30.898122 -9887.39904 1030.1375 2.068225 -8688.526249999999 -528.1775970557625 -5293.993758618707
320.0 CR FE 0.06 0.94 -8232.722 1741.135 31.168305 -9973.8576 1027.4924 2.03838 -8676.558299999999 -603.8788690660084 -5226.928229457864
320.0 CR FE 0.07 0.93 -8129.067 1925.999 31.42208 -10055.0656 1024.8077 2.008705 -8664.590349999999 -674.8419277377293 -5159.734190089963
320.0 CR FE 0.08 0.92 -8024.607 2107.057 31.661449 -10131.66368 1022.0768 1.9792 -8652.6224 -741.7049413023744 -5092.369927538948
320.0 CR FE 0.09 0.91 -7919.777 2284.352 31.887904 -10204.12928 1019.2931 1.949865 -8640.65445 -804.9442336461273 -5024.79568482919
320.0 CR FE 0.1 0.9 -7814.907 2457.926 32.102603 -10272.83296 1016.45 1.9207 -8628.6865 -864.9287623242228 -4956.973681499353
320.0 CR FE 0.11 0.89 -7710.251 2627.819 32.30647 -10338.070399999999 1013.5409 1.891705 -8616.718550000001 -921.95256601928 -4888.868134421411
320.0 CR FE 0.12 0.88 -7606.016 2794.067 32.50026 -10400.0832 1010.5592 1.86288 -8604.7506 -976.2553087798223 -4820.44527892679
320.0 CR FE 0.13 0.87 -7502.365 2956.706 32.684598 -10459.07136 1007.4983 1.834225 -8592.78265 -1028.0359262197107 -4751.673390241795
320.0 CR FE 0.14 0.86 -7399.436 3115.769 32.860015 -10515.2048 1004.3516 1.80574 -8580.8147 -1077.4620469005176 -4682.522805234722
320.0 CR FE 0.15 0.85 -7297.341 3271.286 33.026961 -10568.62752 1001.1125 1.777425 -8568.84675 -1124.6767073801316 -4612.965944477342
320.0 CR FE 0.16 0.84 -7196.179 3423.286 33.185829 -10619.46528 997.7744 1.74928 -8556.878799999999 -1169.8032679303894 -4542.977334623866
320.0 CR FE 0.17 0.83 -7096.031 3571.796 33.336958 -10667.826560000001 994.3307 1.721305 -8544.91085 -1212.949093829111 -4472.5336311109795
320.0 CR FE 0.18 0.82 -6996.969 3716.838 33.480648 -10713.80736 990.7748 1.6935 -8532.9429 -1254.208366746409 -4401.613641183107
320.0 CR FE 0.19 0.81 -6899.056 3858.436 33.617165 -10757.4928 987.1001 1.665865 -8520.97495 -1293.664268697751 -4330.198347247815
320.0 CR FE 0.2 0.8 -6802.349 3996.609 33.746745 -10798.9584 983.3 1.6384 -8509.007000000001 -1331.3907041626444 -4258.270930567068
320.0 CR FE 0.21 0.79 -6706.898 4131.374 33.8696 -10838.271999999999 979.3679 1.611105 -8497.03905 -1367.4536761110153 -4185.816795291102
320.0 CR FE 0.22 0.78 -6612.749 4262.746 33.98592 -10875.4944 975.2972 1.58398 -8485.071100000001 -1401.912398502788 -4112.823592842851
320.0 CR FE 0.23 0.77 -6519.945 4390.737 34.095879 -10910.681279999999 971.0813 1.557025 -8473.10315 -1434.8202052407123 -4039.2812466623186
320.0 CR FE 0.24 0.76 -6428.525 4515.358 34.199633 -10943.88256 966.7136 1.53024 -8461.1352 -1466.2252998653234 -3965.1819773219113
320.0 CR FE 0.25 0.75 -6338.528 4636.616 34.297325 -10975.144 962.1875 1.503625 -8449.167249999999 -1496.1713791785862 -3890.520328025773
320.0 CR FE 0.26 0.74 -6249.989 4754.518 34.389084 -11004.506879999999 957.4964 1.47718 -8437.1993 -1524.6981559965425 -3815.293190508518
320.0 CR FE 0.27 0.73 -6162.945 4869.065 34.475032 -11032.01024 952.6337 1.450905 -8425.23135 -1551.8418003997504 -3739.49983135148
320.0 CR FE 0.28 0.72 -6077.429 4980.259 34.555277 -11057.688639999998 947.5928 1.4248 -8413.2634 -1577.6353145334488 -3663.1419187379474
320.0 CR FE 0.29 0.71 -5993.477 5088.098 34.629922 -11081.57504 942.3671 1.398865 -8401.29545 -1602.1088527733884 -3586.2235496727144
320.0 CR FE 0.3 0.7 -5911.122 5192.577 34.699059 -11103.69888 936.95 1.3731 -8389.3275 -1625.289996619332 -3508.7512776959543
320.0 CR FE 0.31 0.69 -5830.399 5293.689 34.762776 -11124.08832 931.3349 1.347505 -8377.35955 -1647.2039917972943 -3430.734141126883
320.0 CR FE 0.32 0.68 -5751.344 5391.425 34.821153 -11142.768960000001 925.5152 1.32208 -8365.391599999999 -1667.8739535955008 -3352.183691879325
320.0 CR FE 0.33 0.67 -5673.991 5485.773 34.874264 -11159.764479999998 919.4843 1.296825 -8353.42365 -1687.321045321323 -3273.1140248990637
320.0 CR FE 0.34 0.66 -5598.379 5576.719 34.92218 -11175.0976 913.2356 1.27174 -8341.455699999999 -1705.5646338697181 -3193.5418082823776
320.0 CR FE 0.35 0.65 -5524.544 5664.245 34.964966 -11188.78912 906.7625 1.246825 -8329.48775 -1722.622425681105 -3113.4863141462874
320.0 CR FE 0.36 0.64 -5452.526 5748.332 35.002682 -11200.85824 900.0584 1.22208 -8317.5198 -1738.510585795915 -3032.9694503347273
320.0 CR FE 0.37 0.63 -5382.365 5828.959 35.035385 -11211.323199999999 893.1167 1.197505 -8305.55185 -1753.2438422525843 -2952.0157930611012
320.0 CR FE 0.38 0.62 -5314.103 5906.099 35.06313 -11220.2016 885.9308 1.1731 -8293.5839 -1766.8355777015288 -2870.652620607421
320.0 CR FE 0.39 0.61 -5247.783 5979.726 35.085966 -11227.509119999999 878.4941 1.148865 -8281.61595 -1779.2979098013984 -2788.9099482241795
320.0 CR FE 0.4 0.6 -5183.452 6049.81 35.103943 -11233.261760000001 870.8 1.1248 -8269.648 -1790.6417617115085 -2706.8205644040668
320.0 CR FE 0.41 0.59 -5121.155 6116.319 35.117105 -11237.473600000001 862.8419 1.100905 -8257.68005 -1800.8769237848792 -2624.4200687381235
320.0 CR FE 0.42 0.58 -5060.942 6179.217 35.125496 -11240.15872 854.6132 1.07718 -8245.7121 -1810.0121073912517 -2541.746911606113
320.0 CR FE 0.43 0.57 -5002.863 6238.468 35.129158 -11241.330559999999 846.1073 1.053625 -8233.74415 -1818.0549916519687 -2458.8424360060976
320.0 CR FE 0.44 0.56 -4946.972 6294.03 35.128132 -11241.00224 837.3176 1.03024 -8221.7762 -1825.0122637434733 -2375.7509218935097
320.0 CR FE 0.45 0.55 -4893.323 6345.863 35.122457 -11239.186239999999 828.2375 1.007025 -8209.80825 -1830.8896533189222 -2292.519633480963
320.0 CR FE 0.46 0.54 -4841.975 6393.92 35.112171 -11235.894719999998 818.8604 0.98398 -8197.8403 -1835.6919615047564 -2209.1988700503584
320.0 CR FE 0.47 0.53 -4792.986 6438.154 35.097313 -11231.140159999999 809.1797 0.961105 -8185.87235 -1839.4230848479879 -2125.8420209541005
320.0 CR FE 0.48 0.52 -4746.419 6478.516 35.077923 -11224.93536 799.1888 0.9384 -8173.904399999999 -1842.0860345182352 -2042.505625638953
320.0 CR FE 0.49 0.51 -4702.338 6514.954 35.054039 -11217.29248 788.8811 0.915865 -8161.936449999999 -1843.682951004136 -1959.2494397235919
320.0 CR FE 0.5 0.5 -4660.81 6547.415 35.025703 -11208.22496 778.25 0.8935 -8149.9685 -1844.2151144850131 -1876.136508410581
320.0 CR FE 0.51 0.49 -4621.906 6575.841 34.992957 -11197.746239999999 767.2889 0.871305 -8138.000550000001 -1843.682951004136 -1793.2332488314848
320.0 CR FE 0.52 0.48 -4585.696 6600.175 34.955846 -11185.87072 755.9912 0.84928 -8126.0326000000005 -1842.0860345182352 -1710.6095433305827
320.0 CR FE 0.53 0.47 -4552.257 6620.358 34.914421 -11172.61472 744.3503 0.827425 -8114.06465 -1839.4230848479879 -1628.3388462166586
320.0 CR FE 0.54 0.46 -4521.666 6636.329 34.868735 -11157.995200000001 732.3596 0.80574 -8102.0967 -1835.6919615047564 -1546.4983071917004
320.0 CR FE 0.55 0.45 -4494.005 6648.026 34.818847 -11142.03104 720.0125 0.784225 -8090.12875 -1830.8896533189222 -1465.168915552248
320.0 CR FE 0.56 0.44 -4469.358 6655.387 34.764827 -11124.744639999999 707.3024 0.76288 -8078.1608 -1825.0122637434733 -1384.4356704261409
320.0 CR FE 0.57 0.43 -4447.812 6658.349 34.706752 -11106.16064 694.2227 0.741705 -8066.192849999999 -1818.0549916519692 -1304.387783854962
320.0 CR FE 0.58 0.42 -4429.458 6656.849 34.644711 -11086.30752 680.7668 0.7207 -8054.224900000001 -1810.0121073912517 -1225.11892560289
320.0 CR FE 0.59 0.41 -4414.393 6650.826 34.578809 -11065.21888 666.9281 0.699865 -8042.25695 -1800.8769237848794 -1146.727521368546
320.0 CR FE 0.6 0.4 -4402.713 6640.222 34.509172 -11042.93504 652.7 0.6792 -8030.289 -1790.6417617115085 -1069.317119889975
320.0 CR FE 0.61 0.39 -4394.524 6624.979 34.435947 -11019.50304 638.0759 0.658705 -8018.3210500000005 -1779.2979098013984 -992.9968496923539
320.0 CR FE 0.62 0.38 -4389.932 6605.048 34.359313 -10994.98016 623.0492 0.63838 -8006.3531 -1766.8355777015288 -917.8819935682313
320.0 CR FE 0.63 0.37 -4389.052 6580.383 34.279487 -10969.435840000002 607.6133 0.618225 -7994.38515 -1753.2438422525843 -844.0947192598184
320.0 CR FE 0.64 0.36 -4392.004 6550.951 34.196735 -10942.955199999999 591.7616 0.59824 -7982.4172 -1738.510585795915 -771.7650197043606
320.0 CR FE 0.65 0.35 -4398.915 6516.729 34.111387 -10915.64384 575.4875 0.578425 -7970.44925 -1722.622425681105 -701.0319379147546
320.0 CR FE 0.66 0.34 -4409.92 6477.713 34.023853 -10887.63296 558.7844 0.55878 -7958.4812999999995 -1705.564633869718 -632.0451837978902
320.0 CR FE 0.67 0.33 -4425.165 6433.924 33.934656 -10859.089919999999 541.6457 0.539305 -7946.513349999999 -1687.321045321323 -564.9672990469332
320.0 CR FE 0.68 0.32 -4444.811 6385.416 33.844458 -10830.226560000001 524.0648 0.52 -7934.5454 -1667.8739535955006 -499.97660198375485
320.0 CR FE 0.69 0.31 -4469.031 6332.288 33.754121 -10801.31872 506.0351 0.500865 -7922.57745 -1647.2039917972943 -437.27126491617685
320.0 CR FE 0.7 0.3 -4498.023 6274.707 33.664779 -10772.729280000001 487.55 0.4819 -7910.6095000000005 -1625.289996619332 -377.07507506015395
320.0 CR FE 0.71 0.29 -4532.011 6212.934 33.577953 -10744.94496 468.6029 0.463105 -7898.64155 -1602.1088527733884 -319.6457689301436
320.0 CR FE 0.72 0.28 -4571.259 6147.375 33.495731 -10718.63392 449.1872 0.44448 -7886.6736 -1577.6353145334488 -265.287434950183
320.0 CR FE 0.73 0.27 -4616.088 6078.654 33.421067 -10694.74144 429.2963 0.426025 -7874.70565 -1551.8418003997504 -214.36961805318742
320.0 CR FE 0.74 0.26 -4666.898 6007.759 33.358303 -10674.65696 408.9236 0.40774 -7862.7377 -1524.6981559965425 -167.35804775570978
320.0 CR FE 0.75 0.25 -4724.221 5936.308 33.31415 -10660.527999999998 388.0625 0.389625 -7850.7697499999995 -1496.1713791785862 -124.86687560971457
320.0 CR FE 0.76 0.24 -4788.796 5867.112 33.299711 -10655.90752 366.7064 0.37168 -7838.801799999999 -1466.2252998653234 -87.75411790045972
